GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "11000","District of Columbia",2,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",698434,711478,735304,741793,757415,754602,763470,769796,777525,788410,794912,795912,809137,826761,834413,848226,860669,873193,891451,902940,915637
 "11000","District of Columbia",2,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",652232,664926,684236,688978,703526,699519,704817,708380,713309,718308,721890,719705,731389,742832,749247,758641,767306,775927,788290,793692,801884
 "11000","District of Columbia",2,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",46202,46552,51068,52815,53889,55083,58653,61416,64216,70102,73022,76207,77748,83929,85166,89585,93363,97266,103161,109248,113753
 "11000","District of Columbia",2,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",46202,46552,51068,52815,53889,55083,58653,61416,64216,70102,73022,76207,77748,83929,85166,89585,93363,97266,103161,109248,113753
 "11000","District of Columbia",2,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",698434,711478,735304,741793,757415,754602,763470,769796,777525,788410,794912,795912,809137,826761,834413,848226,860669,873193,891451,902940,915637
 "11000","District of Columbia",2,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",449542,466185,494561,496635,503124,502660,513341,521023,530776,544905,549764,544314,546777,565547,577997,595213,608889,624740,640655,652355,667306
 "11000","District of Columbia",2,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",(T),(T),(T),(D),(D),53,46,56,56,62,63,84,65,72,73,86,70,70,81,84,89
 "11000","District of Columbia",2,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",(T),(T),(T),(D),(D),5,5,10,7,10,6,8,4,5,9,18,10,14,11,19,17
 "11000","District of Columbia",2,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),11,15,10,12,16,13,11,10,15,7,8,12,15,15,18,19,20,21
 "11000","District of Columbia",2,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",(T),(T),(T),40,45,38,29,30,36,41,47,61,54,59,52,53,45,38,51,45,51
 "11000","District of Columbia",2,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",270,258,(T),(D),(D),245,206,(D),235,238,341,327,466,331,472,459,431,511,553,369,361
 "11000","District of Columbia",2,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",240,231,(T),274,222,(D),(D),(D),221,214,315,313,438,300,400,423,395,444,487,313,307
 "11000","District of Columbia",2,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",(T),(T),(T),31,(D),1,2,3,5,9,17,4,16,20,51,23,23,49,63,40,38
 "11000","District of Columbia",2,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",0,(T),(T),(D),(D),(D),(D),(D),9,15,9,10,12,11,21,13,13,18,3,16,16
 "11000","District of Columbia",2,SAEMP25N,300,"22","   Utilities","Number of jobs",1858,2279,2761,(D),(D),2617,2543,2627,2491,2436,2392,2503,1891,1884,1918,1986,2015,2150,2200,2163,2171
 "11000","District of Columbia",2,SAEMP25N,400,"23","   Construction","Number of jobs",10877,11440,13225,13570,14527,15358,14923,(D),15210,15394,15595,14265,13349,14829,16460,17161,17385,17562,18361,(D),18715
 "11000","District of Columbia",2,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",3441,3888,4511,4426,5126,5329,5192,5342,5326,4830,4615,4181,4278,4424,4698,4817,4656,4950,4873,4769,4881
