GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "12000","Florida",5,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",8317201,8577884,8881279,8938947,9055715,9283397,9644326,10067189,10383866,10531260,10269499,9841883,9805154,10036634,10249024,10539255,10937166,11366665,11673201,12130376,12462208
 "12000","Florida",5,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",6976587,7227372,7448054,7473715,7515541,7664325,7890743,8163188,8381988,8376376,8100529,7598169,7519804,7601048,7760916,7935168,8191643,8472201,8735579,8922320,9142913
 "12000","Florida",5,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",1340614,1350512,1433225,1465232,1540174,1619072,1753583,1904001,2001878,2154884,2168970,2243714,2285350,2435586,2488108,2604087,2745523,2894464,2937622,3208056,3319295
 "12000","Florida",5,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",42095,42153,41606,41702,39135,37541,36179,35397,34112,39602,39133,39008,38954,38943,38421,38694,38794,38664,38504,38341,38243
 "12000","Florida",5,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",1298519,1308359,1391619,1423530,1501039,1581531,1717404,1868604,1967766,2115282,2129837,2204706,2246396,2396643,2449687,2565393,2706729,2855800,2899118,3169715,3281052
 "12000","Florida",5,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",92123,94224,98239,95952,91902,94944,88398,80432,81105,86652,84139,79694,82146,83250,86369,83333,87566,80755,78657,79525,77634
 "12000","Florida",5,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",8225078,8483660,8783040,8842995,8963813,9188453,9555928,9986757,10302761,10444608,10185360,9762189,9723008,9953384,10162655,10455922,10849600,11285910,11594544,12050851,12384574
 "12000","Florida",5,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",7168201,7418430,7690260,7730892,7832323,8035729,8393737,8808238,9106640,9233799,8964592,8557045,8519505,8771655,8997010,9292548,9691505,10120494,10417638,10861926,11186824
 "12000","Florida",5,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",79751,74137,68635,64451,63895,60195,62583,62074,62517,62964,62024,61429,60982,59796,59730,62139,63947,61334,60756,61257,62480
 "12000","Florida",5,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",4776,4719,4335,4194,4183,(D),4317,4569,(D),(D),4401,4361,4213,4378,4871,4950,4685,4876,4740,4424,4057
 "12000","Florida",5,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",10047,9336,9039,8378,9620,(D),7998,7849,(D),(D),7344,7330,7947,7371,7421,7839,7896,7028,7176,7004,6998
 "12000","Florida",5,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",64928,60082,55261,51879,50092,48904,50268,49656,50255,51048,50279,49738,48822,48047,47438,49350,51366,49430,48840,49829,51425
 "12000","Florida",5,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",13623,13162,12466,13394,12053,13178,12671,13491,14010,14989,19140,18780,22590,19350,26296,27843,26555,27381,27434,23477,23036
 "12000","Florida",5,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),5780,6811,6202,7159,6635,7330,8592,8740,13279,13707,17382,13730,18613,21149,19797,20480,20369,15292,15007
 "12000","Florida",5,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",7085,6662,6348,6258,5427,5464,5495,5386,4643,5315,4889,4311,4251,4671,6374,5543,5572,5598,5716,6533,6330
 "12000","Florida",5,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),325,424,555,541,775,775,934,972,762,957,949,1309,1151,1186,1303,1349,1652,1699
 "12000","Florida",5,SAEMP25N,300,"22","   Utilities","Number of jobs",28472,29061,29040,29017,25975,25438,25196,25468,26062,26050,26727,25601,24517,23978,24358,24107,23881,25109,27069,25455,25656
 "12000","Florida",5,SAEMP25N,400,"23","   Construction","Number of jobs",517219,530216,554191,585788,603332,641591,698599,798298,860361,798175,687620,554549,499637,487119,501010,532868,572383,610809,667678,713596,758145
 "12000","Florida",5,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",99449,104059,110423,115798,119960,124573,138065,163473,176289,160925,135949,106394,96035,89551,96600,103859,113516,127818,135144,143859,150540
 "12000","Florida",5,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",63981,67663,68794,70248,70165,71177,76610,81397,86874,84858,76321,63049,57556,52103,53339,55378,57891,60527,67837,75095,79082
 "12000","Florida",5,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",353789,358494,374974,399742,413207,445841,483924,553428,597198,552392,475350,385106,346046,345465,351071,373631,400976,422464,464697,494642,528523
 "12000","Florida",5,SAEMP25N,500,"31-33","   Manufacturing","Number of jobs",475743,471913,469515,452618,428817,412015,416098,424253,433441,423365,397728,353955,334596,343147,349755,360091,369951,383548,398725,409017,419793
 "12000","Florida",5,SAEMP25N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",308971,308530,311060,300763,282238,269511,275304,285036,295080,283999,265761,232226,218857,223642,227290,235264,243518,256404,266293,273954,283067
 "12000","Florida",5,SAEMP25N,511,"321","     Wood product manufacturing","Number of jobs",18352,18181,18014,18476,19593,19551,22164,24296,23751,19116,14477,10981,9905,9993,10313,12072,12788,14216,15408,15879,16435
 "12000","Florida",5,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",22886,23121,23829,24220,24065,23162,25144,26482,30664,27244,22774,18373,16397,16643,17180,18793,19820,21114,22012,23325,24191
 "12000","Florida",5,SAEMP25N,513,"331","     Primary metal manufacturing","Number of jobs",5561,5730,5992,5674,5275,4941,5255,5612,6125,5748,5416,4887,4817,4549,4687,4618,4869,4631,4724,5014,5325
 "12000","Florida",5,SAEMP25N,514,"332","     Fabricated metal product manufacturing","Number of jobs",40886,41971,43604,40790,38462,37959,39537,41835,43893,42058,39233,32896,30335,31761,32596,34673,36577,38298,40245,41365,43061
 "12000","Florida",5,SAEMP25N,515,"333","     Machinery manufacturing","Number of jobs",30710,30367,31230,30215,27992,27051,26895,28025,28849,28448,28283,26169,25217,26346,26608,26542,27326,29355,30494,31722,33387
 "12000","Florida",5,SAEMP25N,516,"334","     Computer and electronic product manufacturing","Number of jobs",68250,64921,66244,65472,58251,51516,50174,50765,50062,50136,49358,46186,44268,44316,43851,42409,42546,43587,43736,43854,43846
 "12000","Florida",5,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",12477,12432,12601,11508,10305,9428,9063,9058,10347,10883,11013,10227,9609,9857,10358,10246,10717,11085,11348,11771,11930
 "12000","Florida",5,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",12419,12518,12503,11349,9950,10533,10463,10853,10725,9878,8520,6397,5972,(D),(D),(D),6945,7202,7408,7290,7723
 "12000","Florida",5,SAEMP25N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",41130,43234,40699,36640,32954,31572,32769,34335,35013,35787,35467,29833,28698,(D),(D),(D),31889,34046,35863,38012,41005
 "12000","Florida",5,SAEMP25N,521,"337","     Furniture and related product manufacturing","Number of jobs",22207,22070,22204,22396,21201,20678,20952,20682,20930,18713,16023,12528,11238,11899,12045,12514,13237,14736,15368,15620,15751
 "12000","Florida",5,SAEMP25N,522,"339","     Miscellaneous manufacturing","Number of jobs",34093,33985,34140,34023,34190,33120,32888,33093,34721,35988,35197,33749,32401,33002,33371,35264,36804,38134,39687,40102,40413
 "12000","Florida",5,SAEMP25N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",166772,163383,158455,151855,146579,142504,140794,139217,138361,139366,131967,121729,115739,119505,122465,124827,126433,127144,132432,135063,136726
 "12000","Florida",5,SAEMP25N,531,"311","     Food manufacturing","Number of jobs",38436,38174,37182,36186,36603,35166,34240,33714,32612,34309,32324,30981,29770,32195,33744,34716,34999,35352,36337,37588,38583
 "12000","Florida",5,SAEMP25N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",9803,10200,10394,10761,10892,10909,10672,10932,11105,11562,11085,10458,9427,9544,10244,10260,10266,10051,11526,12259,12681
 "12000","Florida",5,SAEMP25N,533,"313","     Textile mills","Number of jobs",4322,4257,4038,3409,2826,2398,2433,2061,1529,1439,1594,1495,1153,1230,1175,1151,1586,1575,1500,1439,1512
 "12000","Florida",5,SAEMP25N,534,"314","     Textile product mills","Number of jobs",6821,6607,6231,5810,5875,5730,5978,5928,6087,5864,5148,4645,4598,4907,5009,4425,4643,4732,4809,4820,4859
 "12000","Florida",5,SAEMP25N,535,"315","     Apparel manufacturing","Number of jobs",17008,14361,12624,11109,9507,8322,7751,7139,6783,6558,5990,5621,5369,4941,5485,5997,5912,5982,5968,6058,5952
 "12000","Florida",5,SAEMP25N,536,"316","     Leather and allied product manufacturing","Number of jobs",2209,2043,1836,1871,1765,1568,1535,1606,1731,1191,1227,1052,1012,1230,1353,1241,1509,1500,1403,1462,1522
 "12000","Florida",5,SAEMP25N,537,"322","     Paper manufacturing","Number of jobs",13600,12608,12056,11593,11341,11031,10565,10586,10699,10522,10018,9611,9234,9098,9127,9157,9172,9219,8805,8565,8622
 "12000","Florida",5,SAEMP25N,538,"323","     Printing and related support activities","Number of jobs",30734,30524,29759,28568,27061,26091,26344,25905,26140,26631,24704,21943,20779,20641,20701,20681,20783,20837,21304,20553,20022
 "12000","Florida",5,SAEMP25N,539,"324","     Petroleum and coal products manufacturing","Number of jobs",2001,2151,2157,2072,2501,2717,2896,2946,3104,3185,3068,2889,2730,3028,2791,2784,2696,2764,3060,3697,3895
 "12000","Florida",5,SAEMP25N,541,"325","     Chemical manufacturing","Number of jobs",23550,23506,23070,22463,21803,22688,22298,21789,21527,22050,22480,21077,20144,20978,20741,21726,21742,22086,24173,24810,25205
 "12000","Florida",5,SAEMP25N,542,"326","     Plastics and rubber products manufacturing","Number of jobs",18288,18952,19108,18013,16405,15884,16082,16611,17044,16055,14329,11957,11523,11713,12095,12689,13125,13046,13547,13812,13873
 "12000","Florida",5,SAEMP25N,600,"42","   Wholesale trade","Number of jobs",327463,330985,340135,344079,343133,345629,361083,375603,387596,396187,382427,356149,346301,350567,358990,365797,395624,406025,384489,390152,386091
 "12000","Florida",5,SAEMP25N,700,"44-45","   Retail trade","Number of jobs",1030488,1047341,1073134,1081270,1077346,1081458,1107941,1147553,1178080,1187235,1149170,1086125,1082597,1122406,1148138,1181284,1224810,1271844,1285156,1314845,1331337
 "12000","Florida",5,SAEMP25N,701,"441","    Motor vehicle and parts dealers","Number of jobs",122756,125362,128944,129689,133619,133483,140074,146592,149197,149853,139553,122177,121591,124937,129236,134580,142040,150996,156256,162869,166063
 "12000","Florida",5,SAEMP25N,702,"442","    Furniture and home furnishings stores","Number of jobs",37160,37811,39363,40225,41317,41891,44957,47495,50556,49146,43340,35731,34010,34605,35000,36132,38749,40070,41034,41719,43068
 "12000","Florida",5,SAEMP25N,703,"443","    Electronics and appliance stores","Number of jobs",35798,35644,37821,38045,36435,35711,36822,38297,39557,39546,40007,36380,37646,40719,40785,40094,41788,44050,43869,42442,42360
 "12000","Florida",5,SAEMP25N,704,"444","    Building material and garden equipment and supplies dealers","Number of jobs",62588,66061,69059,70944,75136,77090,81085,90611,95808,88468,80491,72276,70301,71969,73143,77463,81317,83751,87500,90458,95003
 "12000","Florida",5,SAEMP25N,705,"445","    Food and beverage stores","Number of jobs",216156,221739,222871,220470,210409,206678,207975,203073,205255,203687,201577,194972,194979,198481,200135,207975,216428,226371,231016,233002,237413
 "12000","Florida",5,SAEMP25N,706,"446","    Health and personal care stores","Number of jobs",67204,67630,69171,70259,71045,71750,73856,76108,80606,82715,82812,80507,80755,84165,85777,87355,88645,92441,92902,93112,92634
 "12000","Florida",5,SAEMP25N,707,"447","    Gasoline stations","Number of jobs",45592,46680,45244,44985,43137,40688,40975,40958,41854,41966,39255,38404,38824,39171,41079,42378,43594,45286,45668,47140,44766
 "12000","Florida",5,SAEMP25N,708,"448","    Clothing and clothing accessories stores","Number of jobs",86665,90411,93642,96742,96299,98109,102897,109409,114505,122272,119627,112791,115520,116609,123642,127296,127696,127617,124140,126196,125675
 "12000","Florida",5,SAEMP25N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Number of jobs",40681,40075,41097,40125,39063,39539,38097,37625,40341,43630,42151,40401,39856,39386,39324,41645,44683,46428,46025,46101,44953
 "12000","Florida",5,SAEMP25N,711,"452","    General merchandise stores","Number of jobs",143391,151132,155600,159093,160314,164451,171216,180154,182351,187664,188855,183446,183705,197121,200388,199760,205568,212032,216967,214585,214012
 "12000","Florida",5,SAEMP25N,712,"453","    Miscellaneous store retailers","Number of jobs",85528,85208,88373,93650,91950,91088,90809,90221,89736,89167,84843,84915,84800,88281,90454,94113,97167,96254,98115,97614,98375
 "12000","Florida",5,SAEMP25N,713,"454","    Nonstore retailers","Number of jobs",86969,79588,81949,77043,78622,80980,79178,87010,88314,89121,86659,84125,80610,86962,89175,92493,97135,106548,101664,119607,127015
 "12000","Florida",5,SAEMP25N,800,"48-49","   Transportation and warehousing","Number of jobs",280052,274076,284286,288211,286549,283340,291360,306880,314186,320198,312568,299328,296342,312315,326250,336747,349677,399759,445765,540020,605849
 "12000","Florida",5,SAEMP25N,801,"481","    Air transportation","Number of jobs",38807,40290,41089,42185,39656,35548,32985,33259,31998,33230,33527,33100,32952,35266,36910,35975,37094,40118,41625,46417,50968
 "12000","Florida",5,SAEMP25N,802,"482","    Rail transportation","Number of jobs",7599,7894,7672,7375,7181,7039,6583,6432,(D),6201,5875,5439,5405,5732,5884,5979,6311,6243,5831,5626,5625
 "12000","Florida",5,SAEMP25N,803,"483","    Water transportation","Number of jobs",10763,10694,11195,11682,12462,12642,13416,13565,13354,13636,13858,13198,13146,13767,13307,13712,13596,13819,13879,14773,16030
 "12000","Florida",5,SAEMP25N,804,"484","    Truck transportation","Number of jobs",76660,74754,79769,80376,81894,79851,83910,91727,93739,93811,85472,81669,78943,82265,83807,89007,93053,101015,101799,110575,116063
 "12000","Florida",5,SAEMP25N,805,"485","    Transit and ground passenger transportation","Number of jobs",23789,22684,22907,22399,21896,22761,24290,25232,25430,27162,26344,25289,25585,27685,31366,32430,39391,64897,109202,138629,167451
 "12000","Florida",5,SAEMP25N,806,"486","    Pipeline transportation","Number of jobs",253,241,255,268,261,266,260,246,256,261,269,259,262,237,224,255,315,328,409,473,605
 "12000","Florida",5,SAEMP25N,807,"487","    Scenic and sightseeing transportation","Number of jobs",3565,3396,3385,3148,3105,3017,2819,2925,2825,3931,4124,3779,3752,3738,4592,4487,4306,4577,4358,5381,5904
 "12000","Florida",5,SAEMP25N,808,"488","    Support activities for transportation","Number of jobs",45568,44575,45577,46394,46918,45952,48113,49503,52422,53457,53967,50624,49871,53707,55315,57577,60510,65479,64972,69788,73011
 "12000","Florida",5,SAEMP25N,809,"492","    Couriers and messengers","Number of jobs",47386,46401,48985,50530,48107,51156,51678,54546,(D),56517,54438,53298,53614,56389,57418,57422,56998,59815,61162,83517,94713
 "12000","Florida",5,SAEMP25N,811,"493","    Warehousing and storage","Number of jobs",25662,23147,23452,23854,25069,25108,27306,29445,31992,31992,34694,32673,32812,33529,37427,39903,38103,43468,42528,64841,75479
 "12000","Florida",5,SAEMP25N,900,"51","   Information","Number of jobs",187345,199226,213591,215130,200311,198169,195910,199896,198283,194109,188859,174205,168062,169429,169149,172061,177114,173643,175877,180820,184421
 "12000","Florida",5,SAEMP25N,901,"511","    Publishing industries (except Internet)","Number of jobs",49249,48661,50076,48568,46352,47300,46982,49027,50281,51011,47537,41388,38574,38865,37842,38947,39455,39353,39340,39900,40591
 "12000","Florida",5,SAEMP25N,902,"512","    Motion picture and sound recording industries","Number of jobs",17973,20005,18043,18539,18236,18103,17202,17809,17455,18004,16687,15601,15013,15745,16354,16202,17618,18311,19821,20984,21712
 "12000","Florida",5,SAEMP25N,903,"515","    Broadcasting (except Internet)","Number of jobs",20657,20532,21825,22547,21410,21490,22245,22312,22263,19126,18958,17492,17566,17958,18166,19156,19904,19335,19800,19570,19592
 "12000","Florida",5,SAEMP25N,904,"516","    Internet publishing and broadcasting 3/","Number of jobs",1147,1387,2470,2660,1943,1721,1832,1654,1805,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "12000","Florida",5,SAEMP25N,905,"517","    Telecommunications","Number of jobs",73050,81377,89999,91642,81553,79359,76516,76522,74517,76851,77238,71768,68769,67884,66826,66895,67371,64872,64721,67003,67661
