GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "13000","Georgia",5,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",4607959,4728750,4860810,4871814,4858288,4895247,5021690,5195833,5358038,5490688,5450887,5247022,5211352,5325616,5384572,5496783,5670735,5832372,5971729,6140776,6274450
 "13000","Georgia",5,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",3929292,4043055,4132965,4122141,4075446,4054398,4114163,4206767,4297606,4353198,4313134,4074870,4028041,4066303,4123085,4199911,4319223,4438625,4552174,4640639,4727591
 "13000","Georgia",5,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",678667,685695,727845,749673,782842,840849,907527,989066,1060432,1137490,1137753,1172152,1183311,1259313,1261487,1296872,1351512,1393747,1419555,1500137,1546859
 "13000","Georgia",5,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",51283,51110,51188,50229,44316,42935,41856,41943,41231,40101,38996,37859,37197,36666,35401,35501,35267,35464,36067,35695,35007
 "13000","Georgia",5,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",627384,634585,676657,699444,738526,797914,865671,947123,1019201,1097389,1098757,1134293,1146114,1222647,1226086,1261371,1316245,1358283,1383488,1464442,1511852
 "13000","Georgia",5,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",70537,67651,67343,65868,60749,59672,58608,61840,56907,55785,56328,54359,50833,51504,51607,50752,51461,51294,55232,60172,51482
 "13000","Georgia",5,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",4537422,4661099,4793467,4805946,4797539,4835575,4963082,5133993,5301131,5434903,5394559,5192663,5160519,5274112,5332965,5446031,5619274,5781078,5916497,6080604,6222968
 "13000","Georgia",5,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",3857999,3980984,4098580,4098709,4070648,4098979,4218062,4378090,4530156,4646898,4585676,4391429,4363565,4490609,4555037,4675350,4854576,5013884,5146107,5304887,5442993
 "13000","Georgia",5,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",24378,23552,22912,21928,22046,20685,21322,21900,22364,22295,22466,21812,22542,23175,24398,25098,25808,25625,25669,25352,25931
 "13000","Georgia",5,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",9371,9140,8687,8431,8344,8002,8405,8862,8853,8760,8454,7732,7587,7807,8371,8715,8511,8926,8889,8171,7833
 "13000","Georgia",5,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",2143,2117,2456,2135,1730,1504,1705,1712,1776,1810,1790,1689,1710,1661,1630,1720,1746,1700,1734,1708,1684
 "13000","Georgia",5,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",12864,12295,11769,11362,11972,11179,11212,11326,11735,11725,12222,12391,13245,13707,14397,14663,15551,14999,15046,15473,16414
 "13000","Georgia",5,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",9957,9744,9594,9720,8855,9178,8862,8868,9296,9690,9661,8911,9772,8826,10434,10687,10401,10536,10921,9818,9758
 "13000","Georgia",5,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),(D),(D),(D),(D),1566,(D),(D),(D),(D),(D),(D),(D),(D),(D),4517,4641,3237,3177
 "13000","Georgia",5,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",8453,8253,8187,7929,7336,7103,6948,(D),6852,7003,5997,5188,5191,5158,5609,5281,5437,5401,5541,5721,5712
 "13000","Georgia",5,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),618,739,860,869
 "13000","Georgia",5,SAEMP25N,300,"22","   Utilities","Number of jobs",20029,20611,20376,21185,21006,21001,20904,20609,21011,21655,22303,21602,20875,20866,20693,20732,20746,21395,22212,20757,20235
 "13000","Georgia",5,SAEMP25N,400,"23","   Construction","Number of jobs",280724,298813,306031,312870,301770,312664,327982,351289,368437,370663,342297,296003,268875,265089,262060,269789,284668,292251,312833,321281,339089
 "13000","Georgia",5,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",60311,66569,67536,71262,70347,66450,71054,76313,81105,79845,73437,62045,56440,53301,55393,57575,60565,66637,67925,69484,71136
 "13000","Georgia",5,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",31224,35404,36573,36339,36601,37443,37540,39481,42571,43645,38489,32988,29256,27618,26532,26218,27464,27878,32593,34244,40337
 "13000","Georgia",5,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",189189,196840,201922,205269,194822,208771,219388,235495,244761,247173,230371,200970,183179,184170,180135,185996,196639,197736,212315,217553,227616
 "13000","Georgia",5,SAEMP25N,500,"31-33","   Manufacturing","Number of jobs",554195,548441,538010,519607,487834,463817,462231,462353,462605,448931,426002,376665,361976,369871,373770,379019,388857,400057,412230,421694,433629
 "13000","Georgia",5,SAEMP25N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",242147,244084,242993,237363,220299,208410,209887,215043,216844,210474,198259,170997,164728,171979,177088,182738,187835,194663,201526,207098,215683
 "13000","Georgia",5,SAEMP25N,511,"321","     Wood product manufacturing","Number of jobs",32101,32808,31235,28154,27023,24724,25629,26942,26733,24851,21195,17165,15808,(D),16117,16886,17560,18381,19031,20493,22176
 "13000","Georgia",5,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",19266,19791,19840,20234,19807,19716,20482,20912,22121,22029,19584,15922,15513,15398,14921,14983,15291,16427,17249,16732,17655
 "13000","Georgia",5,SAEMP25N,513,"331","     Primary metal manufacturing","Number of jobs",13100,12383,12690,11866,8456,7980,8173,7498,7028,6850,6381,5692,5948,6749,7393,7377,7388,7285,7426,7532,8054
 "13000","Georgia",5,SAEMP25N,514,"332","     Fabricated metal product manufacturing","Number of jobs",29747,30225,30177,29722,26984,26286,26641,27998,29176,29806,28544,24201,22881,24041,25364,26858,28223,29344,30496,31382,33045
 "13000","Georgia",5,SAEMP25N,515,"333","     Machinery manufacturing","Number of jobs",28893,28760,28593,27359,25172,24543,23819,24982,25108,24990,24213,21620,20277,21004,21396,21802,21888,22660,22311,22885,23935
 "13000","Georgia",5,SAEMP25N,516,"334","     Computer and electronic product manufacturing","Number of jobs",22685,22938,22127,20342,17475,14360,13605,14216,14052,13902,13408,11602,11173,11395,11624,11859,11303,11268,10988,10749,11263
 "13000","Georgia",5,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",19470,19660,20070,19527,18775,16836,16577,16130,15346,14233,14076,12933,11464,11693,12001,12706,13060,13192,13658,14933,14722
