GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "15000","Hawaii",8,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",738175,738111,749439,752548,757721,773638,797263,819997,842413,864625,858402,829897,824460,835012,849156,868122,882732,901206,913190,920376,931153
 "15000","Hawaii",8,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",606429,607879,624169,628046,631037,642343,657931,674135,690321,698292,692977,664720,661142,668971,680842,693539,702829,715102,722234,727706,732413
 "15000","Hawaii",8,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",131746,130232,125270,124502,126684,131295,139332,145862,152092,166333,165425,165177,163318,166041,168314,174583,179903,186104,190956,192670,198740
 "15000","Hawaii",8,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",5297,5274,5258,5236,4795,4719,4604,4605,4513,6149,6006,5903,5848,5776,5636,5693,5777,5876,5945,5931,5929
 "15000","Hawaii",8,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",126449,124958,120012,119266,121889,126576,134728,141257,147579,160184,159419,159274,157470,160265,162678,168890,174126,180228,185011,186739,192811
 "15000","Hawaii",8,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",12501,12292,12839,12314,11978,11917,11596,11404,11304,12489,11661,11288,11510,12304,11735,11861,13153,12610,12239,11981,12505
 "15000","Hawaii",8,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",725674,725819,736600,740234,745743,761721,785667,808593,831109,852136,846741,818609,812950,822708,837421,856261,869579,888596,900951,908395,918648
 "15000","Hawaii",8,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",559509,561297,570604,572819,574998,589992,612160,636103,656271,675795,666346,637404,630892,640615,654331,673482,686651,703063,717364,726442,736950
 "15000","Hawaii",8,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",5135,4809,4345,3792,4177,3647,3774,3639,3572,3473,3603,3716,3757,3715,4029,4156,4423,4026,3973,3877,3978
 "15000","Hawaii",8,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",(T),(T),(T),(D),71,(D),(D),83,90,87,90,115,74,73,99,107,94,(D),115,91,85
 "15000","Hawaii",8,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",2852,2610,2354,(D),2268,(D),(D),1789,1700,1675,1668,1637,1670,1513,1610,1703,1689,(D),1616,1457,1451
 "15000","Hawaii",8,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",2177,2089,1902,1646,1838,1824,1771,1767,1782,1711,1845,1964,2013,2129,2320,2346,2640,2379,2242,2329,2442
 "15000","Hawaii",8,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",531,509,474,487,417,550,556,598,672,767,966,983,1132,955,1060,1031,954,1057,1017,793,761
 "15000","Hawaii",8,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),208,169,216,221,276,317,330,(D),(D),(D),(D),(D),(D),(D),(D),(D),395,389
 "15000","Hawaii",8,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",308,292,291,276,246,(D),(D),(D),(D),(D),419,407,433,399,408,321,285,331,292,(D),(D)
 "15000","Hawaii",8,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),3,2,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "15000","Hawaii",8,SAEMP25N,300,"22","   Utilities","Number of jobs",2975,2948,2888,2766,2752,2795,2870,3069,3130,3265,3378,3417,3462,3529,3822,4085,4152,4314,4534,4162,4166
 "15000","Hawaii",8,SAEMP25N,400,"23","   Construction","Number of jobs",31434,31115,32765,33071,33875,36760,39099,45791,49060,51340,49701,42561,39378,38901,40154,42048,43116,46438,50078,48441,48714
 "15000","Hawaii",8,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",8588,8675,9397,9607,10331,10962,11607,13728,15300,15679,14649,12210,11139,10933,11501,12068,12425,14104,14677,14186,14333
 "15000","Hawaii",8,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",3972,4066,4457,4358,4575,4581,4532,5189,5598,5694,5524,4754,4644,4526,4598,4625,4845,5081,5242,4999,5318
 "15000","Hawaii",8,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",18874,18374,18911,19106,18969,21217,22960,26874,28162,29967,29528,25597,23595,23442,24055,25355,25846,27253,30159,29256,29063
 "15000","Hawaii",8,SAEMP25N,500,"31-33","   Manufacturing","Number of jobs",19148,19090,19378,19542,18413,17957,18541,18542,18664,19046,18309,17546,16474,16790,17479,18178,18278,18427,18881,18819,18903
 "15000","Hawaii",8,SAEMP25N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",5833,5808,5907,(D),(D),(D),5996,6165,6308,6680,6517,6319,5791,5919,5790,6069,5823,6012,6423,6322,6403
 "15000","Hawaii",8,SAEMP25N,511,"321","     Wood product manufacturing","Number of jobs",750,790,732,(D),(D),(D),(D),792,764,(D),(D),(D),656,593,635,713,(D),555,627,590,599
 "15000","Hawaii",8,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",996,1008,1011,1036,1115,1123,1235,1213,1268,1305,1284,1037,985,1035,1034,1112,1108,1142,1199,1162,1157
 "15000","Hawaii",8,SAEMP25N,513,"331","     Primary metal manufacturing","Number of jobs",(T),(T),(T),18,16,13,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
