GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "92000","Mideast",2,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",25170029,25710165,26409297,26495670,26442196,26528689,26904113,27308630,27713122,28251978,28370832,27759001,27763099,28281659,28578752,28989781,29461455,29957286,30370445,30741798,31321909
 "92000","Mideast",2,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",21556532,21990402,22477345,22448117,22302454,22207488,22348601,22534604,22761367,22959740,22983879,22247067,22191146,22382982,22644409,22865503,23161985,23487634,23776879,24033208,24374792
 "92000","Mideast",2,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",3613497,3719763,3931952,4047553,4139742,4321201,4555512,4774026,4951755,5292238,5386953,5511934,5571953,5898677,5934343,6124278,6299470,6469652,6593566,6708590,6947117
 "92000","Mideast",2,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",126439,125413,124781,123120,117995,113187,109143,107909,104694,110558,109737,108634,108327,107826,105948,107364,104637,103315,102414,101057,100835
 "92000","Mideast",2,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",3487058,3594350,3807171,3924433,4021747,4208014,4446369,4666117,4847061,5181680,5277216,5403300,5463626,5790851,5828395,6016914,6194833,6366337,6491152,6607533,6846282
 "92000","Mideast",2,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",179457,182603,188424,185433,180564,171019,162655,160279,157405,161497,158564,155931,158358,159528,167786,168736,166106,166268,172226,170169,162161
 "92000","Mideast",2,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",24990572,25527562,26220873,26310237,26261632,26357670,26741458,27148351,27555717,28090481,28212268,27603070,27604741,28122131,28410966,28821045,29295349,29791018,30198219,30571629,31159748
 "92000","Mideast",2,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",21379457,21891132,22524480,22590013,22460644,22543328,22931995,23323654,23725414,24245477,24328265,23700598,23701459,24301617,24637514,25059695,25550207,26060757,26466692,26835762,27387115
 "92000","Mideast",2,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",46316,45469,43181,41160,(D),39898,41977,43395,43489,44503,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",10602,11169,9911,9778,(D),(D),9091,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",8487,8070,7871,6722,7845,(D),6998,(D),(D),(D),6763,(D),(D),(D),6231,(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",27227,26230,25399,24660,27694,25389,25888,26113,26197,28111,29405,29697,30614,30429,30248,30114,33049,30706,32038,33010,35334
 "92000","Mideast",2,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",44499,43461,41521,43571,(D),42515,41249,42619,46214,51624,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",12409,12349,11367,12701,(D),(D),(D),13098,(D),(D),(D),(D),29628,(D),(D),37604,(D),(D),35965,(D),26682
 "92000","Mideast",2,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",28853,27882,26740,(D),24287,(D),(D),24250,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",3237,3230,3414,(D),3834,4246,4653,5271,(D),7303,8321,(D),(D),(D),(D),(D),21489,(D),12548,14669,16955
 "92000","Mideast",2,SAEMP25N,300,"22","   Utilities","Number of jobs",110033,107369,110702,(D),(D),100949,96777,93076,91101,91052,91921,90996,92477,91913,91505,91946,92962,98756,103025,96818,97288
 "92000","Mideast",2,SAEMP25N,400,"23","   Construction","Number of jobs",1165536,1226875,1276382,1323911,1303226,1334180,1384005,1438069,1482074,1498781,1463980,1325387,1261928,1272076,1299488,1342034,1373645,1403267,1458693,(D),1506350
 "92000","Mideast",2,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",257756,278785,294069,304415,311621,304563,317873,335908,346227,342392,334779,296902,282413,276002,289605,301954,313471,342187,351198,351488,356138
 "92000","Mideast",2,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",100664,105712,110150,112977,114526,113813,113135,114432,119350,120192,120602,115498,113217,116213,119248,118302,121789,121444,125657,(D),138133
 "92000","Mideast",2,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",807116,842378,872163,906519,877079,915804,952997,987729,1016497,1036197,1008599,912987,866298,879861,890635,921778,938385,939636,981838,985110,1012079
 "92000","Mideast",2,SAEMP25N,500,"31-33","   Manufacturing","Number of jobs",2367606,2311746,2300331,2198188,(D),1916648,1863414,1827205,1797379,1757625,1705727,1546712,1489413,1496677,1490489,1488815,1484233,1485582,1482015,(D),1499803
 "92000","Mideast",2,SAEMP25N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",1293824,1269208,1274031,1226875,(D),1051179,1030036,1019309,1015080,996522,973020,865898,830182,843517,842158,839877,831029,837122,828816,(D),841176
 "92000","Mideast",2,SAEMP25N,511,"321","     Wood product manufacturing","Number of jobs",54611,55787,56484,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),36718,37070,(D),40921,41955,43720,43039,44053
 "92000","Mideast",2,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",84862,82591,84041,81058,77166,72209,70681,69036,(D),64284,62164,55363,53107,53887,53365,53223,53164,54011,55677,55969,56707
 "92000","Mideast",2,SAEMP25N,513,"331","     Primary metal manufacturing","Number of jobs",97154,92533,92172,86003,78549,71679,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),52030,(D),52744
 "92000","Mideast",2,SAEMP25N,514,"332","     Fabricated metal product manufacturing","Number of jobs",230341,228171,230005,222294,203935,191399,189565,192379,193212,(D),(D),(D),164331,168381,170382,170057,168420,169598,166362,166682,169638
 "92000","Mideast",2,SAEMP25N,515,"333","     Machinery manufacturing","Number of jobs",198845,191522,184934,176619,156652,142869,138255,136321,136713,136171,135555,119258,112960,117466,(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAEMP25N,516,"334","     Computer and electronic product manufacturing","Number of jobs",221910,216178,225442,(D),198724,181459,176798,173685,173677,167092,164778,153332,147753,146721,141880,137946,134760,(D),(D),136264,138109
 "92000","Mideast",2,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",73155,69733,69082,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "92000","Mideast",2,SAEMP25N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",82328,82455,81376,73840,69563,64566,62415,59163,56065,50997,43750,32362,30811,30695,29988,29394,30174,31799,31986,32660,34112
 "92000","Mideast",2,SAEMP25N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",52192,49564,49443,44121,42238,40161,40827,42663,44106,46110,48804,46145,43202,43016,(D),43367,40626,39858,36542,36429,37675
