GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",5383530,5485654,5621494,5526201,5466159,5441706,5467568,5491738,5457450,5457408,5337644,5046501,5038194,5165348,5234473,5323762,5412041,5501054,5575128,5643225,5728602
 "26000","Michigan",3,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",4607674,4698703,4781618,4668086,4584913,4515471,4496353,4480377,4418188,4363103,4245510,3944323,3936587,4026177,4101235,4179314,4254618,4327527,4403382,4446743,4500592
 "26000","Michigan",3,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",775856,786951,839876,858115,881246,926235,971215,1011361,1039262,1094305,1092134,1102178,1101607,1139171,1133238,1144448,1157423,1173527,1171746,1196482,1228010
 "26000","Michigan",3,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",53631,54358,53423,54199,52106,50264,48792,48264,47085,49202,47686,46948,46869,46484,45621,45956,44479,43993,43195,42158,41610
 "26000","Michigan",3,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",722225,732593,786453,803916,829140,875971,922423,963097,992177,1045103,1044448,1055230,1054738,1092687,1087617,1098492,1112944,1129534,1128551,1154324,1186400
 "26000","Michigan",3,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",72875,75273,73645,73091,69650,69512,69568,67440,65059,70402,65251,64682,63240,70015,65906,67863,67460,69193,67083,61700,63670
 "26000","Michigan",3,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",5310655,5410381,5547849,5453110,5396509,5372194,5398000,5424298,5392391,5387006,5272393,4981819,4974954,5095333,5168567,5255899,5344581,5431861,5508045,5581525,5664932
 "26000","Michigan",3,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",4645236,4736066,4849596,4754342,4694393,4673696,4704698,4734983,4713053,4712976,4608654,4322035,4323483,4464001,4548781,4645048,4738134,4827333,4898706,4970420,5050246
 "26000","Michigan",3,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",14769,14364,13705,13724,14017,12865,13967,14626,13978,14565,15070,14875,15085,15417,16230,16414,17614,16782,17014,16913,17357
 "26000","Michigan",3,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",4575,4650,4271,4302,4189,3862,4131,4450,4248,4105,4186,3727,3497,3730,4422,4486,4414,4747,4739,4309,4109
 "26000","Michigan",3,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),1089,1333,1099,1310,1415,1465,1402,1424,1338,1323,1241,1272,1325,1338,1204,1234,1175,1178
 "26000","Michigan",3,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",8810,8403,8151,8333,8495,7904,8526,8761,8265,9058,9460,9810,10265,10446,10536,10603,11862,10831,11041,11429,12070
 "26000","Michigan",3,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",14274,14081,13469,14293,12756,13841,12947,13232,13862,14317,17472,16440,19306,17040,22187,22749,21277,21094,20667,16644,16456
 "26000","Michigan",3,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",6156,6197,5664,6430,5664,6956,6241,6382,7106,7276,10307,10303,12783,10130,13464,14869,13491,13786,13656,8999,8891
 "26000","Michigan",3,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",6230,6205,6123,6153,5440,5252,4958,5013,4755,4830,4783,4124,4532,4754,5885,5173,5025,5027,5103,5231,5169
 "26000","Michigan",3,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",1888,1679,1682,1710,1652,1633,1748,1837,2001,2211,2382,2013,1991,2156,2838,2707,2761,2281,1908,2414,2396
 "26000","Michigan",3,SAEMP25N,300,"22","   Utilities","Number of jobs",21582,21785,21882,21607,20865,21037,20950,21306,21183,21138,21590,20857,20078,19745,19655,19829,20290,20580,21213,20785,20869
 "26000","Michigan",3,SAEMP25N,400,"23","   Construction","Number of jobs",276599,286929,303522,305196,296950,293288,300167,304063,290796,278243,259726,228763,218708,222628,227178,234018,243060,248539,260097,266480,276439
 "26000","Michigan",3,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",65903,70044,74603,76589,76287,70559,73181,74327,70934,64718,59833,52171,49842,48607,50834,52787,55819,61039,62674,64015,66529
 "26000","Michigan",3,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",19781,21085,24016,23398,23057,21582,22153,23498,22978,22459,21009,18854,18047,17321,18203,19136,19712,18997,20332,20995,22587
 "26000","Michigan",3,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",190915,195800,204903,205209,197606,201147,204833,206238,196884,191066,178884,157738,150819,156700,158141,162095,167529,168503,177091,181470,187323
 "26000","Michigan",3,SAEMP25N,500,"31-33","   Manufacturing","Number of jobs",904411,917182,911843,845420,774177,732277,711099,690497,663841,639049,592683,483555,491546,527684,553205,572496,592625,611849,627542,643027,657448
 "26000","Michigan",3,SAEMP25N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",715051,726564,726730,669675,608094,572158,553713,535334,510653,488430,447210,353210,360030,390555,412970,428402,444705,460395,470484,483544,495161
 "26000","Michigan",3,SAEMP25N,511,"321","     Wood product manufacturing","Number of jobs",15481,15534,15676,14143,13250,13468,13637,13463,12832,12097,11219,9506,9565,9908,10146,10903,11211,11490,12135,12170,12480
 "26000","Michigan",3,SAEMP25N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",20274,20937,21136,19719,18864,17928,16308,15993,15409,14573,13455,11792,11662,12112,10975,10694,11125,11615,11644,11730,11912
 "26000","Michigan",3,SAEMP25N,513,"331","     Primary metal manufacturing","Number of jobs",34397,35571,34608,31910,28805,27199,28109,27507,26536,25542,24149,17157,19026,21659,22021,21917,22501,22512,22309,22608,23128
 "26000","Michigan",3,SAEMP25N,514,"332","     Fabricated metal product manufacturing","Number of jobs",98894,101026,101005,91294,86291,84405,85363,86875,86664,84065,80026,62527,66977,74452,78664,80234,82826,84815,83402,82764,84219
 "26000","Michigan",3,SAEMP25N,515,"333","     Machinery manufacturing","Number of jobs",105700,104449,103648,91274,81346,78389,78006,77530,76535,72337,69534,58098,57966,63828,68774,71360,72584,74682,75005,76960,78428
 "26000","Michigan",3,SAEMP25N,516,"334","     Computer and electronic product manufacturing","Number of jobs",26726,25581,25152,24045,21428,19866,19582,20756,21324,21518,21728,18955,17735,18312,18765,18580,18829,20001,20482,20851,21330
 "26000","Michigan",3,SAEMP25N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",16938,16463,16290,16496,15722,15255,15004,13848,11185,11173,11317,10262,10383,11262,11562,11589,11862,13544,13837,14270,14549
