GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "31000","Nebraska",4,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",1138369,1156816,1173756,1175112,1165989,1169200,1180180,1192178,1208025,1230935,1237365,1223177,1219802,1232457,1251258,1266477,1282745,1302888,1311043,1320856,1335240
 "31000","Nebraska",4,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",918664,936047,949159,951554,945677,948562,955181,962567,972964,986050,990945,969796,966605,970527,988861,1000260,1013648,1030828,1036362,1040706,1048322
 "31000","Nebraska",4,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",219705,220769,224597,223558,220312,220638,224999,229611,235061,244885,246420,253381,253197,261930,262397,266217,269097,272060,274681,280150,286918
 "31000","Nebraska",4,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",54347,54158,53515,49442,44096,41715,40622,40270,39165,39018,39564,40013,41220,41738,41806,41883,41145,40615,40110,38979,38626
 "31000","Nebraska",4,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",165358,166611,171082,174116,176216,178923,184377,189341,195896,205867,206856,213368,211977,220192,220591,224334,227952,231445,234571,241171,248292
 "31000","Nebraska",4,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",68107,68731,66442,63301,57003,55345,53300,52054,50315,49869,49906,51627,54213,55431,53922,54160,53313,56704,54595,54574,55247
 "31000","Nebraska",4,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",1070262,1088085,1107314,1111811,1108986,1113855,1126880,1140124,1157710,1181066,1187459,1171550,1165589,1177026,1197336,1212317,1229432,1246184,1256448,1266282,1279993
 "31000","Nebraska",4,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",909057,927553,944741,947873,940755,944155,956159,969323,985353,1009387,1014146,995379,988447,1002560,1023849,1039007,1055355,1071498,1080883,1090750,1104650
 "31000","Nebraska",4,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",8136,7653,7058,6771,7141,6557,7073,7363,7386,8549,8940,9643,10006,10520,10695,11219,11742,10371,10907,11196,11872
 "31000","Nebraska",4,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",(T),(T),(T),(D),(D),149,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),181,192,166,150
 "31000","Nebraska",4,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),(D),(D),219,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),258,252,255,256
 "31000","Nebraska",4,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",7316,6869,6266,6393,6684,6189,6637,6910,6927,8115,8512,9243,9632,10125,10260,10783,11289,9932,10463,10775,11466
