GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39000","Ohio",3,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",6599132,6681355,6789300,6725753,6640240,6620830,6666592,6709210,6747271,6794918,6725195,6454964,6418162,6521658,6605931,6680769,6771468,6862067,6932002,7005100,7092980
 "39000","Ohio",3,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",5649915,5726183,5781879,5709552,5613888,5562507,5568545,5571976,5581427,5576357,5500159,5200846,5163982,5221997,5316428,5369126,5441715,5521245,5583375,5622958,5670494
 "39000","Ohio",3,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",949217,955172,1007421,1016201,1026352,1058323,1098047,1137234,1165844,1218561,1225036,1254118,1254180,1299661,1289503,1311643,1329753,1340822,1348627,1382142,1422486
 "39000","Ohio",3,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",83539,82936,83089,80527,75380,72471,70216,69221,67367,66444,66224,66321,67417,67970,67932,68169,69297,70090,70857,70576,70545
 "39000","Ohio",3,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",865678,872236,924332,935674,950972,985852,1027831,1068013,1098477,1152117,1158812,1187797,1186763,1231691,1221571,1243474,1260456,1270732,1277770,1311566,1351941
 "39000","Ohio",3,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",99218,100064,101045,98289,89288,88195,85169,83780,82962,83625,78854,79948,80764,81224,87525,84230,81873,88103,90949,87358,88321
 "39000","Ohio",3,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",6499914,6581291,6688255,6627464,6550952,6532635,6581423,6625430,6664309,6711293,6646341,6375016,6337398,6440434,6518406,6596539,6689595,6773964,6841053,6917742,7004659
 "39000","Ohio",3,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",5696799,5774371,5865417,5793049,5707518,5688650,5738479,5790278,5831208,5875172,5811687,5546383,5512363,5632878,5719115,5801201,5895034,5980188,6040082,6113555,6199710
 "39000","Ohio",3,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",11939,11573,10599,10286,11523,10430,11220,11458,11424,12207,12935,12746,12875,13130,13948,14178,15099,14369,14822,14852,15671
 "39000","Ohio",3,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",2873,2936,2566,2480,2485,2310,2559,2656,2656,2625,2652,2304,2152,2352,2962,3074,2919,3142,3062,2588,2396
