GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "46000","South Dakota",4,SAEMP25N,10,"...","Total employment (number of jobs)","Number of jobs",490715,501684,512377,511664,509549,509653,518410,527755,538720,551957,561007,556453,558135,566480,574966,581384,589296,592665,597372,603150,611638
 "46000","South Dakota",4,SAEMP25N,20,"..."," Wage and salary employment","Number of jobs",377080,387630,394801,396026,395488,396335,402184,407734,415350,423437,430152,421797,423052,427213,435054,438191,444363,447453,450787,453651,458771
 "46000","South Dakota",4,SAEMP25N,40,"..."," Proprietors employment","Number of jobs",113635,114054,117576,115638,114061,113318,116226,120021,123370,128520,130855,134656,135083,139267,139912,143193,144933,145212,146585,149499,152867
 "46000","South Dakota",4,SAEMP25N,50,"...","  Farm proprietors employment","Number of jobs",33386,33197,33310,32652,29822,28526,27823,27465,26761,26379,26686,27055,27400,27674,27513,27811,27218,26802,26312,26086,25728
 "46000","South Dakota",4,SAEMP25N,60,"...","  Nonfarm proprietors employment 2/","Number of jobs",80249,80857,84266,82986,84239,84792,88403,92556,96609,102141,104169,107601,107683,111593,112399,115382,117715,118410,120273,123413,127139
 "46000","South Dakota",4,SAEMP25N,70,"111-112"," Farm employment","Number of jobs",38451,38539,38031,37694,34499,32113,32629,32743,31500,31743,32140,31641,32343,33231,34357,34101,33584,31710,30934,31533,31346
 "46000","South Dakota",4,SAEMP25N,80,"..."," Nonfarm employment","Number of jobs",452264,463145,474346,473970,475050,477540,485781,495012,507220,520214,528867,524812,525792,533249,540609,547283,555712,560955,566438,571617,580292
 "46000","South Dakota",4,SAEMP25N,90,"113-814","  Private nonfarm employment","Number of jobs",376274,386333,396379,394965,395432,397322,405045,414729,426856,439744,446895,440455,440023,448167,456584,463211,471347,476741,481443,485568,493775
 "46000","South Dakota",4,SAEMP25N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",4811,4549,4122,3455,3827,3462,3664,3836,3995,4362,4731,4843,5121,5381,5573,5671,6017,5497,5647,5722,6083
 "46000","South Dakota",4,SAEMP25N,101,"113","    Forestry and logging","Number of jobs",369,429,352,326,332,295,301,362,373,373,366,319,307,322,430,460,450,447,413,354,322
 "46000","South Dakota",4,SAEMP25N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),334,442,398,496,528,587,604,638,611,621,594,644,638,665,572,598,590,591
 "46000","South Dakota",4,SAEMP25N,103,"115","    Support activities for agriculture and forestry","Number of jobs",3852,3574,3245,2795,3053,2769,2867,2946,3035,3385,3727,3913,4193,4465,4499,4573,4902,4478,4636,4778,5170
 "46000","South Dakota",4,SAEMP25N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",2122,1531,1382,1551,1260,1333,1215,1280,1400,1607,2055,1833,2216,2091,2805,2929,2788,2866,2949,2659,2615
 "46000","South Dakota",4,SAEMP25N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),507,537,882,852,1165,999,1375,(D),1539,1651,1665,1195,1173
 "46000","South Dakota",4,SAEMP25N,202,"212","    Mining (except oil and gas)","Number of jobs",1731,1140,1017,1183,904,893,808,798,825,940,1007,900,947,967,1216,(D),(D),1101,1168,1304,1273
 "46000","South Dakota",4,SAEMP25N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),68,130,166,81,104,125,214,170,(D),114,116,160,169
 "46000","South Dakota",4,SAEMP25N,300,"22","   Utilities","Number of jobs",2217,2138,2117,2077,2097,2089,2097,2192,2304,2307,2177,2192,2170,2136,2049,2031,2051,2105,2221,2100,2081
 "46000","South Dakota",4,SAEMP25N,400,"23","   Construction","Number of jobs",26319,27338,28543,28946,28805,29915,31164,33083,34182,34804,34853,33063,31847,31633,31874,32530,33369,34031,35219,34476,35508
 "46000","South Dakota",4,SAEMP25N,401,"236","    Construction of buildings","Number of jobs",7076,7372,7681,7732,8176,8065,8224,8706,8756,8777,8782,8283,7811,7521,7718,7907,8188,8716,8778,8471,8623
 "46000","South Dakota",4,SAEMP25N,402,"237","    Heavy and civil engineering construction","Number of jobs",3349,3858,3877,3881,3904,3868,3968,3993,4401,4520,4523,4596,4322,4349,4262,4217,4296,4242,4899,4512,4620
 "46000","South Dakota",4,SAEMP25N,403,"238","    Specialty trade contractors","Number of jobs",15894,16108,16985,17333,16725,17982,18972,20384,21025,21507,21548,20184,19714,19763,19894,20406,20885,21073,21542,21493,22265
 "46000","South Dakota",4,SAEMP25N,500,"31-33","   Manufacturing","Number of jobs",43130,43357,44031,42386,39903,39079,40332,41480,43025,43897,44585,39803,38718,41288,43251,43783,44618,44852,44651,45612,47103
