GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "06000","California",8,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",14746957,15179482,15621983,15711829,15641543,15591389,15682676,15870028,16116466,16241789,16052090,15151262,14946231,15091751,15713601,16212158,16694268,17186042,17602390,17900450,18306558
 "06000","California",8,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",246141,272437,238360,208810,240660,240949,210576,178636,158978,167893,156022,161274,167173,163479,158788,165674,180221,179440,176653,172126,177838
 "06000","California",8,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",14500816,14907045,15383623,15503019,15400883,15350440,15472100,15691392,15957488,16073896,15896068,14989988,14779058,14928272,15554813,16046484,16514047,17006602,17425737,17728324,18128720
 "06000","California",8,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",12091804,12428090,12824416,12888863,12711844,12671907,12820346,13041125,13285342,13358108,13138774,12260439,12100886,12311710,12963186,13445494,13874075,14312920,14676337,14942479,15324458
 "06000","California",8,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",176458,175704,177262,168878,166557,171239,169931,180431,182100,188386,192485,178375,190803,194107,202464,212185,216078,221675,227847,229884,234783
 "06000","California",8,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",3906,3884,3538,3363,3260,3072,3066,2998,2868,2900,3069,2525,2700,2887,2865,2748,2607,2702,2382,2462,2519
 "06000","California",8,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",1778,1682,1478,1028,979,901,829,687,675,645,653,567,586,464,471,449,513,537,527,512,490
 "06000","California",8,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",170774,170138,172246,164487,162318,167266,166036,176746,178557,184841,188763,175283,187517,190756,199128,208988,212958,218436,224938,226910,231774
 "06000","California",8,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",24870,22331,22720,23770,21040,20433,21295,22112,23875,24863,26289,23873,24391,26268,28029,27880,28604,26193,22023,19737,20257
 "06000","California",8,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",8611,7460,7450,8096,7309,7169,7762,7620,8092,8071,8869,8508,8806,9107,9802,9924,9789,10564,9221,4921,4761
 "06000","California",8,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",7191,7403,7223,7105,6454,6309,6396,6507,6610,6380,5990,5478,5158,5253,5275,5315,5515,5422,5113,5545,5826
 "06000","California",8,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",9068,7468,8047,8569,7277,6955,7137,7985,9173,10412,11430,9887,10427,11908,12952,12641,13300,10207,7689,9271,9670
 "06000","California",8,SAEMP27N,300,"22","   Utilities","Number of jobs",57275,56681,55491,54650,55197,55562,56176,56064,56455,58048,58774,60043,57109,58292,59386,58934,57873,57551,58632,58340,56559
 "06000","California",8,SAEMP27N,400,"23","   Construction","Number of jobs",629875,699545,747276,804433,800894,819937,883702,936113,962248,917839,809698,639853,575918,575807,605845,653646,689292,749676,794221,831413,882489
 "06000","California",8,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",145396,160702,171229,183530,184451,189974,204977,221670,230714,220598,193197,150808,135973,135944,141666,150587,159569,170539,180724,189687,202694
 "06000","California",8,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",78156,83179,87152,92613,93064,89644,90146,93347,96152,94023,86773,72174,67166,70732,77786,79960,79407,82123,84289,87264,93614
 "06000","California",8,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",406323,455664,488895,528290,523379,540319,588579,621096,635382,603218,529728,416871,372779,369131,386393,423099,450316,497014,529208,554462,586181
 "06000","California",8,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",1853486,1820689,1845097,1791232,1642716,1541255,1525855,1506184,1498770,1460411,1422483,1284218,1240523,1246275,1252180,1252668,1271790,1294101,1304577,1311767,1323107
 "06000","California",8,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",1203275,1177852,1203813,1170695,1056314,979928,968544,963380,956780,924796,898706,799880,769862,777531,781013,779778,793903,811295,817946,823633,845511
 "06000","California",8,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",42616,43785,44244,42698,40906,39694,39629,38864,36626,33222,28731,22637,20679,19815,19910,20923,22019,22553,23792,23969,25189
 "06000","California",8,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",44462,45985,47680,47984,46307,45048,45836,47336,47386,45137,38773,31398,28808,27923,28262,28881,30334,31279,31760,31979,32578
 "06000","California",8,SAEMP27N,513,"331","     Primary metal manufacturing","Number of jobs",30643,29928,30537,29168,26956,25411,25227,25111,25382,24942,24068,19975,18943,20143,20036,19188,18654,18434,17311,17103,17216
 "06000","California",8,SAEMP27N,514,"332","     Fabricated metal product manufacturing","Number of jobs",170848,166626,172003,164462,146027,138444,140605,140776,141315,141608,140488,118688,115885,119998,124091,126225,130009,132385,130233,130462,133091
 "06000","California",8,SAEMP27N,515,"333","     Machinery manufacturing","Number of jobs",108506,103366,107717,103747,92658,85665,81351,80411,80065,79511,77823,69036,66844,71017,71920,72185,72872,73542,73970,75213,77329
 "06000","California",8,SAEMP27N,516,"334","     Computer and electronic product manufacturing","Number of jobs",427116,411443,426264,421377,363473,326703,321930,321892,319617,303649,300140,280061,273910,274018,270513,262460,262851,266520,274237,273384,278967
 "06000","California",8,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",41453,41626,43722,43391,39776,36248,33095,32330,31998,31816,31767,28599,27979,28661,29119,29030,29491,30499,31026,31810,33213
 "06000","California",8,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",44307,45068,45852,43505,42911,40702,41004,39648,39328,36435,34400,27764,22893,19785,19987,20041,24612,27597,29071,32807,38010
 "06000","California",8,SAEMP27N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",120940,114283,106285,100445,94975,87671,89025,88379,87803,87494,88741,85192,81530,83433,82392,83180,82775,89495,87940,88329,88695
 "06000","California",8,SAEMP27N,521,"337","     Furniture and related product manufacturing","Number of jobs",71396,74878,76478,73513,68064,62553,61945,60187,57989,51672,45381,34755,31566,31497,31489,32498,33959,35054,35711,35678,34914
 "06000","California",8,SAEMP27N,522,"339","     Miscellaneous manufacturing","Number of jobs",100988,100864,103031,100405,94261,91789,88897,88446,89271,89310,88394,81775,80825,81241,83294,85167,86327,83937,82895,82899,86309
 "06000","California",8,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",650211,642837,641284,620537,586402,561327,557311,542804,541990,535615,523777,484338,470661,468744,471167,472890,477887,482806,486631,488134,477596
 "06000","California",8,SAEMP27N,531,"311","     Food manufacturing","Number of jobs",157571,155998,155938,159156,156083,155596,154944,152247,149926,152896,152424,147989,146577,149299,149891,150512,152599,155718,158984,162557,161092
 "06000","California",8,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",32372,32663,33665,36704,36360,35337,36625,37731,42110,43264,44542,43006,42109,42837,44748,47045,50537,54268,57471,61107,63524
 "06000","California",8,SAEMP27N,533,"313","     Textile mills","Number of jobs",17024,17748,17739,15688,14843,12919,13801,13164,12492,11476,11135,9715,9071,9153,8860,9018,8534,8342,7413,6600,6259
 "06000","California",8,SAEMP27N,534,"314","     Textile product mills","Number of jobs",19957,19314,19597,18408,17607,16771,16056,14799,13508,12883,12354,10300,9509,8548,8351,8665,8671,8837,8817,8649,8505
 "06000","California",8,SAEMP27N,535,"315","     Apparel manufacturing","Number of jobs",128522,124101,121753,105930,95319,88471,86314,79107,77701,74608,70950,60713,58904,56718,56889,57410,55323,51699,47575,41512,37214
 "06000","California",8,SAEMP27N,536,"316","     Leather and allied product manufacturing","Number of jobs",7503,6967,7094,6221,5575,4879,4402,4067,3958,4018,3855,3283,3454,3424,3427,3388,3095,2648,2715,2649,2826
 "06000","California",8,SAEMP27N,537,"322","     Paper manufacturing","Number of jobs",36819,35892,35115,33563,31580,29998,28554,28071,27607,27069,25796,22727,21976,22175,21389,20843,21157,21948,22122,21746,21318
 "06000","California",8,SAEMP27N,538,"323","     Printing and related support activities","Number of jobs",82870,82373,81264,77020,69456,63649,62276,59814,59398,58014,55130,48659,45229,43199,42314,41924,42119,41821,40886,40021,39215
 "06000","California",8,SAEMP27N,539,"324","     Petroleum and coal products manufacturing","Number of jobs",17033,17224,15816,15980,15592,15852,15514,15045,14951,15735,16165,16252,15741,15076,14633,13613,12896,12475,12338,13400,13057
 "06000","California",8,SAEMP27N,541,"325","     Chemical manufacturing","Number of jobs",80159,79276,80895,82446,80169,78332,81010,82422,84528,82258,80045,76494,74237,74139,76169,76532,78926,80716,83801,85687,80593
 "06000","California",8,SAEMP27N,542,"326","     Plastics and rubber products manufacturing","Number of jobs",70381,71281,72408,69421,63818,59523,57815,56337,55811,53394,51381,45200,43854,44176,44496,43940,44030,44334,44509,44206,43993
 "06000","California",8,SAEMP27N,600,"42","   Wholesale trade","Number of jobs",614830,629622,644829,660431,652738,651994,657715,679328,704940,723201,713315,652881,647274,661306,678616,701188,714758,722217,723824,727188,721005
 "06000","California",8,SAEMP27N,700,"44-45","   Retail trade","Number of jobs",1494965,1530324,1579596,1597911,1605007,1613656,1638377,1676026,1698227,1707666,1658501,1536255,1524779,1547731,1581339,1612398,1640411,1672872,1689892,1702103,1697765
 "06000","California",8,SAEMP27N,701,"441","    Motor vehicle and parts dealers","Number of jobs",188446,193876,200722,206878,208491,209967,212611,214466,213377,209527,194134,163567,159494,163335,170134,176942,184087,192361,198683,202464,202825
 "06000","California",8,SAEMP27N,702,"442","    Furniture and home furnishings stores","Number of jobs",49148,54085,60227,60867,61572,63077,64342,66231,68583,65494,57801,48685,49425,51826,50776,51068,51749,53371,53146,55703,55953
 "06000","California",8,SAEMP27N,703,"443","    Electronics and appliance stores","Number of jobs",83715,87118,90765,88086,80315,79196,78769,81228,82254,80070,79446,65062,63844,67290,65795,62063,61402,62579,65757,64804,63343
 "06000","California",8,SAEMP27N,704,"444","    Building material and garden equipment and supplies dealers","Number of jobs",95336,101852,107842,116368,122257,124575,130667,135467,137449,131687,121754,111971,109513,109842,115681,121961,121185,121492,123867,125729,126222
 "06000","California",8,SAEMP27N,705,"445","    Food and beverage stores","Number of jobs",307558,315995,316914,316765,322031,325263,324019,329266,330671,340843,342111,334364,332610,334735,339460,347028,354633,363292,363454,363352,361843
 "06000","California",8,SAEMP27N,706,"446","    Health and personal care stores","Number of jobs",95191,96718,100760,106659,104437,104813,105343,103701,104566,108021,108555,106582,103920,104068,107487,109231,109132,110451,114002,117068,117359
 "06000","California",8,SAEMP27N,707,"447","    Gasoline stations","Number of jobs",60539,59625,58457,57436,57501,56379,56814,55135,54804,54228,53155,50887,50798,51166,52032,53303,55330,56846,59657,61854,62815
 "06000","California",8,SAEMP27N,708,"448","    Clothing and clothing accessories stores","Number of jobs",149005,152912,159539,158024,162800,158557,177501,187788,185879,193476,190458,165210,170499,176692,182693,179210,179067,178177,176564,198088,195527
 "06000","California",8,SAEMP27N,709,"451","    Sporting goods, hobby, musical instrument, and book stores","Number of jobs",84421,86923,88968,90118,87765,86290,85513,85668,86191,85789,81898,75842,73042,69455,68415,69516,71212,69792,67910,65518,62536
 "06000","California",8,SAEMP27N,711,"452","    General merchandise stores","Number of jobs",240953,235251,239653,246376,251035,263326,262444,277164,292784,296583,291151,288855,289012,293931,299064,305935,311040,318602,318657,294050,292375
 "06000","California",8,SAEMP27N,712,"453","    Miscellaneous store retailers","Number of jobs",110151,113501,116094,113329,113497,109922,106700,105270,104807,102472,97178,88532,87459,88276,89833,92479,94029,95064,93341,92949,92767
 "06000","California",8,SAEMP27N,713,"454","    Nonstore retailers","Number of jobs",30502,32468,39655,37005,33306,32291,33654,34642,36862,39476,40860,36698,35163,37115,39969,43662,47545,50845,54854,60524,64200
 "06000","California",8,SAEMP27N,800,"48-49","   Transportation and warehousing","Number of jobs",442407,453590,461723,458859,438928,428120,431191,435865,440378,451185,451386,417871,410116,417126,428246,445100,466591,499845,531711,570572,608753
 "06000","California",8,SAEMP27N,801,"481","    Air transportation","Number of jobs",65094,66070,67934,68564,59429,54358,51305,48053,45003,46262,46856,43039,41133,41778,43374,44208,44623,48385,51812,54919,56896
 "06000","California",8,SAEMP27N,802,"482","    Rail transportation","Number of jobs",13426,13469,12889,12694,12003,(D),12209,12714,13015,12750,12496,11743,11438,11572,11595,11743,11977,12217,11300,10971,10911
 "06000","California",8,SAEMP27N,803,"483","    Water transportation","Number of jobs",4277,4172,4206,4196,4371,4341,4083,4007,3120,4869,4950,4827,4775,5277,5393,5061,5547,5933,5950,6420,6428
 "06000","California",8,SAEMP27N,804,"484","    Truck transportation","Number of jobs",112767,117036,120793,118875,114826,113155,116516,116519,117601,119011,116906,106354,103871,108972,111788,116344,121884,120280,123668,124978,130433
 "06000","California",8,SAEMP27N,805,"485","    Transit and ground passenger transportation","Number of jobs",36437,37832,36920,36776,37416,36072,34246,35432,36147,37069,38606,37484,37200,39189,40639,41150,42635,43589,46552,47989,50211
 "06000","California",8,SAEMP27N,806,"486","    Pipeline transportation","Number of jobs",2984,2112,2203,2253,2438,2382,2314,2214,2550,2746,2972,2949,2809,2758,2852,2709,2975,3014,1906,1967,1873
 "06000","California",8,SAEMP27N,807,"487","    Scenic and sightseeing transportation","Number of jobs",3582,3650,3681,3617,3320,3106,3105,3402,3406,3725,3593,3438,3514,3670,4010,4155,4331,4255,4553,4815,4814
 "06000","California",8,SAEMP27N,808,"488","    Support activities for transportation","Number of jobs",70034,72102,74253,75670,75593,75245,76281,80226,82291,85066,85212,77143,77756,77526,79837,84052,88455,92511,97027,104700,106812
 "06000","California",8,SAEMP27N,809,"492","    Couriers and messengers","Number of jobs",74923,75933,77415,78674,73371,(D),69754,69507,69723,69005,67438,61904,59497,58660,58721,59862,63539,75229,81516,87543,93140
 "06000","California",8,SAEMP27N,811,"493","    Warehousing and storage","Number of jobs",58883,61214,61429,57540,56161,56429,61378,63791,67522,70682,72357,68990,68123,67724,70037,75816,80625,94432,107427,126270,147235
 "06000","California",8,SAEMP27N,900,"51","   Information","Number of jobs",461716,487941,542072,564814,505111,479337,487507,475210,472898,475158,463971,435641,426557,430480,434346,446949,460552,488581,523574,516841,528190
 "06000","California",8,SAEMP27N,901,"511","    Publishing industries (except Internet)","Number of jobs",104948,107949,116730,120154,110631,105988,103000,100222,98684,99463,95867,89206,83637,84386,86689,87909,88535,93771,96521,101630,107836
 "06000","California",8,SAEMP27N,902,"512","    Motion picture and sound recording industries","Number of jobs",145560,145114,137276,159819,151321,150471,163501,153728,152182,154423,155343,142931,145200,146938,145583,143590,145722,154979,175048,147677,143636
 "06000","California",8,SAEMP27N,903,"515","    Broadcasting (except Internet)","Number of jobs",37642,39907,45360,47109,45176,44052,45744,46675,47127,48881,48125,46333,44276,43292,43951,42647,42751,41993,43677,44837,44785
 "06000","California",8,SAEMP27N,904,"516","    Internet publishing and broadcasting 2/","Number of jobs",3371,5965,13623,10709,6588,6264,5940,6435,6840,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
 "06000","California",8,SAEMP27N,905,"517","    Telecommunications","Number of jobs",128232,135763,144009,151022,134694,121452,118918,115311,109703,121184,110889,103439,97372,94276,89025,88472,87206,82474,78382,76166,70508
 "06000","California",8,SAEMP27N,906,"518","    Data processing, hosting, and related services","Number of jobs",39960,51043,82711,73494,53839,48167,47547,49763,55097,21418,19908,18877,18910,18910,20595,23848,25509,33470,39787,43380,48743
 "06000","California",8,SAEMP27N,907,"519","    Other information services 2/","Number of jobs",2003,2200,2363,2507,2862,2943,2857,3076,3265,29789,33839,34855,37162,42678,48503,60483,70829,81894,90159,103151,112682
 "06000","California",8,SAEMP27N,1000,"52","   Finance and insurance","Number of jobs",561853,571623,570481,591063,600708,628376,636028,656810,661435,633856,589253,556009,532771,541389,553000,552430,556158,566880,580530,588338,583593
 "06000","California",8,SAEMP27N,1001,"521","    Monetary Authorities-central bank","Number of jobs",1096,1099,1128,1245,1271,1306,1215,1236,1451,1655,2653,2597,2492,1847,1436,1534,1570,1647,1776,1751,1880
 "06000","California",8,SAEMP27N,1002,"522","    Credit intermediation and related activities","Number of jobs",242964,243010,234548,259198,277292,295975,305296,323207,322508,303081,261646,244572,242254,245856,252279,250602,239482,239363,246202,247084,240306
 "06000","California",8,SAEMP27N,1003,"523","    Securities, commodity contracts, and other financial investments and related activities","Number of jobs",78959,83884,94040,98741,94383,92004,89440,92460,95111,95439,95504,88350,85344,83914,84387,86033,88310,89856,91511,92468,94038
 "06000","California",8,SAEMP27N,1004,"524","    Insurance carriers and related activities","Number of jobs",237419,242408,239597,230548,226043,237377,238427,237778,239952,233114,228895,220094,202347,209609,214815,213970,225858,235035,239761,244800,244613
 "06000","California",8,SAEMP27N,1005,"525","    Funds, trusts, and other financial vehicles","Number of jobs",1415,1222,1168,1331,1719,1714,1650,2129,2413,567,555,396,334,163,83,291,938,979,1280,2235,2756
 "06000","California",8,SAEMP27N,1100,"53","   Real estate and rental and leasing","Number of jobs",272945,279618,279910,277860,279729,284989,287807,293798,298561,290318,284650,264283,255605,254549,257827,265164,269110,277188,283083,290946,302330
 "06000","California",8,SAEMP27N,1101,"531","    Real estate","Number of jobs",191910,195563,195089,190617,195885,205084,208876,214149,219531,212925,207883,197206,194448,194687,197151,203189,207363,212201,217138,224216,234309
 "06000","California",8,SAEMP27N,1102,"532","    Rental and leasing services","Number of jobs",76617,79953,80799,82958,80176,76358,75862,76654,75869,74398,73489,63956,58281,56954,57816,59056,59089,62373,63398,64001,65643
 "06000","California",8,SAEMP27N,1103,"533","    Lessors of nonfinancial intangible assets (except copyrighted works)","Number of jobs",4418,4102,4022,4285,3668,3547,3069,2995,3161,2995,3278,3121,2876,2908,2860,2919,2658,2614,2547,2729,2378
 "06000","California",8,SAEMP27N,1200,"54","   Professional, scientific, and technical services","Number of jobs",811549,882792,937828,957832,924456,924396,929160,975479,1034145,1075657,1104195,1034936,1031108,1066332,1115325,1151705,1184161,1217085,1229191,1243769,1295560
 "06000","California",8,SAEMP27N,1300,"55","   Management of companies and enterprises","Number of jobs",315686,327581,327609,287739,271317,257213,234471,223948,213479,208242,206885,198978,193094,199316,203653,219138,221203,225490,227311,231772,253690
 "06000","California",8,SAEMP27N,1400,"56","   Administrative and support and waste management and remediation services","Number of jobs",920654,943961,996024,967660,953165,940584,949054,971639,1001119,1002932,957062,850582,862473,887252,940725,988951,1033823,1066851,1094531,1108539,1137646
 "06000","California",8,SAEMP27N,1401,"561","    Administrative and support services","Number of jobs",886802,909694,961509,932315,917943,904695,911143,932418,961594,962276,915387,809974,821975,845715,898179,944195,987016,1019235,1046198,1058849,1085164
 "06000","California",8,SAEMP27N,1402,"562","    Waste management and remediation services","Number of jobs",33852,34267,34515,35345,35222,35889,37911,39221,39525,40656,41675,40608,40498,41537,42546,44756,46807,47616,48333,49690,52482
 "06000","California",8,SAEMP27N,1500,"61","   Educational services","Number of jobs",232888,237681,246123,264911,284582,291669,297785,301576,307781,312306,325983,335231,337662,347199,361723,368637,381665,390101,397038,403147,414203
 "06000","California",8,SAEMP27N,1600,"62","   Health care and social assistance","Number of jobs",1173959,1206285,1225380,1220078,1268629,1302175,1317836,1328972,1359290,1404183,1445320,1470954,1504595,1524903,1843149,1982932,2043675,2128171,2215937,2290833,2364698
 "06000","California",8,SAEMP27N,1601,"621","    Ambulatory health care services","Number of jobs",446109,456966,464522,469023,491880,498933,512896,524386,539036,556583,576909,580252,641549,658353,682601,702112,719618,754806,783090,811568,840820
 "06000","California",8,SAEMP27N,1602,"622","    Hospitals","Number of jobs",331627,337880,335152,339089,350694,372168,375749,379976,384103,394466,399209,413546,376470,375042,378309,375710,375781,384231,394023,400648,405821
 "06000","California",8,SAEMP27N,1603,"623","    Nursing and residential care facilities","Number of jobs",200052,204364,212086,224028,228679,230612,227525,220322,225982,232428,240670,245505,251552,256855,261279,268932,278814,286668,295159,296538,305131
 "06000","California",8,SAEMP27N,1604,"624","    Social assistance","Number of jobs",196171,207075,213620,187938,197376,200462,201666,204288,210169,220706,228532,231651,235024,234653,520960,636178,669462,702466,743665,782079,812926
 "06000","California",8,SAEMP27N,1700,"71","   Arts, entertainment, and recreation","Number of jobs",198716,214489,233821,232424,235332,239882,241145,243238,246845,254530,257694,248277,249860,250981,259975,271186,286999,292053,304940,311713,320906
 "06000","California",8,SAEMP27N,1701,"711","    Performing arts, spectator sports, and related industries","Number of jobs",51595,54826,59540,59837,61067,64986,63054,62853,64615,66000,65939,62746,62100,63733,65257,68637,74403,73669,76972,78021,80645
 "06000","California",8,SAEMP27N,1702,"712","    Museums, historical sites, and similar institutions","Number of jobs",10668,11433,11788,12476,12888,13179,13138,13373,13603,14414,15163,14986,15401,15624,16311,16823,17717,18115,18964,19510,19896
 "06000","California",8,SAEMP27N,1703,"713","    Amusement, gambling, and recreation industries","Number of jobs",136453,148230,162493,160111,161377,161717,164953,167012,168627,174116,176592,170545,172359,171624,178407,185726,194879,200269,209004,214182,220365
 "06000","California",8,SAEMP27N,1800,"72","   Accommodation and food services","Number of jobs",1053257,1076904,1108723,1151990,1162052,1177746,1210254,1243278,1283829,1316847,1324904,1264615,1262589,1291797,1345526,1412324,1484742,1546625,1605237,1649138,1683891
 "06000","California",8,SAEMP27N,1801,"721","    Accommodation","Number of jobs",189716,190051,195181,197169,190781,192354,198477,201937,204854,209701,212693,198872,196768,198127,201479,207485,212650,218941,222028,225356,230175
 "06000","California",8,SAEMP27N,1802,"722","    Food services and drinking places","Number of jobs",863541,886853,913542,954821,971271,985392,1011777,1041341,1078975,1107146,1112211,1065743,1065821,1093670,1144047,1204839,1272092,1327684,1383209,1423782,1453716
