GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "09000","Connecticut",1,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",1709380,1732908,1756884,1753339,1737593,1715891,1722818,1732049,1748700,1763183,1764648,1692091,1671424,1685883,1704885,1717324,1730465,1740192,1743844,1745013,1750652
 "09000","Connecticut",1,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",5626,5662,5991,6159,6210,6283,5140,4917,4433,4233,4612,4455,4396,4806,4775,5456,5478,5457,5093,4669,4560
 "09000","Connecticut",1,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",1703754,1727246,1750893,1747180,1731383,1709608,1717678,1727132,1744267,1758950,1760036,1687636,1667028,1681077,1700110,1711868,1724987,1734735,1738751,1740344,1746092
 "09000","Connecticut",1,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",1457899,1475703,1492428,1482436,1463825,1445222,1452412,1459520,1476288,1490590,1487511,1418474,1401548,1420068,1438397,1450184,1463889,1474480,1480750,1485299,1493501
 "09000","Connecticut",1,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",1025,1048,930,787,793,824,845,790,836,821,772,724,692,678,659,677,701,699,665,643,635
 "09000","Connecticut",1,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",(T),70,57,28,27,29,28,20,20,10,7,3,4,4,3,(D),4,7,9,7,5
 "09000","Connecticut",1,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),93,69,59,60,64,51,57,53,50,51,55,61,61,(D),49,52,57,46,39
 "09000","Connecticut",1,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",790,837,780,690,707,735,753,719,759,758,715,670,633,613,595,623,648,640,599,590,591
 "09000","Connecticut",1,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",728,714,748,718,709,704,719,707,739,714,737,629,571,542,554,543,547,552,556,539,525
 "09000","Connecticut",1,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",9,9,9,0,0,0,(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0
 "09000","Connecticut",1,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",666,654,686,(D),682,685,695,685,715,687,703,602,547,515,515,508,514,519,527,511,499
 "09000","Connecticut",1,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",53,51,53,(D),27,19,(D),(D),(D),(D),(D),(D),(D),27,39,35,33,33,29,28,26
