GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "98000","Far West",8,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",21024810,21606960,22203631,22309853,22190073,22211493,22467150,22858084,23322708,23565805,23363878,22072809,21787306,22005311,22785954,23426799,24093015,24773847,25365110,25831102,26416983
 "98000","Far West",8,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",326077,357339,315521,290906,321960,326421,291238,259731,241732,247292,241619,249855,256737,253871,253478,258009,273341,264563,262713,264985,274153
 "98000","Far West",8,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",20698733,21249621,21888110,22018947,21868113,21885072,22175912,22598353,23080976,23318513,23122259,21822954,21530569,21751440,22532476,23168790,23819674,24509284,25102397,25566117,26142830
 "98000","Far West",8,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",17099912,17564789,18094757,18156085,17908011,17928327,18232718,18642597,19086407,19264973,18994894,17715535,17472685,17768237,18583457,19216599,19826944,20445583,20968627,21379415,21928943
 "98000","Far West",8,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",227358,226008,226623,(D),215837,221254,219827,230885,232763,238625,242954,227368,241279,245407,256449,267996,272689,279950,284808,287280,294547
 "98000","Far West",8,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",21672,21908,20949,19632,(D),(D),18606,(D),(D),(D),(D),(D),12940,13502,(D),(D),(D),14223,(D),12751,(D)
 "98000","Far West",8,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",6210,6060,5217,4046,4196,(D),(D),(D),3843,3710,3848,(D),(D),(D),(D),(D),(D),3624,(D),(D),3195
 "98000","Far West",8,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",199476,198040,200457,(D),(D),198496,(D),209048,(D),(D),(D),210831,(D),(D),239188,250457,255381,262103,267748,(D),(D)
 "98000","Far West",8,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",54684,49175,49094,(D),45481,44057,46360,49013,53420,56144,59070,54748,55741,59857,64092,64152,64620,61782,54302,51346,52095
 "98000","Far West",8,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",11709,10354,10223,11074,10111,9735,(D),(D),11022,11333,(D),(D),12400,12764,13734,14052,14041,14715,(D),(D),(D)
