GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18000","Indiana",3,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",3004248,3060251,3092859,3029913,2996547,2987839,3011871,3030533,3055171,3069549,3035772,2867328,2874680,2916485,2976626,3009962,3054029,3104800,3150829,3188125,3222631
 "18000","Indiana",3,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",12502,13793,14604,14592,11541,11608,10801,11481,13193,11718,9262,10452,13906,10519,13757,12374,11533,10443,10556,13298,14731
 "18000","Indiana",3,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",2991746,3046458,3078255,3015321,2985006,2976231,3001070,3019052,3041978,3057831,3026510,2856876,2860774,2905966,2962869,2997588,3042496,3094357,3140273,3174827,3207900
 "18000","Indiana",3,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",2574026,2623972,2646766,2584751,2549953,2534749,2560156,2578109,2598040,2606881,2566025,2395131,2402595,2454573,2516011,2554567,2599180,2650594,2694787,2729341,2760677
 "18000","Indiana",3,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",3322,3337,3306,3376,3011,3109,3218,3279,3356,3410,3185,3124,3263,3192,3324,3464,4115,3997,4124,4107,4142
 "18000","Indiana",3,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",405,407,430,(D),427,432,481,504,469,474,392,331,331,(D),(D),(D),278,(D),(D),(D),338
 "18000","Indiana",3,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),(D),18,18,18,17,12,10,10,9,7,(D),(D),(D),9,(D),(D),(D),3
 "18000","Indiana",3,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",2828,2871,2820,2934,2566,2659,2719,2758,2875,2926,2783,2784,2925,2916,3055,3179,3828,3663,3783,3763,3801
 "18000","Indiana",3,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",7218,7086,7013,6730,6782,6615,6698,6480,6591,6655,6455,6295,6267,6574,6737,6686,6875,6508,5898,5745,5950
 "18000","Indiana",3,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",155,131,124,126,120,123,133,121,129,145,146,140,189,197,221,227,255,236,189,147,141
 "18000","Indiana",3,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",6916,6832,6780,6469,6510,6347,6399,6162,6317,6321,6049,5930,5829,6083,6088,5955,6017,5787,5296,5143,5383
 "18000","Indiana",3,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),135,152,145,166,197,145,189,260,225,249,294,428,504,603,485,413,455,426
 "18000","Indiana",3,SAEMP27N,300,"22","   Utilities","Number of jobs",16567,16163,15749,15004,14754,14425,14501,14715,14797,14748,14996,15293,14947,14726,14349,14176,14131,13984,13782,13763,13939
