GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "21000","Kentucky",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",1836220,1876601,1909887,1884751,1864898,1865342,1881168,1904668,1930624,1951559,1943756,1862282,1864406,1884604,1908719,1923075,1948869,1978421,1997083,2010691,2023881
 "21000","Kentucky",5,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",15766,16626,16623,17577,16799,20817,19984,15530,15282,14674,14146,12646,12662,14003,14782,13643,14615,16632,13699,15701,15417
 "21000","Kentucky",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",1820454,1859975,1893264,1867174,1848099,1844525,1861184,1889138,1915342,1936885,1929610,1849636,1851744,1870601,1893937,1909432,1934254,1961789,1983384,1994990,2008464
 "21000","Kentucky",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",1491309,1525258,1547327,1519397,1500969,1496728,1512488,1535463,1555067,1571548,1560230,1475881,1469375,1490022,1522575,1542028,1571708,1604364,1629698,1642510,1657872
 "21000","Kentucky",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",9354,9293,9365,8572,8154,7839,7630,7491,7565,7494,7702,7487,7515,7271,7259,7399,7494,7642,7676,7570,7745
 "21000","Kentucky",5,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",872,841,882,(D),(D),(D),(D),(D),451,433,(D),(D),(D),(D),(D),241,(D),229,(D),224,232
 "21000","Kentucky",5,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),18,23,(D),(D),(D),(D),(D),15,(D),21,(D),20,29
 "21000","Kentucky",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",8284,8279,8314,7746,7468,7221,7019,6951,7096,7038,7304,7169,7192,6978,6991,7143,7243,7392,7415,7326,7484
 "21000","Kentucky",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",22002,20768,18642,19662,19609,18568,19238,20958,22532,21709,23674,23294,21804,22617,20291,17194,16236,13691,10265,9964,10045
 "21000","Kentucky",5,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",660,719,868,835,750,726,837,940,1005,1006,1106,997,885,872,785,746,719,686,596,537,520
 "21000","Kentucky",5,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",20036,18956,16769,17825,17582,16452,16781,17919,19096,17973,19495,19365,18073,18673,16612,13656,12511,10532,7995,7813,7997
 "21000","Kentucky",5,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",1306,1093,1005,1002,1277,1390,1620,2099,2431,2730,3073,2932,2846,3072,2894,2792,3006,2473,1674,1614,1528
 "21000","Kentucky",5,SAEMP27N,300,"22","   Utilities","Number of jobs",8666,8339,8088,7111,6699,6452,6372,6458,6487,6590,6453,6502,6422,6514,6566,6512,6624,6569,6630,6715,6781
 "21000","Kentucky",5,SAEMP27N,400,"23","   Construction","Number of jobs",86326,89406,90957,90827,86576,86748,86717,87228,85998,87781,87094,76158,69970,69393,69231,69877,74633,77691,78752,79421,79976
 "21000","Kentucky",5,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",20846,20959,20789,19999,18774,19445,19524,19555,19650,19947,18561,15923,14529,13875,13989,14659,15970,16333,16537,16917,17025
 "21000","Kentucky",5,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",12558,13302,13993,14705,14302,14311,14259,14240,13432,14448,14801,14328,12889,12529,12832,13318,13656,13619,12558,11725,12068
 "21000","Kentucky",5,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",52922,55145,56175,56123,53500,52992,52934,53433,52916,53386,53732,45907,42552,42989,42410,41900,45007,47739,49657,50779,50883
 "21000","Kentucky",5,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",304938,307354,310191,293546,276260,266253,264110,262476,261133,255931,245373,213044,209221,212924,223358,229642,235094,241534,247878,250407,251866
 "21000","Kentucky",5,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",188304,193922,198485,187123,174095,166438,166216,167048,166774,162292,153769,127298,124916,128809,138673,143824,149456,155819,161258,162462,163931
 "21000","Kentucky",5,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",13092,13539,14028,13181,12523,12480,13080,13436,13414,12992,11860,9228,9078,9342,9332,9472,9910,10167,10498,10730,10867
 "21000","Kentucky",5,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",10981,11391,11364,10394,10090,10174,9943,9431,9330,8721,8222,6775,6700,6677,6696,6873,6886,7102,7460,7394,7428
 "21000","Kentucky",5,SAEMP27N,513,"331","     Primary metal manufacturing","Number of jobs",16192,16611,17663,16755,15762,14763,14649,14019,14012,13852,13452,11076,11079,11506,11698,11618,12010,11954,11712,11853,12098
 "21000","Kentucky",5,SAEMP27N,514,"332","     Fabricated metal product manufacturing","Number of jobs",23913,24651,25472,24261,21882,20906,20965,21100,21560,21719,21274,17540,17353,18302,19389,19740,20882,21172,21165,21320,22059
 "21000","Kentucky",5,SAEMP27N,515,"333","     Machinery manufacturing","Number of jobs",26842,26648,26484,23895,21071,19558,20360,21189,21368,20963,21037,17346,16627,17408,17377,18253,18941,20940,20464,20431,20761
 "21000","Kentucky",5,SAEMP27N,516,"334","     Computer and electronic product manufacturing","Number of jobs",11498,10944,10586,9979,9237,8498,8345,8040,7835,7436,7333,6564,6124,5959,6031,5429,5242,5356,5197,4762,4322
 "21000","Kentucky",5,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",17138,16941,15858,13345,11855,10647,10200,9924,9623,9070,9761,8135,8069,8249,9610,10808,10676,10359,10196,10027,10211
 "21000","Kentucky",5,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",48638,52524,55499,55276,53727,53357,52170,53158,52770,50463,44611,36610,36593,38255,45356,48548,51704,55960,61595,63106,62906
 "21000","Kentucky",5,SAEMP27N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",3456,3821,3936,3892,3488,3366,3601,3794,4126,4761,4720,4443,4216,4095,4299,4455,4317,4088,4071,3745,3804
 "21000","Kentucky",5,SAEMP27N,521,"337","     Furniture and related product manufacturing","Number of jobs",8389,8768,9246,8280,7527,6913,6854,6615,6496,6170,5669,4628,4188,4152,3959,3792,3878,3808,3994,4140,4382
 "21000","Kentucky",5,SAEMP27N,522,"339","     Miscellaneous manufacturing","Number of jobs",8165,8084,8349,7865,6933,5776,6049,6342,6240,6145,5830,4953,4889,4864,4926,4836,5010,4913,4906,4954,5093
 "21000","Kentucky",5,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",116634,113432,111706,106423,102165,99815,97894,95428,94359,93639,91604,85746,84305,84115,84685,85818,85638,85715,86620,87945,87935
 "21000","Kentucky",5,SAEMP27N,531,"311","     Food manufacturing","Number of jobs",22180,22935,23223,23708,23622,23279,22953,23304,23351,23990,24544,25187,25634,26256,26493,26569,26370,27020,27902,28418,28052
