GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "37000","North Carolina",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",3989487,4079016,4131229,4078858,4048064,4024653,4086449,4161322,4275884,4381114,4369182,4156151,4124455,4175842,4241784,4298323,4389493,4494969,4589226,4656452,4740934
 "37000","North Carolina",5,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",28021,28001,26429,26619,28596,26479,23974,22037,23137,22255,21238,19864,20057,22796,20095,22628,24334,27259,27288,23582,22352
 "37000","North Carolina",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",3961466,4051015,4104800,4052239,4019468,3998174,4062475,4139285,4252747,4358859,4347944,4136287,4104398,4153046,4221689,4275695,4365159,4467710,4561938,4632870,4718582
 "37000","North Carolina",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",3245064,3324460,3365205,3306313,3256375,3222644,3272462,3339993,3447842,3534830,3498965,3276987,3237026,3290115,3360302,3416337,3512989,3615673,3706614,3772287,3856312
 "37000","North Carolina",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",13791,13343,12984,12548,12449,12607,12704,12975,13374,13564,13341,13536,13937,13865,13977,14418,14797,15007,14982,15062,15277
 "37000","North Carolina",5,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",4855,4740,4584,4364,4196,4168,3912,3708,3504,3538,3332,3173,3250,3119,3067,2898,2973,3054,3097,3040,2980
 "37000","North Carolina",5,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",123,127,190,186,102,89,87,61,61,66,51,51,63,49,51,32,33,26,24,30,33
 "37000","North Carolina",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",8813,8476,8210,7998,8151,8350,8705,9206,9809,9960,9958,10312,10624,10697,10859,11488,11791,11927,11861,11992,12264
 "37000","North Carolina",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",4461,4395,4299,4226,3717,3532,3557,3525,3736,3973,3857,3421,3017,3040,3004,2935,2811,2767,2758,2969,3119
 "37000","North Carolina",5,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),(D),(D),(D),0,0,(D),(D),(D),15,23,22,37,34,32,29,21,(D),(D)
 "37000","North Carolina",5,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",4226,4138,4048,3658,3527,3356,3417,3382,3562,3790,3647,3257,2846,2792,2687,2583,2526,2470,2457,2629,2800
 "37000","North Carolina",5,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),140,143,(D),(D),(D),149,148,226,280,318,253,268,280,(D),(D)
 "37000","North Carolina",5,SAEMP27N,300,"22","   Utilities","Number of jobs",16526,16675,15126,(D),14314,14162,13567,13280,13266,12598,12696,12657,12313,12304,12273,12460,13645,14045,13947,13912,14515
 "37000","North Carolina",5,SAEMP27N,400,"23","   Construction","Number of jobs",222067,234663,239140,236859,228152,220485,229249,241007,254276,263474,243548,198114,181557,177546,176511,178220,183467,194220,205629,214140,226223
 "37000","North Carolina",5,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",55478,58380,59159,57150,55923,53547,53830,56961,58761,59949,53466,42382,38307,36933,37311,37208,38308,41431,44239,45085,49413
 "37000","North Carolina",5,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",35231,36107,37906,38168,34595,31985,33277,34892,35505,35670,33033,27126,25577,24973,26489,26974,27555,29325,31802,33906,35943
 "37000","North Carolina",5,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",131358,140176,142075,141541,137634,134953,142142,149154,160010,167855,157049,128606,117673,115640,112711,114038,117604,123464,129588,135149,140867
 "37000","North Carolina",5,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",798927,782551,765819,704763,646042,604467,582909,572400,558373,544059,520293,450230,432619,436293,440531,443466,449980,461734,464998,467742,474967
 "37000","North Carolina",5,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",379282,383525,384704,357987,320139,299706,297673,299484,297621,291658,278292,233108,222425,226859,234469,236315,240389,248746,251276,252997,258849
 "37000","North Carolina",5,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",32998,33443,31836,28165,27061,25925,26623,27364,27259,25214,21936,16751,15852,15434,15654,16171,16856,17365,17732,17983,18539
 "37000","North Carolina",5,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",21191,21377,21666,21538,19626,17664,17117,17139,17648,17581,16553,14184,13064,12934,13452,13564,13763,14333,14768,15160,15785
 "37000","North Carolina",5,SAEMP27N,513,"331","     Primary metal manufacturing","Number of jobs",9050,8803,8690,7745,7051,6903,7467,7811,7967,8126,8315,7175,7022,7451,7621,7626,7897,8122,7654,7512,7716
 "37000","North Carolina",5,SAEMP27N,514,"332","     Fabricated metal product manufacturing","Number of jobs",42431,43544,45071,43124,40320,38817,39466,41519,41629,41222,39761,33417,32421,33058,35527,35939,36307,37076,37639,37384,38046
 "37000","North Carolina",5,SAEMP27N,515,"333","     Machinery manufacturing","Number of jobs",41374,41071,41217,37544,32878,31410,30966,31656,32264,33443,33231,27895,27508,28773,29655,30453,31379,32330,33111,33566,35301
 "37000","North Carolina",5,SAEMP27N,516,"334","     Computer and electronic product manufacturing","Number of jobs",57312,55919,58851,58034,46467,41032,39419,38867,40756,41416,39686,35929,33399,33533,33516,33407,32133,32536,32330,32418,32480
 "37000","North Carolina",5,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",40989,40139,40606,38269,31103,27493,26935,26093,25195,24816,24969,21996,20754,21251,21354,21321,21298,21413,21779,21772,22507
 "37000","North Carolina",5,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",31623,34282,33201,28744,27335,26973,28328,28997,28291,26117,24363,19376,18822,20261,22346,22540,23916,26260,25676,26288,27516
 "37000","North Carolina",5,SAEMP27N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",6009,6114,6358,6315,6135,6066,6837,7764,8303,8821,9103,6717,6344,6394,6995,6956,7783,8246,9023,9331,9583
 "37000","North Carolina",5,SAEMP27N,521,"337","     Furniture and related product manufacturing","Number of jobs",78070,80077,79563,71728,66288,61941,59324,57049,52891,49844,45079,35270,32977,33096,33296,33232,34050,35817,36724,36844,36274
 "37000","North Carolina",5,SAEMP27N,522,"339","     Miscellaneous manufacturing","Number of jobs",18235,18756,17645,16781,15875,15482,15191,15225,15418,15058,15296,14398,14262,14674,15053,15106,15007,15248,14840,14739,15102
 "37000","North Carolina",5,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",419645,399026,381115,346776,325903,304761,285236,272916,260752,252401,242001,217122,210194,209434,206062,207151,209591,212988,213722,214745,216118
 "37000","North Carolina",5,SAEMP27N,531,"311","     Food manufacturing","Number of jobs",51629,51509,50635,51336,52588,51864,50721,50459,51521,53962,53926,52494,51149,51292,50757,51613,52356,53197,54400,56073,56964
 "37000","North Carolina",5,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",21516,19805,18588,18265,18014,17445,15493,15090,14395,14291,13852,12866,11807,10910,10359,10772,10745,11428,11737,11224,11250
 "37000","North Carolina",5,SAEMP27N,533,"313","     Textile mills","Number of jobs",128917,118153,109943,93048,81420,71224,62591,55663,49250,43445,38500,30106,29036,29344,28641,28225,28370,28617,28068,28324,27731
 "37000","North Carolina",5,SAEMP27N,534,"314","     Textile product mills","Number of jobs",22442,21268,20092,17047,16409,14803,13742,12170,10237,9734,9049,6879,6753,6660,6579,5815,5970,6164,6191,6243,6192
 "37000","North Carolina",5,SAEMP27N,535,"315","     Apparel manufacturing","Number of jobs",58158,51912,46695,40142,34107,30017,26891,24298,21128,17208,14484,12404,11878,11379,9008,8793,8898,8537,7910,7393,7063
