GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "91000","New England",1,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",6988761,7120778,7282848,7291613,7201054,7124497,7138947,7162531,7225454,7288031,7280794,7015631,6994438,7055314,7173490,7258481,7360631,7467142,7556608,7624571,7694440
 "91000","New England",1,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",19022,18951,19852,20209,20182,20544,16912,16283,14781,14210,15482,14957,14757,16134,17408,19892,19970,19898,18571,17399,16991
 "91000","New England",1,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",6969739,7101827,7262996,7271404,7180872,7103953,7122035,7146248,7210673,7273821,7265312,7000674,6979681,7039180,7156082,7238589,7340661,7447244,7538037,7607172,7677449
 "91000","New England",1,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",5974831,6089262,6226383,6221384,6121883,6055265,6084323,6105978,6162886,6217774,6199355,5940995,5920610,5993833,6108984,6189954,6286229,6395150,6484241,6557594,6628107
 "91000","New England",1,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",11155,11266,11293,(D),(D),12227,12358,12190,12227,12021,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",3909,3833,3965,(D),3520,3490,3549,3604,3630,3480,3338,3201,(D),(D),(D),3167,(D),(D),(D),(D),(D)
 "91000","New England",1,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",2438,2384,2269,(D),(D),(D),(D),(D),(D),(D),3478,(D),3698,3330,3396,2937,(D),(D),(D),3833,(D)
 "91000","New England",1,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",4808,5049,5059,4823,5034,(D),(D),(D),(D),(D),(D),(D),5154,4346,(D),(D),4823,4879,4769,(D),(D)
 "91000","New England",1,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",3559,3570,3666,(D),(D),3990,4152,4178,4272,4100,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",23,12,11,0,(D),(D),18,19,10,16,(D),(D),8,11,(D),(D),(D),(D),(D),(D),(D)
 "91000","New England",1,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",3303,3321,3411,3812,(D),3867,4000,4063,4202,3903,(D),(D),(D),(D),(D),(D),(D),(D),(D),2848,2854
 "91000","New England",1,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",233,237,244,(D),73,(D),134,96,60,181,182,156,(D),(D),231,(D),268,263,250,(D),247
 "91000","New England",1,SAEMP27N,300,"22","   Utilities","Number of jobs",31330,30019,29668,(D),(D),26932,25977,25467,23563,23832,23944,24125,23995,23582,23171,23048,23280,22533,22572,22773,22174
 "91000","New England",1,SAEMP27N,400,"23","   Construction","Number of jobs",252567,271575,289143,305679,(D),306132,314040,314263,318767,312478,297572,251734,239471,245715,251986,261212,271744,286997,299172,(D),315644
 "91000","New England",1,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",57234,61411,65113,69321,(D),72675,75288,75779,76070,73190,68176,55794,52712,53953,54656,56100,58503,62328,64907,65977,67542
 "91000","New England",1,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",32533,35559,36436,37889,(D),34198,32153,30666,30254,29254,27893,25282,26005,26586,27815,28195,28980,30697,31540,(D),32020
 "91000","New England",1,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",162800,174605,187594,198469,197488,199259,206599,207818,212443,210034,201503,170658,160754,165176,169515,176917,184261,193972,202725,208662,216082
 "91000","New England",1,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",970122,946599,940124,902572,818820,766221,748453,734398,720932,711281,691810,624446,607998,609450,606015,603281,599515,598544,591872,593859,598619
 "91000","New England",1,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",661675,643490,643623,623562,558324,517653,(D),501994,493827,490155,479621,431014,418329,421518,418483,415137,411157,409038,404917,405501,410359
 "91000","New England",1,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",20337,20686,20970,19389,(D),17627,(D),(D),(D),16202,(D),11688,(D),(D),(D),12072,12184,(D),(D),(D),12055
