GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "36000","New York",2,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",8471480,8669419,8840737,8791179,8660631,8617807,8665131,8725242,8809666,8939062,8999439,8724856,8708911,8807999,8932772,9051229,9220265,9386395,9511223,9621358,9801897
 "36000","New York",2,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",21000,20839,21745,22051,21934,22881,19300,19044,17716,17460,19023,18375,18128,19821,19707,22515,22608,22524,21022,22108,21588
 "36000","New York",2,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",8450480,8648580,8818992,8769128,8638697,8594926,8645831,8706198,8791950,8921602,8980416,8706481,8690783,8788178,8913065,9028714,9197657,9363871,9490201,9599250,9780309
 "36000","New York",2,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",7009701,7190733,7335187,7284926,7127717,7086940,7145088,7198501,7286262,7400423,7440894,7166516,7159295,7299333,7444912,7570669,7743949,7910797,8034592,8141196,8283669
 "36000","New York",2,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",5335,5378,5434,4903,4854,4704,4730,4836,4940,4889,5137,5115,5301,5336,5240,5286,5545,5743,5671,5809,5894
 "36000","New York",2,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",1163,1232,1280,1084,974,944,959,968,969,863,772,696,723,655,643,665,632,685,671,652,653
 "36000","New York",2,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",274,276,246,141,145,123,152,105,116,125,132,119,120,118,132,104,115,121,114,119,118
 "36000","New York",2,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",3898,3870,3908,3678,3735,3637,3619,3763,3855,3901,4233,4300,4458,4563,4465,4517,4798,4937,4886,5038,5123
 "36000","New York",2,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",4347,4355,4383,4337,4175,4421,4759,4951,5284,5486,5636,4775,4632,4674,4675,4408,4619,4653,4435,4392,4741
 "36000","New York",2,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",209,185,166,191,194,196,137,163,238,275,343,362,449,581,638,490,505,455,329,107,146
 "36000","New York",2,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",3853,3881,3870,3783,3638,3846,4205,4356,4491,4591,4391,3749,3563,3499,3527,3473,3651,3800,3774,3906,4141
 "36000","New York",2,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",285,289,347,363,343,379,417,432,555,620,902,664,620,594,510,445,463,398,332,379,454
 "36000","New York",2,SAEMP27N,300,"22","   Utilities","Number of jobs",43353,41757,41294,42815,42443,41284,39468,39434,39102,38719,38886,39366,38315,37267,36035,36174,37698,38330,37643,38053,37730
 "36000","New York",2,SAEMP27N,400,"23","   Construction","Number of jobs",290816,317528,335050,341850,333528,332081,334593,335701,348116,363952,371422,334330,316228,316519,323268,335998,351437,370579,386437,397706,410315
 "36000","New York",2,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",65590,73222,78882,81764,80106,79568,81217,83220,87668,93468,96254,84840,79593,79086,81062,84933,89814,96382,101514,106160,109632
 "36000","New York",2,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",26255,28087,29426,29958,30686,30141,28811,27845,28173,28180,29937,29371,29990,29136,28501,28425,28670,29905,31121,31320,33530
 "36000","New York",2,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",198971,216219,226742,230128,222736,222372,224565,224636,232275,242304,245231,220119,206645,208297,213705,222640,232953,244292,253802,260226,267153
 "36000","New York",2,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",781065,759452,745336,709439,653707,615066,597899,583392,568418,554088,534159,477465,457684,459110,459296,456627,453381,455259,451166,445750,443153
 "36000","New York",2,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",426871,420436,418850,409858,374739,349493,341862,335832,331334,326307,317490,281081,268294,271123,269441,266755,265238,266139,262457,256830,256473
 "36000","New York",2,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",10476,10979,11166,10396,9896,9317,9607,9684,9818,9335,8439,7117,6719,6712,7009,7527,7949,8258,8400,7970,7861
 "36000","New York",2,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",23062,21926,22663,21989,19954,18096,17846,17624,17334,17582,17311,15571,15047,14874,15115,15128,15253,15424,15614,15719,15717
 "36000","New York",2,SAEMP27N,513,"331","     Primary metal manufacturing","Number of jobs",17210,16667,16643,15524,14235,12867,12749,12748,12782,12188,12391,10310,9929,10355,10608,10361,10323,10431,10179,10183,10664
 "36000","New York",2,SAEMP27N,514,"332","     Fabricated metal product manufacturing","Number of jobs",70437,69521,69629,66527,61002,57587,57503,57069,56998,56857,55860,50049,48954,49858,51221,51470,51667,51191,50495,49294,49378
 "36000","New York",2,SAEMP27N,515,"333","     Machinery manufacturing","Number of jobs",73868,71526,68843,68326,60918,54327,52317,51478,50457,50136,50244,45203,42518,44560,43526,42814,42338,41998,40014,38610,37901
 "36000","New York",2,SAEMP27N,516,"334","     Computer and electronic product manufacturing","Number of jobs",82269,80950,83576,90106,81301,76576,76265,74802,74008,71876,70669,65387,62170,62191,60696,58686,56845,58657,58474,57567,57443
 "36000","New York",2,SAEMP27N,517,"335","     Electrical equipment, appliance, and component manufacturing","Number of jobs",23279,22684,22442,21390,19247,17609,15888,15349,15340,15262,15404,13515,13152,13228,13521,13419,13773,13516,13589,13197,13351
 "36000","New York",2,SAEMP27N,518,"3361-3363","     Motor vehicles, bodies and trailers, and parts manufacturing","Number of jobs",36232,35528,34896,32317,31006,29519,27793,26115,24106,22300,18946,13880,13532,13341,12023,11675,(D),(D),12008,(D),(D)
 "36000","New York",2,SAEMP27N,519,"3364-3369","     Other transportation equipment manufacturing","Number of jobs",10457,10751,10275,10217,10068,9429,9965,10816,10998,11578,11867,10973,9745,9261,9190,8480,(D),(D),7921,(D),(D)
 "36000","New York",2,SAEMP27N,521,"337","     Furniture and related product manufacturing","Number of jobs",22180,22999,23253,21759,19746,19084,18847,18353,18362,18466,16948,13981,12958,13068,13057,13349,13366,13231,13165,12881,12646
 "36000","New York",2,SAEMP27N,522,"339","     Miscellaneous manufacturing","Number of jobs",57401,56905,55464,51307,47366,45082,43082,41794,41131,40727,39411,35095,33570,33675,33475,33846,33167,33018,32598,30999,30412
 "36000","New York",2,SAEMP27N,530,"311-316,322-326","    Nondurable goods manufacturing","Number of jobs",354194,339016,326486,299581,278968,265573,256037,247560,237084,227781,216669,196384,189390,187987,189855,189872,188143,189120,188709,188920,186680
 "36000","New York",2,SAEMP27N,531,"311","     Food manufacturing","Number of jobs",54245,54373,55176,55226,53823,53493,52352,51201,50774,51218,50090,48646,49226,49962,51817,52695,53096,54792,56254,57227,57344
 "36000","New York",2,SAEMP27N,532,"312","     Beverage and tobacco product manufacturing","Number of jobs",8533,8200,8061,7049,7208,6854,6471,6444,6051,6296,6613,6461,6441,6363,6835,7159,8188,8359,9026,9835,10464
 "36000","New York",2,SAEMP27N,533,"313","     Textile mills","Number of jobs",14397,12828,11690,10455,8900,7599,6869,6206,5596,5253,4846,4014,3999,3916,3779,3819,3814,3563,3525,3485,3385
 "36000","New York",2,SAEMP27N,534,"314","     Textile product mills","Number of jobs",8017,7716,7785,7251,6282,5993,6037,5823,5563,5690,5269,4470,4035,3866,3957,4082,3912,3866,3761,3609,3553
 "36000","New York",2,SAEMP27N,535,"315","     Apparel manufacturing","Number of jobs",79849,72130,65168,54496,45771,39213,37660,33928,30049,27691,25889,21439,19879,19716,19733,19264,18706,18164,16468,15704,14182
 "36000","New York",2,SAEMP27N,536,"316","     Leather and allied product manufacturing","Number of jobs",5154,4329,3743,3112,2748,2424,2434,2232,2087,2016,2083,1782,1718,1731,1686,1695,1613,1598,1600,1573,1375
 "36000","New York",2,SAEMP27N,537,"322","     Paper manufacturing","Number of jobs",29280,28561,27536,25527,23389,22234,21480,21136,20313,19557,18820,16981,16404,16512,16518,16649,16459,16134,16019,15235,14669
 "36000","New York",2,SAEMP27N,538,"323","     Printing and related support activities","Number of jobs",45380,45392,44080,41210,39189,37536,36851,36426,35186,33620,30890,26569,23523,22700,22188,21901,21364,21523,21163,20931,20289
 "36000","New York",2,SAEMP27N,539,"324","     Petroleum and coal products manufacturing","Number of jobs",2985,2960,2915,2669,2433,2252,1983,1957,2001,2026,2006,1912,1838,1910,1953,1821,1834,1822,1835,1820,1820
 "36000","New York",2,SAEMP27N,541,"325","     Chemical manufacturing","Number of jobs",71958,68571,67160,61995,60798,60403,57077,55918,53855,49990,46882,43654,41926,40455,40488,40080,38260,38266,37689,37968,38355
 "36000","New York",2,SAEMP27N,542,"326","     Plastics and rubber products manufacturing","Number of jobs",34396,33956,33172,30591,28427,27572,26823,26289,25609,24424,23281,20456,20401,20856,20901,20707,20897,21033,21369,21533,21244
 "36000","New York",2,SAEMP27N,600,"42","   Wholesale trade","Number of jobs",368130,376902,382614,370588,358159,355425,356437,355665,356533,359911,353696,331499,327004,332566,336159,337768,339689,342598,340369,340322,337266
