GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "45000","South Carolina",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",1888382,1933166,1958940,1925645,1908080,1909169,1929535,1953388,1995553,2027577,2013435,1902785,1892252,1913077,1947212,1985126,2032690,2090492,2133751,2174280,2233991
 "45000","South Carolina",5,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",8737,7632,7584,7473,7999,7485,8304,7092,7595,6349,6439,7871,6515,6817,6839,7775,6085,7511,7270,7673,6396
 "45000","South Carolina",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",1879645,1925534,1951356,1918172,1900081,1901684,1921231,1946296,1987958,2021228,2006996,1894914,1885737,1906260,1940373,1977351,2026605,2082981,2126481,2166607,2227595
 "45000","South Carolina",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",1515776,1552553,1568418,1540372,1520632,1522107,1544694,1564871,1600900,1630271,1606177,1492692,1487588,1514253,1544843,1578018,1626141,1676911,1719903,1756560,1816236
 "45000","South Carolina",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",8106,7976,8037,7812,7605,7563,7550,7310,7463,6842,6774,6601,6934,6915,6778,6963,7073,7269,7296,7299,7658
 "45000","South Carolina",5,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",4282,4107,4000,3941,3888,3955,3968,3748,3567,3494,3220,3130,3133,3037,2994,2971,3035,3103,3056,3023,3160
 "45000","South Carolina",5,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),212,195,164,80,73,86,65,66,57,60,61,68,68,77,99,117,140,118
 "45000","South Carolina",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",3546,3492,3631,3659,3522,3444,3502,3489,3810,3283,3488,3414,3741,3817,3716,3924,3961,4067,4123,4136,4380
 "45000","South Carolina",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",1921,2060,1881,1668,1638,1616,1566,1529,1508,1452,1482,1340,1244,1233,1194,1141,1157,1236,1466,1679,1727
 "45000","South Carolina",5,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),3,(D),(D),(D),(D),(D),5,(D),6,7,(D),(D)
 "45000","South Carolina",5,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",1861,1962,1717,1631,1599,1579,1532,1497,1466,1401,1426,1286,1183,1151,1113,1078,1090,1120,1340,1492,1568
 "45000","South Carolina",5,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),48,(D),(D),(D),(D),(D),58,(D),110,119,(D),(D)
 "45000","South Carolina",5,SAEMP27N,300,"22","   Utilities","Number of jobs",12028,12064,12245,12289,12090,11939,11758,11631,12157,12063,12363,12437,12045,11919,12134,12212,12349,12347,12370,12356,12019
 "45000","South Carolina",5,SAEMP27N,400,"23","   Construction","Number of jobs",112946,118380,117840,117309,116893,117271,119146,121969,130626,128666,113785,90894,82387,78773,79761,82074,84710,89162,96910,103484,106944
 "45000","South Carolina",5,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",29638,30812,29617,29402,30058,30936,31434,31643,34441,32621,29412,22642,20449,19042,19249,19804,19828,21423,22896,24087,24842
 "45000","South Carolina",5,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",15440,16872,18017,17691,18130,17346,17880,17933,18022,17989,15929,13275,12503,11888,12412,12195,12727,13337,15745,18436,17040
 "45000","South Carolina",5,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",67868,70696,70206,70216,68705,68989,69832,72393,78163,78056,68444,54977,49435,47843,48100,50075,52155,54402,58269,60961,65062
 "45000","South Carolina",5,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",341130,334228,334071,315009,291116,279149,267149,260656,255336,250604,243276,214729,208038,216463,221519,225172,230759,236125,238263,240505,249686
 "45000","South Carolina",5,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",148903,149713,156049,149762,139913,136723,135923,137147,137199,138952,136631,118236,114208,121011,126047,129356,133689,137657,139584,139907,146173
 "45000","South Carolina",5,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",10609,10383,10385,9192,9148,9153,9827,10025,10357,10053,9141,7375,7270,7329,7272,7586,7855,8006,8193,8315,8698
 "45000","South Carolina",5,SAEMP27N,512,"327","     Nonmetallic mineral product manufacturing","Number of jobs",9608,9997,10326,10647,9921,9217,8969,9634,9869,9838,9285,7480,7129,6996,6788,6770,6392,6648,6872,7307,7565
