GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "53000","Washington",8,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",2789554,2854408,2910707,2902109,2866055,2875580,2913982,2983095,3073003,3143460,3177384,3034437,2997266,3028900,3129397,3196913,3281055,3361645,3448659,3525299,3612972
 "53000","Washington",8,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",43368,46443,41291,44576,44217,47682,42139,42703,43496,39661,47611,47567,48036,47194,56396,53313,53511,51723,52493,52916,53588
 "53000","Washington",8,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",2746186,2807965,2869416,2857533,2821838,2827898,2871843,2940392,3029507,3103799,3129773,2986870,2949230,2981706,3073001,3143600,3227544,3309922,3396166,3472383,3559384
 "53000","Washington",8,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",2204565,2257029,2306329,2287195,2235162,2236585,2277231,2339317,2424791,2493959,2503231,2356145,2316789,2356257,2452382,2524370,2606639,2680935,2756727,2822406,2902861
 "53000","Washington",8,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",27177,26507,25785,25068,25839,25800,26501,27145,27451,27050,26978,27300,27833,28222,29991,30682,31300,32341,31742,32160,33357
 "53000","Washington",8,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",7834,8183,7765,7273,7160,6533,6569,6209,5868,5644,5253,4307,4253,4325,4377,4550,4506,4506,4304,4176,4204
 "53000","Washington",8,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",2704,2663,2174,2062,2204,2330,2405,2294,2272,2139,2212,1962,2026,1809,1881,1617,1458,1831,1691,1524,1468
 "53000","Washington",8,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",16639,15661,15846,15733,16475,16937,17527,18642,19311,19267,19513,21031,21554,22088,23733,24515,25336,26004,25747,26460,27685
 "53000","Washington",8,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",3850,3664,3441,3394,3063,3011,3295,3385,3463,3131,2955,2367,2202,2203,2157,2162,2244,2400,2433,2558,2645
 "53000","Washington",8,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",30,19,17,(D),(D),(D),0,0,0,0,0,0,(D),(D),(D),3,7,24,22,(D),(D)
