GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "55000","Wisconsin",3,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",2786851,2849132,2892663,2871629,2848560,2852564,2880833,2899476,2921871,2934229,2924558,2791743,2780923,2809126,2840826,2874503,2912312,2945841,2980261,3000771,3031878
 "55000","Wisconsin",3,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",21253,23062,22263,20765,19253,24091,23778,24535,22695,23623,24377,22455,23031,24276,21306,25213,24495,22635,22731,21928,25005
 "55000","Wisconsin",3,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",2765598,2826070,2870400,2850864,2829307,2828473,2857055,2874941,2899176,2910606,2900181,2769288,2757892,2784850,2819520,2849290,2887817,2923206,2957530,2978843,3006873
 "55000","Wisconsin",3,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",2361038,2415913,2452627,2428370,2401232,2398583,2428993,2450148,2472776,2483357,2468407,2333436,2320295,2351539,2385612,2415066,2451532,2488709,2518483,2543148,2569449
 "55000","Wisconsin",3,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",5515,5268,5031,4857,4875,4885,4910,4929,5016,5066,5203,5298,5512,5525,5697,5822,5890,6209,6560,6627,6643
 "55000","Wisconsin",3,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",1351,1316,1257,1196,1168,1109,1062,1083,1004,841,821,759,770,787,801,726,709,740,806,776,761
 "55000","Wisconsin",3,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),122,112,97,96,87,90,86,80,81,116,98,92,79,67,77,68,69,73
 "55000","Wisconsin",3,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",3999,3788,3617,3539,3595,3679,3752,3759,3922,4139,4302,4458,4626,4640,4804,5017,5114,5392,5686,5782,5809
 "55000","Wisconsin",3,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",2986,2957,2707,2772,2738,2769,2917,2980,3050,2846,2631,2308,2227,2304,2752,3009,3405,3446,2998,3631,3967
 "55000","Wisconsin",3,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",16,(T),15,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",2876,2847,2592,2742,2705,2754,2901,2959,3026,2815,2612,2290,2214,2271,2667,2910,3289,3396,2959,3581,3912
 "55000","Wisconsin",3,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "55000","Wisconsin",3,SAEMP27N,300,"22","   Utilities","Number of jobs",12588,13019,13372,12248,11810,11622,11632,11505,11330,11145,11319,11273,11109,10915,10898,10707,10417,10536,9701,9552,9208
 "55000","Wisconsin",3,SAEMP27N,400,"23","   Construction","Number of jobs",117081,125049,128425,130156,129506,129895,132771,132565,132041,130032,121926,104919,97636,95263,96192,101212,106115,112455,115416,120514,125575
 "55000","Wisconsin",3,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",29171,31407,31824,32402,32422,32554,33215,33082,32307,31345,29176,24348,22795,21848,22393,23429,24698,26450,27513,28265,29711
 "55000","Wisconsin",3,SAEMP27N,402,"237","    Heavy and civil engineering construction","Number of jobs",13537,13725,14303,14636,14268,14318,14281,14179,15330,16613,15989,14822,13036,12545,12741,13439,14293,15053,13952,14500,14982
 "55000","Wisconsin",3,SAEMP27N,403,"238","    Specialty trade contractors","Number of jobs",74373,79917,82298,83118,82816,83023,85275,85304,84404,82074,76761,65749,61805,60870,61058,64344,67124,70952,73951,77749,80882
 "55000","Wisconsin",3,SAEMP27N,500,"31-33","   Manufacturing","Number of jobs",595548,595231,593951,559740,527060,506816,505523,508066,508539,502862,494369,436816,431332,445394,456323,458070,465319,467990,464792,467845,476187
 "55000","Wisconsin",3,SAEMP27N,510,"321,327-339","    Durable goods manufacturing","Number of jobs",377341,374574,373278,348203,324330,311513,313440,319068,321394,317195,310923,263910,258695,270531,279549,279719,283721,284921,280107,280967,287372
 "55000","Wisconsin",3,SAEMP27N,511,"321","     Wood product manufacturing","Number of jobs",27291,28067,27880,27153,26204,25810,26374,26447,26156,24416,22046,17765,16392,16350,16192,16519,17094,17365,17475,17563,17971
