GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "54000","West Virginia",5,SAEMP27N,20,"...","Wage and salary employment by place of work (number of jobs)","Number of jobs",722362,724303,729135,726708,726016,720526,729009,735252,744761,749131,752605,733675,733916,741944,751073,743403,740398,734201,721292,719974,730802
 "54000","West Virginia",5,SAEMP27N,70,"111-112"," Farm wage and salary employment","Number of jobs",1828,1897,1867,1945,1833,2243,2126,1629,1580,1494,1440,1287,1289,1425,1698,1567,1703,1912,1575,1607,1579
 "54000","West Virginia",5,SAEMP27N,80,"..."," Nonfarm wage and salary employment","Number of jobs",720534,722406,727268,724763,724183,718283,726883,733623,743181,747637,751165,732388,732627,740519,749375,741836,738695,732289,719717,718367,729223
 "54000","West Virginia",5,SAEMP27N,90,"113-814","  Private nonfarm wage and salary employment","Number of jobs",571090,572522,575625,576171,573153,567479,575313,582289,591671,592862,594579,573158,570278,579235,586870,583486,581800,576307,563317,563845,576599
 "54000","West Virginia",5,SAEMP27N,100,"113-115","   Forestry, fishing, and related activities","Number of jobs",2304,2262,2244,2015,2027,1871,1843,1746,1744,1687,1570,1398,1364,1273,1370,1366,1412,1481,1512,1503,1458
 "54000","West Virginia",5,SAEMP27N,101,"113","    Forestry and logging","Number of jobs",1805,1764,1738,1503,1504,1365,1337,1224,(D),(D),1032,878,840,735,812,799,839,895,924,922,853
 "54000","West Virginia",5,SAEMP27N,102,"114","    Fishing, hunting and trapping","Number of jobs",(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),4,4,4,4,3
 "54000","West Virginia",5,SAEMP27N,103,"115","    Support activities for agriculture and forestry","Number of jobs",471,470,478,(D),(D),(D),(D),(D),525,521,(D),(D),(D),(D),(D),(D),569,582,584,577,602
 "54000","West Virginia",5,SAEMP27N,200,"21","   Mining, quarrying, and oil and gas extraction","Number of jobs",23168,20845,19850,22022,21752,20751,22624,24788,26863,27589,30488,28931,29246,32875,32719,30889,29457,25005,19339,20969,21705
 "54000","West Virginia",5,SAEMP27N,201,"211","    Oil and gas extraction","Number of jobs",1766,1648,1537,1670,1765,1747,1829,1979,2238,2424,2669,2455,2249,2181,2279,2447,3064,2753,2458,2342,2157
 "54000","West Virginia",5,SAEMP27N,202,"212","    Mining (except oil and gas)","Number of jobs",18687,16649,16021,17642,17160,15767,16956,18387,19751,19617,21663,21087,21336,23952,23596,20955,18876,16514,12562,14148,14279
 "54000","West Virginia",5,SAEMP27N,203,"213","    Support activities for mining","Number of jobs",2715,2548,2292,2710,2827,3237,3839,4422,4874,5548,6156,5389,5661,6742,6844,7487,7517,5738,4319,4479,5269
 "54000","West Virginia",5,SAEMP27N,300,"22","   Utilities","Number of jobs",7362,7309,7030,6851,6674,6307,6207,6126,6183,6121,6201,6195,5630,5438,5307,5178,5204,5051,5167,5300,5334
 "54000","West Virginia",5,SAEMP27N,400,"23","   Construction","Number of jobs",35528,34918,35151,36075,34952,34241,36247,38152,40842,40208,40389,35248,33761,33867,36642,35305,34631,33266,30805,32385,41216
 "54000","West Virginia",5,SAEMP27N,401,"236","    Construction of buildings","Number of jobs",11165,11455,10978,10862,10973,10620,11562,12210,12327,11615,11129,9944,9656,8835,8701,8974,8751,8387,7874,7854,8490
