GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "04000","Arizona",6,SAINC30,10,"...","Personal income (millions of dollars)","Millions of dollars",2372.2,2618.3,2855.8,3109.9,3349.8,3521.6,3777.1,4003.8,4359.7,4739.3,5437.3,6327.1,7216.1,8255.6,9464.6,10934.2,12336.1,13317.8,14813.2,16646.8,19559.6,22986.6,26477.6,30247.1,32197.4,35452.6,40055.6,44570.3,48739.4,52518.4,56718.4,60862.5,63821.0,67174.6,71692.1,77041.0,84343.7,91989.4,99707.6,108023.1,118057.6,124654.4,135387.5,141344.5,146505.2,155175.0,169638.7,188136.5,209127.0,220735.9,223345.8,211975.3,215523.6,226365.3,236846.1,242855.6,257410.0,271132.8,282477.6,299613.0,317912.9
 "04000","Arizona",6,SAINC30,45,"...","Net earnings by place of residence","Millions of dollars",1866.1,2043.4,2213.1,2377.8,2564.3,2674.8,2861.3,3014.8,3314.6,3563.6,4042.9,4630.8,5167.7,5881.7,6774.9,7786.3,8626.5,8816.3,9924.1,11260.7,13327.8,15771.4,17677.7,19564.0,20259.0,22116.5,25259.2,28098.2,30879.6,33522.3,36297.5,37512.6,39318.6,41761.2,44913.8,48462.6,53131.4,58150.1,63442.2,69149.5,76755.7,82200.3,89896.1,93636.6,96882.2,102267.3,112030.5,123338.9,136945.9,142747.0,140166.9,129713.5,130278.7,137561.4,144295.8,148878.8,155401.8,162682.6,169798.1,179728.4,190261.7
 "04000","Arizona",6,SAINC30,50,"...","Personal current transfer receipts","Millions of dollars",134.9,152.9,166.0,193.9,211.8,230.9,249.6,282.2,304.9,377.1,435.4,491.9,592.0,709.7,816.0,983.2,1188.0,1660.2,1828.0,1927.6,2172.5,2472.4,2975.9,3495.6,3901.7,4271.3,4578.0,4968.1,5450.4,5953.8,6535.8,7580.0,8403.0,9383.3,10684.4,11525.0,12306.4,13116.7,13969.4,14577.5,15130.0,16115.6,17027.9,19312.7,21513.6,23475.1,25775.1,28487.2,31132.1,33784.0,39360.2,44010.5,47885.7,47822.9,47852.1,49536.8,52771.7,55072.6,57235.5,60726.0,63500.8
 "04000","Arizona",6,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",19.2,22.0,24.3,26.3,27.2,28.6,29.0,29.4,30.1,30.9,31.0,33.2,44.4,51.2,62.1,73.9,99.3,127.0,152.2,145.6,138.1,175.5,249.1,277.5,300.7,330.8,335.3,333.4,366.7,397.8,481.6,583.8,716.0,880.9,1097.7,1205.6,1306.5,1427.8,1446.9,1489.9,1447.3,1471.7,1514.4,1604.6,1925.8,2177.9,2376.7,2629.6,2722.7,2942.0,3307.2,4223.9,4646.3,4893.1,5002.7,5025.2,4966.4,4922.9,4887.0,4763.3,4609.6
 "04000","Arizona",6,SAINC30,70,"..."," Unemployment insurance compensation","Millions of dollars",14.1,12.7,12.4,19.7,15.3,14.5,17.1,19.5,11.7,15.3,13.4,10.8,19.7,30.2,31.4,26.9,54.2,173.4,143.1,74.0,62.2,51.6,95.2,99.0,206.2,201.1,100.5,101.1,125.9,136.3,121.9,131.0,163.9,227.0,337.7,298.9,200.7,174.1,177.9,159.1,172.8,189.5,188.5,297.3,503.9,511.7,358.8,293.7,252.2,312.1,564.2,1627.1,1901.1,1325.1,931.6,591.8,393.4,351.1,335.0,315.9,289.7
 "04000","Arizona",6,SAINC30,80,"..."," Retirement and other","Millions of dollars",101.6,118.2,129.4,147.8,169.2,187.7,203.5,233.2,263.0,331.0,391.1,447.8,528.0,628.4,722.5,882.4,1034.5,1359.8,1532.7,1708.0,1972.2,2245.2,2631.6,3119.1,3394.8,3739.5,4142.3,4533.5,4957.8,5419.7,5932.3,6865.3,7523.2,8275.4,9249.1,10020.5,10799.2,11514.8,12344.6,12928.5,13509.9,14454.3,15325.0,17410.7,19083.9,20785.5,23039.6,25563.9,28157.3,30529.9,35488.8,38159.4,41338.3,41604.7,41917.8,43919.8,47412.0,49798.5,52013.5,55646.8,58601.5
 "04000","Arizona",6,SAINC30,90,"...","Dividends, interest, and rent","Millions of dollars",371.3,422.0,476.6,538.2,573.7,615.9,666.3,706.8,740.2,798.6,959.0,1204.3,1456.4,1664.2,1873.8,2164.7,2521.6,2841.2,3061.1,3458.6,4059.3,4742.8,5824.0,7187.4,8036.6,9064.8,10218.4,11504.0,12409.4,13042.2,13885.1,15769.9,16099.3,16030.1,16093.9,17053.5,18905.8,20722.6,22296.1,24296.1,26171.8,26338.5,28463.5,28395.2,28109.4,29432.7,31833.1,36310.4,41049.0,44204.9,43818.8,38251.4,37359.2,40981.0,44698.2,44440.0,49236.5,53377.6,55444.1,59158.6,64150.4
 "04000","Arizona",6,SAINC30,91,"..."," Personal dividend income","Millions of dollars",53.6,61.5,72.8,77.7,86.3,100.0,117.7,137.9,139.0,143.6,199.6,214.9,228.2,247.7,278.9,322.1,367.5,367.8,451.9,534.5,640.6,757.1,864.4,1012.3,1062.3,1184.2,1298.5,1442.2,1597.4,1713.1,1917.4,2288.3,2399.3,2620.4,2717.8,2966.9,3471.1,3928.7,4776.3,5470.0,5726.5,5448.0,6070.9,5871.2,6431.2,6988.1,9601.7,10599.4,13324.8,14859.4,13061.5,8604.8,8703.7,10917.3,12993.9,12498.8,15217.0,16759.4,17515.6,18803.7,20436.6
 "04000","Arizona",6,SAINC30,92,"..."," Personal interest income","Millions of dollars",198.8,236.6,269.2,297.1,335.8,360.6,389.9,404.1,429.5,475.1,580.2,772.8,992.1,1163.3,1329.0,1574.1,1899.4,2226.3,2378.2,2741.9,3218.3,3793.7,4732.6,5886.0,6695.5,7549.7,8591.8,9692.1,10511.2,11046.8,11617.3,13143.0,13272.9,12812.1,12536.5,12813.7,13741.6,14936.7,15477.1,16536.8,17800.8,17950.5,19283.6,19025.5,17956.2,18386.2,17727.5,21078.2,23470.9,25781.8,25715.7,23217.3,21382.9,21662.8,22736.3,21851.7,23023.4,24659.1,25037.2,26590.0,29242.9
 "04000","Arizona",6,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",102.7,120.5,134.3,150.8,167.1,185.6,205.1,217.4,230.9,257.9,294.6,373.0,505.5,608.7,706.0,811.8,962.9,1226.6,1282.6,1452.2,1659.3,1779.4,2084.2,2368.7,2944.3,3755.3,3953.7,4787.1,5291.9,5697.5,6056.3,6479.4,6717.3,7010.5,7384.1,7795.6,8289.0,9140.0,9438.1,10186.1,10431.9,10727.8,11328.2,11201.7,11388.2,11776.9,12125.7,12906.6,13810.5,14690.9,15379.6,15257.0,14604.8,14778.2,15025.8,14919.7,15564.2,16491.0,16330.7,16543.2,17456.6
