GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "21000","Kentucky",5,SAINC30,10,"...","Personal income (millions of dollars)","Millions of dollars",4623.2,4862.6,5022.0,5346.0,5677.8,5967.9,6225.5,6749.6,7379.4,7987.6,8731.4,9711.7,10534.8,11466.1,12679.8,14252.5,16052.2,17479.2,19544.4,21933.9,24444.0,27454.7,29871.6,33237.7,35402.0,36755.0,41062.0,42815.5,44019.0,46497.3,50573.3,54363.7,57673.4,60843.2,65547.3,68128.2,71608.3,75054.4,79620.5,84542.1,89546.1,93441.3,100796.5,104181.5,106570.5,109617.3,116046.7,121757.8,128867.4,134575.8,140523.4,138823.4,144103.3,151299.9,156827.6,158218.4,165914.6,173025.6,175920.5,182604.6,189717.4
 "21000","Kentucky",5,SAINC30,45,"...","Net earnings by place of residence","Millions of dollars",3707.8,3896.9,3966.8,4130.9,4448.1,4692.7,4878.5,5323.1,5853.2,6267.7,6870.8,7574.9,8057.0,8662.3,9591.4,10670.1,11824.9,12477.6,14063.2,15984.6,17889.5,19915.7,20742.5,22482.7,23173.0,23673.5,26865.6,27902.5,28445.3,30529.1,33500.4,35632.2,37539.6,39156.9,42495.9,44255.3,46451.5,47962.5,50795.6,54072.7,57490.1,60930.1,65532.7,67266.7,69008.9,71595.8,76235.8,79778.3,82889.6,85116.9,86578.5,83841.6,87274.0,92039.9,95209.1,96861.0,99273.7,102674.0,104247.1,108153.2,111495.0
 "21000","Kentucky",5,SAINC30,50,"...","Personal current transfer receipts","Millions of dollars",379.0,393.2,429.0,554.6,503.9,504.2,529.6,578.6,626.8,746.1,843.1,944.0,1104.8,1298.3,1441.1,1719.5,2051.4,2583.6,2831.3,2967.6,3177.7,3703.7,4468.5,5039.0,5499.2,5953.2,6228.5,6516.9,6824.2,7057.1,7494.5,8234.7,9010.2,10245.3,11248.3,11702.4,12273.9,13202.2,13982.0,14776.8,15171.0,15736.4,16908.2,18426.6,19733.3,20346.8,21900.3,23207.0,25001.0,26897.2,30328.8,33466.2,35454.4,35930.2,35975.5,36841.7,40185.5,42379.7,42606.7,43783.4,45159.6
 "21000","Kentucky",5,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",52.2,55.6,59.9,64.9,67.0,67.5,68.0,72.3,82.0,95.9,103.8,112.4,150.6,176.0,189.3,215.9,310.1,381.1,431.2,433.7,417.8,474.6,608.4,680.8,678.9,766.5,793.6,799.0,817.0,806.6,872.0,955.8,1065.2,1214.5,1396.5,1458.1,1529.2,1658.6,1765.2,1780.3,1785.5,1819.2,1819.7,1926.7,2085.8,2276.4,2442.2,2621.4,2740.3,2939.8,3228.1,3773.1,4085.3,4205.0,4280.9,4338.6,4167.0,4074.7,3934.2,3904.4,3763.5
 "21000","Kentucky",5,SAINC30,70,"..."," Unemployment insurance compensation","Millions of dollars",65.2,42.7,39.6,55.1,34.9,31.3,32.2,25.6,18.4,24.0,25.8,28.0,41.7,62.9,63.4,55.0,77.7,208.2,178.9,149.0,128.6,167.0,340.5,295.9,407.8,418.5,223.2,202.1,207.3,161.5,164.4,167.2,212.9,311.9,380.2,347.5,265.0,240.7,252.4,250.3,248.9,260.4,293.7,453.1,643.3,645.5,498.5,429.9,435.4,474.4,716.7,1763.6,1718.1,1369.6,1046.5,796.3,400.2,319.7,374.1,328.9,326.4
 "21000","Kentucky",5,SAINC30,80,"..."," Retirement and other","Millions of dollars",261.6,295.0,329.6,434.6,402.1,405.5,429.4,480.6,526.4,626.1,713.5,803.6,912.5,1059.4,1188.4,1448.6,1663.6,1994.3,2221.2,2385.0,2631.3,3062.1,3519.5,4062.3,4412.5,4768.1,5211.7,5515.8,5799.8,6089.0,6458.1,7111.8,7732.1,8718.9,9471.5,9896.9,10479.7,11302.9,11964.3,12746.1,13136.6,13656.8,14794.7,16046.8,17004.1,17424.9,18959.7,20155.8,21825.3,23483.1,26383.9,27929.5,29651.0,30355.7,30648.1,31706.9,35618.2,37985.3,38298.4,39550.2,41069.7
 "21000","Kentucky",5,SAINC30,90,"...","Dividends, interest, and rent","Millions of dollars",536.4,572.4,626.2,660.5,725.8,770.9,817.3,847.9,899.4,973.8,1017.5,1192.7,1373.0,1505.5,1647.2,1862.8,2175.9,2418.0,2649.8,2981.7,3376.8,3835.4,4660.6,5716.1,6729.8,7128.3,7967.9,8396.0,8749.5,8911.1,9578.4,10496.8,11123.6,11441.1,11803.1,12170.4,12882.9,13889.7,14842.9,15692.6,16885.0,16774.8,18355.7,18488.2,17828.4,17674.6,17910.6,18772.5,20976.8,22561.7,23616.1,21515.6,21374.9,23329.7,25643.0,24515.7,26455.5,27971.9,29066.7,30668.0,33062.8
 "21000","Kentucky",5,SAINC30,91,"..."," Personal dividend income","Millions of dollars",119.3,120.5,126.2,134.8,158.1,173.9,191.2,195.6,191.0,205.7,200.8,220.7,228.1,241.2,264.5,317.8,375.0,368.8,428.3,485.1,549.7,622.2,671.6,756.2,791.2,852.2,905.1,990.9,1093.7,1180.2,1412.7,1692.2,1812.0,1968.9,2105.9,2289.6,2652.5,2948.1,3451.2,3770.0,4023.5,3991.2,4458.1,4237.6,4485.9,4531.7,5614.6,5818.4,7218.2,7929.1,8071.6,5771.3,5670.5,6574.6,8189.4,7459.7,8854.4,9646.6,10252.8,11058.1,11965.7
 "21000","Kentucky",5,SAINC30,92,"..."," Personal interest income","Millions of dollars",251.5,275.9,313.0,329.6,359.6,378.6,417.3,442.9,499.9,557.7,613.4,740.3,889.3,992.3,1089.1,1271.0,1515.1,1769.9,1959.7,2278.3,2597.6,2988.8,3744.8,4653.6,5643.2,5990.4,6772.1,7109.4,7444.9,7517.2,7883.8,8508.3,8897.2,8975.2,9024.7,8978.5,9076.6,9735.7,10007.1,10440.2,11243.9,11035.0,12052.4,12126.3,11119.4,10774.8,9844.8,10803.6,11985.4,13097.1,13435.1,12920.5,12192.1,12346.8,12715.7,11917.1,12293.0,12658.6,12844.8,13491.5,14635.3
 "21000","Kentucky",5,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",133.8,151.1,168.9,186.1,204.6,213.9,227.1,240.4,267.3,300.8,330.1,400.4,496.1,559.7,616.4,703.6,826.5,999.4,1089.9,1231.9,1415.1,1530.5,1779.3,2016.7,2396.5,2898.8,3110.2,3444.6,3726.8,4006.5,4174.8,4387.3,4611.7,4867.9,5189.4,5413.3,5541.4,5947.7,6045.8,6458.8,6550.6,6729.2,7088.5,7020.4,7058.4,7143.6,7133.5,7300.9,7581.6,7941.3,8510.9,8741.1,8698.6,8897.4,8922.9,8740.9,8968.1,9291.4,9169.1,9217.7,9631.2
