GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "28000","Mississippi",5,SAINC30,10,"...","Personal income (millions of dollars)","Millions of dollars",2462.1,2726.4,2763.8,2996.9,3132.5,3442.4,3563.3,3868.6,4217.4,4563.4,4993.3,5540.7,6077.0,6737.1,7677.4,8779.0,9648.1,10462.8,11877.6,13222.2,14721.6,16636.6,18097.5,20331.6,21465.4,22451.6,24527.7,25818.8,26781.3,28323.9,30302.6,32735.8,34442.5,36287.6,39062.7,41597.0,45005.3,47613.3,50525.5,53377.5,56601.9,58501.6,61638.2,64992.9,66139.1,68806.6,72778.6,77596.4,80873.3,85999.5,89845.0,88333.0,91795.4,95795.2,99386.4,101176.7,103310.8,104670.1,106423.5,108749.2,112991.7
 "28000","Mississippi",5,SAINC30,45,"...","Net earnings by place of residence","Millions of dollars",2006.7,2220.6,2223.6,2384.0,2474.4,2734.8,2834.0,3095.9,3391.8,3624.9,3965.6,4316.1,4608.3,5061.8,5801.2,6605.5,7039.3,7390.9,8534.7,9575.0,10623.8,11959.8,12397.7,13566.4,13994.5,14412.8,15933.5,16709.3,17261.3,18512.2,19820.9,20971.3,22103.3,23135.7,24999.5,26746.2,29124.5,30373.5,32109.6,33953.8,36294.4,37897.5,39516.1,41258.3,41736.0,43870.4,46746.6,48748.9,50333.8,52172.6,53856.2,51853.3,53897.1,55926.0,58635.9,60441.6,61008.1,60576.5,61199.1,63119.2,65162.6
 "28000","Mississippi",5,SAINC30,50,"...","Personal current transfer receipts","Millions of dollars",204.1,219.2,232.6,262.0,272.8,290.1,302.7,327.6,360.2,431.5,488.9,551.7,689.0,814.0,918.2,1065.0,1312.4,1631.1,1785.7,1909.6,2099.7,2396.4,2879.3,3263.2,3588.1,3950.6,4085.5,4279.9,4534.6,4720.9,5028.8,5495.1,5962.2,6707.8,7514.9,8011.7,8499.5,9290.8,9958.8,10334.2,10419.2,10731.2,11525.9,12867.0,13814.9,14440.3,15523.0,17459.5,17583.3,18367.9,20791.3,22227.9,24089.8,24934.6,24914.8,25467.7,26236.6,27312.2,28178.1,28283.3,29275.8
 "28000","Mississippi",5,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",43.1,44.4,48.1,50.3,48.1,50.4,54.3,55.0,59.2,72.0,72.6,83.3,135.7,162.7,176.6,180.1,259.4,286.2,316.9,314.3,327.4,417.0,515.0,566.8,567.6,618.8,628.1,647.7,683.5,714.7,795.3,856.5,931.5,1033.8,1224.0,1276.9,1322.5,1430.1,1512.3,1532.6,1517.8,1467.9,1503.3,1600.4,1729.0,1861.1,1950.4,2660.3,2140.4,2269.0,2407.0,2848.1,3119.1,3252.1,3332.8,3329.2,3264.7,3280.0,3159.8,3046.4,2957.7
 "28000","Mississippi",5,SAINC30,70,"..."," Unemployment insurance compensation","Millions of dollars",20.1,15.8,17.2,23.8,15.2,14.7,13.1,9.2,7.0,9.3,9.0,10.1,15.1,19.9,16.7,14.7,23.8,92.1,67.7,59.4,49.3,61.3,115.0,116.9,193.3,223.4,136.5,130.4,141.9,119.2,98.0,105.3,116.2,151.9,224.9,179.8,117.2,125.3,146.9,127.8,118.0,116.3,127.7,192.0,271.0,269.1,191.2,229.0,187.0,163.3,247.6,620.8,637.9,504.7,414.9,330.1,167.3,130.3,129.3,112.7,87.7
 "28000","Mississippi",5,SAINC30,80,"..."," Retirement and other","Millions of dollars",140.9,159.0,167.3,188.0,209.5,225.1,235.3,263.4,294.0,350.2,407.3,458.3,538.2,631.4,724.8,870.1,1029.2,1252.8,1401.1,1535.9,1722.9,1918.1,2249.2,2579.5,2827.2,3108.4,3320.8,3501.8,3709.2,3887.0,4135.6,4533.3,4914.5,5522.1,6065.9,6555.0,7059.8,7735.4,8299.5,8673.8,8783.3,9147.1,9894.9,11074.5,11814.8,12310.1,13381.4,14570.2,15255.9,15935.6,18136.7,18758.9,20332.8,21177.8,21167.2,21808.4,22804.7,23901.9,24889.0,25124.2,26230.5
 "28000","Mississippi",5,SAINC30,90,"...","Dividends, interest, and rent","Millions of dollars",251.3,286.6,307.6,350.9,385.3,417.5,426.6,445.1,465.4,507.1,538.8,672.9,779.7,861.3,958.1,1108.5,1296.5,1440.9,1557.1,1737.5,1998.1,2280.4,2820.5,3502.0,3882.7,4088.2,4508.7,4829.6,4985.3,5090.7,5452.9,6269.4,6377.0,6444.1,6548.3,6839.2,7381.2,7949.0,8457.2,9089.5,9888.3,9872.9,10596.2,10867.7,10588.2,10495.9,10508.9,11387.9,12956.2,15459.0,15197.5,14251.8,13808.5,14934.6,15835.7,15267.4,16066.1,16781.4,17046.3,17346.7,18553.3
 "28000","Mississippi",5,SAINC30,91,"..."," Personal dividend income","Millions of dollars",23.7,30.0,33.0,41.1,45.2,53.3,58.3,65.6,64.4,66.5,73.7,78.0,84.6,93.2,106.0,128.0,152.3,165.2,190.2,216.0,254.9,296.5,313.8,349.4,359.0,399.1,412.1,463.2,502.1,557.3,657.9,794.2,871.3,948.8,1039.2,1138.8,1380.2,1502.7,1769.7,2069.6,2336.7,2301.4,2433.0,2339.8,2575.1,2487.7,3021.9,3481.4,4522.8,5048.9,5009.6,3805.3,3575.4,4203.8,4955.0,4730.7,5154.1,5348.5,5524.2,5542.7,5982.8
 "28000","Mississippi",5,SAINC30,92,"..."," Personal interest income","Millions of dollars",118.9,140.3,166.3,193.1,215.6,227.3,237.5,252.7,273.4,308.8,339.4,446.4,536.2,602.2,679.7,807.8,962.9,1101.1,1207.8,1396.4,1605.1,1847.3,2336.8,2909.5,3262.6,3466.2,3879.9,4136.9,4323.3,4374.2,4597.6,5265.1,5246.0,5154.5,5068.9,5094.3,5297.7,5686.1,5845.3,6130.8,6593.2,6541.2,7057.9,7245.7,6711.2,6602.2,6084.4,6617.2,7349.8,8030.6,8440.1,8288.5,7782.6,7984.1,8091.2,7616.1,7880.2,8130.0,8156.9,8367.3,8947.0
 "28000","Mississippi",5,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",75.7,89.5,99.7,115.3,128.5,134.7,141.1,152.2,167.8,179.7,199.9,246.6,305.9,349.2,403.4,467.9,543.2,646.0,701.1,794.4,919.4,997.7,1186.0,1363.9,1581.2,1849.4,1968.4,2177.3,2360.1,2509.1,2631.6,2831.7,2952.4,3076.9,3165.5,3318.4,3489.4,3797.0,3859.1,4122.4,4230.7,4342.9,4528.7,4528.2,4625.9,4798.9,4777.4,4878.5,5082.9,5387.9,5782.0,6063.9,6000.6,6098.8,6165.4,6061.9,6189.7,6372.4,6307.5,6235.4,6445.3
