GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "38000","North Dakota",4,SAINC30,10,"...","Personal income (millions of dollars)","Millions of dollars",1170.4,1085.6,1210.3,1109.2,1554.9,1448.2,1440.7,1677.2,1697.1,1699.1,1778.3,1990.6,2102.4,2424.2,2887.4,4036.8,3998.2,4181.5,4101.9,4261.1,5357.9,5507.4,5269.9,6899.4,7453.2,7831.1,8458.3,8740.9,8869.9,9133.1,8466.6,9482.7,10256.6,10388.1,11391.7,11547.5,12547.6,12570.6,14065.7,13771.1,15105.2,15328.8,16663.9,16963.5,17347.8,18863.8,19234.4,20381.7,21361.4,23686.5,26555.2,26361.3,29344.6,32882.2,38859.8,38860.6,41526.2,40600.6,39622.2,39774.6,42147.7
 "38000","North Dakota",4,SAINC30,45,"...","Net earnings by place of residence","Millions of dollars",914.6,830.0,937.2,839.7,1229.0,1122.6,1097.3,1297.9,1307.0,1282.2,1320.2,1478.2,1525.3,1769.9,2162.2,3192.5,3023.6,3045.3,2860.3,2872.5,3817.8,3782.6,3170.3,4310.3,4464.5,4744.9,5150.6,5304.4,5336.9,5629.3,4954.4,5655.3,6246.4,6357.0,7176.3,7128.6,7960.9,7683.7,8967.4,8374.7,9512.5,9705.4,10646.4,10833.1,11122.6,12545.9,12749.6,13564.2,14050.9,15653.0,17363.8,17248.5,19459.8,21839.3,26614.4,26089.7,27532.1,26418.9,25460.3,25493.6,26802.9
 "38000","North Dakota",4,SAINC30,50,"...","Personal current transfer receipts","Millions of dollars",72.5,78.4,82.9,90.4,94.3,98.1,104.3,114.3,123.2,147.1,164.4,182.5,211.7,248.0,275.8,310.4,355.6,420.2,464.5,506.6,553.4,613.3,724.6,831.1,931.8,1036.1,1110.7,1180.0,1286.8,1345.8,1353.1,1474.3,1578.4,1605.4,1771.9,1866.8,1901.2,2010.2,2092.5,2181.7,2209.3,2304.2,2472.2,2536.9,2688.5,2787.6,2947.5,3107.0,3313.9,3552.2,4017.7,4199.9,4543.3,4649.6,4691.9,4856.5,5170.2,5431.7,5616.4,5692.5,6076.1
 "38000","North Dakota",4,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",10.1,9.3,9.4,9.6,9.1,8.9,9.3,10.1,10.6,12.0,12.8,13.2,17.4,21.3,21.5,21.5,23.6,25.9,30.4,32.1,32.5,36.9,53.0,55.2,58.9,62.7,67.2,71.2,77.7,77.7,87.5,95.3,101.1,110.3,129.8,137.6,143.3,150.4,157.8,172.2,151.8,161.6,163.9,164.9,181.2,208.8,214.4,229.5,235.8,284.4,322.5,376.6,420.7,424.2,421.3,418.9,427.4,462.7,495.6,494.0,489.5
 "38000","North Dakota",4,SAINC30,70,"..."," Unemployment insurance compensation","Millions of dollars",6.5,6.7,7.0,8.3,6.7,6.1,7.0,6.7,6.5,5.6,5.5,5.1,5.8,9.7,12.2,10.8,11.8,17.6,23.3,31.3,26.5,25.2,37.9,36.0,49.0,64.4,46.2,47.8,52.8,38.6,29.8,28.3,25.2,30.9,43.0,40.2,31.0,30.1,31.4,31.8,29.2,34.4,33.5,36.4,59.5,59.2,44.9,44.5,44.8,47.9,58.5,126.3,119.4,94.8,83.7,101.3,80.1,115.3,147.5,112.1,91.3
 "38000","North Dakota",4,SAINC30,80,"..."," Retirement and other","Millions of dollars",55.9,62.5,66.5,72.6,78.5,83.1,88.0,97.4,106.2,129.5,146.0,164.2,188.5,217.0,242.1,278.1,320.2,376.6,410.8,443.2,494.5,551.1,633.8,739.9,823.9,909.0,997.3,1061.0,1156.3,1229.5,1235.9,1350.7,1452.1,1464.2,1599.1,1689.0,1726.9,1829.7,1903.3,1977.7,2028.2,2108.3,2274.8,2335.6,2447.8,2519.7,2688.1,2833.0,3033.3,3219.8,3636.7,3697.0,4003.2,4130.6,4186.9,4336.3,4662.7,4853.7,4973.3,5086.5,5495.3
 "38000","North Dakota",4,SAINC30,90,"...","Dividends, interest, and rent","Millions of dollars",183.2,177.2,190.2,179.1,231.7,227.6,239.2,265.1,266.9,269.8,293.7,329.9,365.4,406.3,449.4,533.9,619.0,716.0,777.0,882.0,986.6,1111.5,1374.9,1758.0,2056.9,2050.1,2196.9,2256.4,2246.2,2157.9,2159.1,2353.0,2431.8,2425.6,2443.5,2552.2,2685.5,2876.8,3005.9,3214.7,3383.4,3319.2,3545.3,3593.5,3536.7,3530.2,3537.3,3710.5,3996.5,4481.4,5173.7,4912.9,5341.5,6393.3,7553.5,7914.5,8823.9,8750.1,8545.5,8588.5,9268.7
 "38000","North Dakota",4,SAINC30,91,"..."," Personal dividend income","Millions of dollars",12.4,15.8,15.2,15.7,15.6,18.7,20.4,23.7,23.1,27.1,24.6,23.3,24.7,26.7,29.6,36.9,45.0,50.9,58.9,66.6,77.3,89.0,100.0,117.1,156.8,128.2,128.4,141.1,162.6,182.0,196.4,246.2,267.8,296.4,314.5,355.0,412.6,455.3,518.1,604.0,633.4,628.4,687.6,683.0,772.4,836.4,990.0,1027.8,1208.3,1481.4,1754.7,1399.5,1553.6,2000.7,2644.9,2717.0,2985.1,2882.5,2888.9,2596.2,2812.1
 "38000","North Dakota",4,SAINC30,92,"..."," Personal interest income","Millions of dollars",61.4,66.2,74.8,81.4,93.4,104.6,118.0,137.9,149.2,160.1,188.4,223.5,272.9,302.3,332.0,388.6,457.7,544.1,606.2,712.5,797.5,911.0,1139.2,1432.4,1643.9,1726.0,1886.6,1921.5,1949.4,1857.6,1840.3,1985.1,2026.1,1971.8,1933.7,1942.0,1951.6,2094.5,2163.3,2241.4,2373.5,2300.5,2466.2,2460.3,2289.3,2259.8,2049.5,2179.2,2328.1,2553.9,2779.1,2763.4,2717.7,2895.2,3126.5,3118.0,3341.2,3593.6,3570.6,3670.7,3988.4
 "38000","North Dakota",4,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",27.1,32.4,38.1,44.1,50.1,55.2,61.0,67.2,72.3,76.4,83.1,98.5,128.7,144.6,160.4,181.6,206.0,252.9,274.4,309.0,350.7,367.0,425.7,488.2,582.4,706.5,735.6,819.4,863.6,894.7,898.8,926.6,952.8,994.5,1045.3,1109.5,1139.8,1224.3,1251.8,1316.6,1318.6,1328.0,1380.3,1358.5,1394.8,1440.3,1441.0,1456.3,1469.2,1526.7,1662.5,1788.1,1871.2,2018.7,2148.9,2222.4,2418.7,2590.2,2488.3,2433.2,2533.2
