GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "35000","New Mexico",6,SAINC30,10,"...","Personal income (millions of dollars)","Millions of dollars",1729.5,1858.6,1911.5,2000.3,2079.0,2150.3,2273.3,2412.1,2534.7,2620.0,2836.9,3143.7,3499.8,3872.4,4353.3,4881.8,5487.3,6267.9,6987.4,7819.8,8947.8,10088.4,11323.0,12799.9,14023.1,15086.1,16471.1,17823.5,18525.0,19308.7,20401.9,21855.4,23301.3,24937.1,26802.8,28827.1,30772.3,33070.6,34741.3,36520.0,38361.2,39275.9,42319.5,45312.3,47090.0,49197.2,52264.4,55838.3,59946.3,63418.4,67242.1,66661.8,69250.2,72820.3,74578.4,73412.3,77722.3,79973.4,81252.4,82733.0,87188.8
 "35000","New Mexico",6,SAINC30,45,"...","Net earnings by place of residence","Millions of dollars",1423.5,1522.0,1545.0,1598.0,1662.2,1708.4,1796.6,1900.9,1990.2,2031.7,2183.0,2390.5,2597.9,2844.0,3197.4,3552.1,3921.2,4422.8,4944.3,5583.3,6402.7,7184.2,7855.5,8686.1,9225.4,9807.6,10697.1,11496.0,11836.9,12397.5,13118.6,13955.8,14933.6,15989.8,17270.6,18657.9,19782.3,21004.2,21719.7,22945.1,24099.4,24873.5,27082.9,28878.4,30205.5,31734.8,33850.3,35806.5,38098.9,39704.4,41188.1,40242.1,41672.7,43756.2,44277.9,43456.3,44978.2,45369.1,45685.3,46444.0,48529.8
 "35000","New Mexico",6,SAINC30,50,"...","Personal current transfer receipts","Millions of dollars",84.0,92.5,102.3,118.4,120.4,128.8,135.1,145.4,156.1,195.4,228.3,260.7,325.4,377.9,422.1,499.8,600.7,738.1,828.1,872.3,956.0,1103.0,1315.0,1501.8,1651.2,1804.0,1927.2,2064.2,2222.5,2350.2,2520.4,2796.0,3048.1,3417.2,3798.9,4118.2,4429.9,4878.2,5322.5,5437.4,5719.1,6050.7,6423.0,7168.8,7872.8,8430.3,8991.9,9704.0,10585.4,11520.6,13244.8,14666.9,15878.8,16063.0,16017.7,16178.6,17724.6,19113.4,19561.9,19531.7,20682.6
 "35000","New Mexico",6,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",15.7,19.0,21.2,21.4,21.1,22.7,23.5,23.2,24.2,27.4,31.3,36.6,57.6,63.9,67.4,75.6,101.3,111.0,121.5,117.9,118.4,150.1,198.1,214.2,213.7,227.3,240.4,247.4,265.1,283.1,306.2,341.6,395.7,480.5,577.9,610.6,658.2,735.9,809.3,761.9,765.6,809.4,788.9,800.7,867.0,952.5,1038.0,1131.5,1156.9,1323.8,1412.8,1717.3,1984.8,2029.7,2058.6,2089.5,2075.6,2118.7,2195.5,2155.9,2134.2
 "35000","New Mexico",6,SAINC30,70,"..."," Unemployment insurance compensation","Millions of dollars",10.0,8.4,12.3,17.6,12.3,11.0,11.3,9.5,7.9,8.9,9.6,9.2,16.3,22.6,22.6,21.1,28.6,54.3,52.4,37.1,31.6,33.0,48.3,50.1,85.3,110.9,71.9,72.2,95.4,77.1,66.1,60.5,60.1,79.8,112.3,103.8,79.6,77.1,82.8,79.4,90.1,96.5,85.3,106.6,174.9,180.2,146.1,126.2,112.6,137.0,206.3,549.3,765.1,636.1,445.9,325.2,208.0,182.9,193.5,161.9,133.4
 "35000","New Mexico",6,SAINC30,80,"..."," Retirement and other","Millions of dollars",58.3,65.1,68.9,79.4,86.9,95.1,100.3,112.7,124.0,159.1,187.4,215.0,251.5,291.4,332.2,403.1,470.9,572.9,654.2,717.2,806.0,919.9,1068.5,1237.5,1352.2,1465.8,1614.9,1744.6,1861.9,1990.1,2148.2,2393.9,2592.3,2856.9,3108.7,3403.8,3692.1,4065.2,4430.4,4596.1,4863.4,5144.7,5548.8,6261.5,6830.8,7297.6,7807.9,8446.3,9315.8,10059.8,11625.7,12400.4,13128.9,13397.2,13513.1,13764.0,15441.0,16811.8,17172.9,17214.0,18415.0
 "35000","New Mexico",6,SAINC30,90,"...","Dividends, interest, and rent","Millions of dollars",221.9,244.1,264.1,283.9,296.5,313.1,341.6,365.7,388.4,392.8,425.6,492.5,576.4,650.5,733.8,829.9,965.4,1107.0,1215.0,1364.2,1589.1,1801.3,2152.5,2612.0,3146.4,3474.5,3846.8,4263.3,4465.7,4561.0,4762.9,5103.6,5319.6,5530.1,5733.4,6051.0,6560.1,7188.2,7699.1,8137.5,8542.7,8351.8,8813.7,9265.1,9011.7,9032.1,9422.3,10327.8,11262.0,12193.5,12809.2,11752.9,11698.7,13001.2,14282.8,13777.3,15019.4,15490.9,16005.2,16757.3,17976.4
 "35000","New Mexico",6,SAINC30,91,"..."," Personal dividend income","Millions of dollars",18.0,20.6,22.2,23.1,23.6,27.8,34.1,37.8,40.2,42.2,60.3,63.0,66.4,71.7,80.2,90.9,103.5,115.1,141.6,169.0,200.4,233.8,267.4,315.9,368.8,361.0,385.1,418.8,462.6,493.3,557.9,667.9,714.1,770.9,817.9,939.4,1093.8,1205.4,1478.9,1645.1,1668.0,1514.0,1711.3,1766.9,1875.6,1787.6,2297.1,2528.1,3397.4,3925.6,3933.5,2643.2,2431.8,2948.0,3756.8,3478.0,4129.7,4286.1,4574.6,4783.2,5195.9
 "35000","New Mexico",6,SAINC30,92,"..."," Personal interest income","Millions of dollars",126.9,144.8,158.2,174.0,182.4,194.9,218.6,239.1,257.0,258.6,275.8,322.8,405.5,465.9,530.5,619.4,734.6,868.7,956.9,1101.3,1279.9,1461.2,1758.8,2128.3,2600.5,2931.1,3272.5,3626.0,3841.6,3917.5,4030.1,4260.1,4394.4,4472.1,4495.6,4572.3,4781.5,5265.4,5405.5,5657.8,5949.3,5839.6,6062.2,6232.7,5828.0,5819.3,5568.1,6365.1,6651.3,7167.2,7372.7,7177.3,6843.4,6927.7,7238.5,6888.7,7224.8,7411.3,7532.3,7788.5,8368.4
 "35000","New Mexico",6,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",82.1,92.6,100.1,108.1,116.6,123.4,135.6,146.2,151.0,157.4,169.3,202.0,261.3,303.1,349.1,397.5,461.6,571.3,621.9,699.7,810.2,868.1,989.8,1113.0,1356.6,1689.6,1780.1,2048.5,2195.7,2319.8,2398.6,2514.1,2592.8,2746.6,2915.9,3094.4,3259.1,3577.5,3636.1,3898.4,3933.8,3954.4,4039.6,4051.0,4202.4,4404.9,4428.5,4576.8,4721.9,4876.7,5142.3,5351.9,5277.7,5325.0,5411.0,5360.3,5538.6,5717.0,5674.4,5630.4,5841.0
 "35000","New Mexico",6,SAINC30,94,"...","  Monetary interest receipts","Millions of dollars",44.8,52.2,58.1,65.8,65.9,71.4,83.0,92.9,105.9,101.2,106.5,120.8,144.3,162.7,181.3,221.9,272.9,297.3,335.0,401.7,469.8,593.1,769.0,1015.3,1243.9,1241.5,1492.4,1577.5,1645.9,1597.7,1631.4,1745.9,1801.6,1725.5,1579.6,1477.8,1522.4,1688.0,1769.4,1759.4,2015.5,1885.2,2022.6,2181.7,1625.7,1414.4,1139.6,1788.3,1929.4,2290.4,2230.4,1825.4,1565.7,1602.6,1827.5,1528.4,1686.2,1694.3,1857.8,2158.0,2527.5
 "35000","New Mexico",6,SAINC30,95,"..."," Rental income of persons","Millions of dollars",77.0,78.7,83.8,86.9,90.4,90.4,88.9,88.8,91.3,92.1,89.5,106.7,104.4,113.0,123.2,119.6,127.3,123.3,116.5,93.8,108.8,106.2,126.4,167.8,177.1,182.5,189.2,218.6,161.5,150.2,174.9,175.6,211.1,287.1,419.9,539.3,684.8,717.4,814.6,834.6,925.5,998.2,1040.2,1265.5,1308.1,1425.2,1557.1,1434.6,1213.3,1100.7,1503.0,1932.4,2423.5,3125.5,3287.5,3410.6,3664.9,3793.5,3898.3,4185.6,4412.1
 "35000","New Mexico",6,SAINC30,96,"...","  Imputed rent","Millions of dollars",40.0,44.7,49.2,51.0,53.1,54.2,54.0,54.8,56.3,57.6,56.0,70.5,73.3,78.2,78.3,75.1,77.6,72.8,63.0,42.1,47.6,41.9,41.1,45.9,26.0,24.6,14.5,6.0,-9.5,-6.2,26.4,37.4,64.1,115.2,190.0,296.0,377.7,404.9,481.2,500.1,584.2,660.5,728.9,908.8,1001.3,1089.2,1116.7,1044.2,806.2,628.9,911.4,1377.2,1753.9,2284.4,2424.5,2507.0,2640.0,2809.7,2940.5,3131.3,3282.5
 "35000","New Mexico",6,SAINC30,97,"...","  Monetary rent","Millions of dollars",37.0,34.0,34.6,35.9,37.3,36.3,34.9,34.1,35.0,34.5,33.5,36.2,31.1,34.8,44.9,44.5,49.7,50.5,53.5,51.8,61.2,64.3,85.3,121.9,151.1,157.9,174.7,212.6,171.0,156.5,148.5,138.3,147.0,171.9,229.9,243.3,307.1,312.5,333.4,334.5,341.3,337.7,311.2,356.7,306.8,336.0,440.4,390.4,407.2,471.8,591.6,555.2,669.6,841.1,863.0,903.6,1024.9,983.8,957.9,1054.3,1129.7
