GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "50000","Vermont",1,SAINC30,10,"...","Personal income (millions of dollars)","Millions of dollars",676.3,727.1,768.3,800.8,840.5,871.3,933.7,1022.2,1159.8,1256.1,1382.4,1515.4,1663.9,1802.3,1989.1,2183.9,2364.0,2591.8,2876.0,3120.1,3573.4,4015.1,4505.3,5069.1,5502.3,5907.7,6496.3,7041.0,7574.2,8217.5,8976.8,9917.1,10298.0,10499.4,11241.7,11680.9,12247.1,12890.2,13585.6,14333.1,15410.7,16394.2,17745.6,18821.9,19226.8,19983.7,21147.3,21726.8,23108.8,24319.7,25530.4,25164.3,25939.1,27455.2,28395.7,28768.7,29886.7,30998.7,31678.5,32460.6,33928.6
 "50000","Vermont",1,SAINC30,45,"...","Net earnings by place of residence","Millions of dollars",528.5,568.3,597.3,609.4,637.4,657.1,700.2,767.0,876.5,929.4,1016.2,1117.6,1205.1,1278.1,1403.9,1531.0,1613.0,1711.2,1932.5,2105.4,2464.1,2761.2,3004.9,3280.5,3453.8,3714.1,4092.2,4487.5,4884.2,5434.3,5930.9,6420.4,6603.3,6672.1,7194.7,7503.0,7829.3,8080.5,8560.8,9009.2,9742.8,10541.8,11476.6,12220.8,12653.7,13100.0,13845.6,14246.1,14675.0,15131.9,15592.9,15432.8,16082.7,16979.8,17418.5,17542.0,17779.6,18187.8,18594.1,19120.9,19731.5
 "50000","Vermont",1,SAINC30,50,"...","Personal current transfer receipts","Millions of dollars",52.4,55.3,59.4,67.1,69.6,74.5,77.4,81.1,86.9,107.2,126.0,144.2,171.6,204.9,230.3,262.2,315.2,401.2,432.3,442.3,467.4,530.4,628.6,724.9,806.8,864.3,889.9,928.6,956.7,971.2,1025.4,1121.4,1250.7,1378.5,1559.5,1628.5,1724.7,1869.7,1932.0,2033.8,2117.1,2264.0,2437.2,2672.6,2855.7,2989.4,3122.6,3400.5,3779.7,4180.5,4660.5,5058.4,5347.5,5397.0,5524.7,5796.2,6049.3,6342.5,6458.3,6543.7,6822.8
 "50000","Vermont",1,SAINC30,60,"..."," Income maintenance benefits 1/","Millions of dollars",6.9,7.5,6.9,6.7,6.6,6.8,7.0,7.2,7.5,9.3,12.3,15.3,19.3,25.1,28.5,29.4,42.8,55.1,63.2,56.3,56.4,65.5,89.4,102.9,101.4,105.9,104.8,105.7,109.8,107.0,111.3,120.2,141.2,166.0,195.4,198.8,212.0,224.0,209.6,225.8,221.1,233.7,238.8,243.3,259.2,270.4,286.4,316.3,331.5,438.5,466.8,522.4,550.9,558.7,571.2,607.4,588.8,583.6,573.5,577.3,572.9
 "50000","Vermont",1,SAINC30,70,"..."," Unemployment insurance compensation","Millions of dollars",6.1,4.3,5.4,8.7,6.7,7.4,6.9,4.8,3.5,4.4,4.9,4.8,8.6,16.5,19.2,15.3,22.4,48.8,43.7,34.0,22.8,23.4,35.3,35.1,51.9,53.1,36.4,34.1,30.3,25.1,23.6,30.8,52.8,80.7,90.8,83.4,59.3,52.5,53.2,49.7,46.4,46.2,44.7,64.7,112.1,120.5,83.5,80.0,84.8,90.3,123.3,267.3,223.6,163.9,127.2,97.4,78.1,70.8,68.2,65.1,61.7
 "50000","Vermont",1,SAINC30,80,"..."," Retirement and other","Millions of dollars",39.4,43.5,47.1,51.6,56.3,60.3,63.5,69.2,76.0,93.5,108.8,124.1,143.7,163.3,182.5,217.6,250.0,297.3,325.4,352.0,388.2,441.5,503.8,586.9,653.4,705.3,748.7,788.7,816.6,839.1,890.5,970.4,1056.7,1131.8,1273.3,1346.3,1453.4,1593.2,1669.2,1758.3,1849.5,1984.1,2153.6,2364.6,2484.4,2598.4,2752.8,3004.1,3363.3,3651.7,4070.4,4268.7,4573.0,4674.5,4826.3,5091.5,5382.4,5688.1,5816.6,5901.2,6188.2
 "50000","Vermont",1,SAINC30,90,"...","Dividends, interest, and rent","Millions of dollars",95.4,103.5,111.6,124.3,133.5,139.7,156.1,174.2,196.3,219.4,240.3,253.6,287.3,319.3,354.9,390.6,435.9,479.3,511.2,572.4,641.9,723.5,871.9,1063.7,1241.7,1329.3,1514.2,1624.8,1733.4,1812.0,2020.5,2375.2,2444.0,2448.8,2487.4,2549.4,2693.1,2939.9,3092.7,3290.1,3550.9,3588.4,3831.8,3928.5,3717.4,3894.4,4179.1,4080.3,4654.1,5007.3,5277.0,4673.1,4508.9,5078.4,5452.6,5430.5,6057.8,6468.5,6626.2,6796.0,7374.3
 "50000","Vermont",1,SAINC30,91,"..."," Personal dividend income","Millions of dollars",26.7,29.3,31.7,34.0,34.3,38.2,45.1,52.3,57.5,64.2,74.7,65.9,69.9,75.7,85.1,87.4,90.0,86.4,103.7,119.5,140.2,162.7,177.7,201.1,239.2,241.4,273.1,269.3,287.6,304.2,344.6,427.5,432.8,450.2,454.3,492.1,552.4,601.8,699.4,826.3,872.2,891.0,963.0,932.4,926.7,1052.4,1446.2,1179.1,1506.2,1693.1,1786.3,1232.7,1077.5,1392.1,1647.4,1652.9,2081.3,2243.2,2315.4,2424.6,2632.8
 "50000","Vermont",1,SAINC30,92,"..."," Personal interest income","Millions of dollars",51.9,56.2,60.0,67.0,73.4,75.2,84.0,93.8,109.5,124.4,134.9,154.0,183.2,206.1,229.1,260.4,304.9,353.0,371.6,423.1,471.3,530.0,657.0,815.3,952.3,1037.2,1188.4,1303.3,1397.5,1460.2,1612.5,1881.9,1932.9,1897.4,1874.3,1850.5,1888.6,2069.8,2087.2,2152.0,2336.0,2339.8,2505.0,2578.2,2378.3,2391.1,2234.3,2420.6,2744.2,2948.7,2991.4,2791.8,2590.6,2657.4,2707.4,2632.1,2797.4,2942.0,2939.1,3065.8,3364.2
 "50000","Vermont",1,SAINC30,93,"...","  Imputed interest receipts 2/","Millions of dollars",25.8,28.7,30.6,32.7,35.2,36.8,40.0,42.6,46.7,52.3,58.6,70.4,86.0,99.2,112.2,125.1,145.3,186.0,189.9,210.3,234.8,241.2,277.8,312.5,392.7,509.9,533.5,636.4,695.9,749.1,810.0,890.5,937.2,982.4,1039.4,1087.7,1104.6,1191.8,1203.4,1289.4,1302.3,1338.9,1415.2,1428.6,1439.6,1485.2,1515.9,1561.7,1596.6,1634.0,1746.3,1758.3,1703.3,1707.7,1703.3,1702.9,1793.8,1917.5,1878.9,1829.5,1917.8
