GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "02000","Alaska",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",67954,73461,90909,91776,97963,110432,125919,135438,145015,157502,165544,205780,254938,284135,314440,358806,419232,505699,571313,634543,726856,808932,920264,1078223,1339083,1563922,1723947,1902081,1950433,1935348,1996791,2219613,2331140,2381537,2528707,2731392,2941711,3120131,3235610,3399875,3486906,3474858,3656058,3592147,3535378,3633036,3822481,4060269,4563913,5131451,5649885,5443816,5834376,6554204,7014363,6899360,7358517,7765080,7874673,7969385,8500063
 "02000","Alaska",8,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",2367,2392,3926,3830,4180,5492,6900,6898,7302,8868,6598,8222,10061,12005,14325,15509,19355,31007,37789,40581,46379,53277,66999,87842,127965,140705,145910,168100,186740,211740,233297,309213,355799,368470,389739,437242,534815,595052,661781,707149,683967,665580,722134,663354,653089,682631,920922,1002703,1277823,1585798,1786686,1380506,1471617,1788133,1943395,1874592,2188349,2333191,2369207,2425498,2630368
 "02000","Alaska",8,SAINC40,92,"..."," Personal interest income","Thousands of dollars",58329,62671,76762,76444,81041,91076,102302,108539,114109,121268,128661,156368,208489,237274,265720,305265,359197,437201,495022,561235,646497,718984,809477,936598,1151372,1333097,1485348,1621182,1677708,1653996,1685692,1837135,1877169,1909864,1988153,2065372,2116141,2236772,2253482,2368208,2444093,2428007,2548442,2508179,2439592,2488388,2364880,2622003,2880858,3168913,3321619,3352043,3438173,3601544,3802646,3675102,3766946,3893477,3888060,3994093,4236566
 "02000","Alaska",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",51063,54796,67311,66448,70062,77098,85833,89218,90270,97847,103281,126494,171615,193385,214036,241387,278440,340026,378001,421161,481357,513020,572581,642415,785259,942794,1010855,1124819,1185338,1191787,1210134,1285386,1321558,1385534,1465056,1543752,1582601,1676602,1682798,1770933,1757590,1779300,1805593,1753956,1843560,1939800,1937782,2010962,2149080,2256518,2395211,2617529,2710130,2886462,3056261,3040718,3089883,3173133,3136350,3123622,3216287
 "02000","Alaska",8,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",7266,7875,9451,9996,10979,13978,16469,19321,23839,23421,25380,29874,36874,43889,51684,63878,80757,97175,117021,140074,165140,205964,236896,294183,366113,390303,474493,496363,492370,462209,475558,551749,555611,524330,523097,521620,533540,560170,570684,597275,686503,648707,742849,754223,596032,548588,427098,611041,731778,912395,926408,734514,728043,715082,746385,634384,677063,720344,751710,870471,1020279
 "02000","Alaska",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",7258,8398,10221,11502,12742,13864,16717,20001,23604,27366,30285,41190,36388,34856,34395,38032,40680,37491,38502,32727,33980,36671,43788,53783,59746,90120,92689,112799,85985,69612,77802,73265,98172,103203,150815,228778,290755,288307,320347,324518,358846,381271,385482,420614,442697,462017,536679,435563,405232,376740,541580,711267,924586,1164527,1268322,1349666,1403222,1538412,1617406,1549794,1633129
 "02000","Alaska",8,SAINC40,96,"...","  Imputed rent","Thousands of dollars",6153,7202,9109,10122,11155,11994,12543,13278,14241,15121,15114,19759,18974,20679,20561,19712,20363,19368,16752,9943,11109,9424,9030,10178,4307,3569,73,-3798,-11028,-11491,-1937,-1264,4040,13267,34809,73345,103445,116993,144922,151839,184478,212896,224038,250871,268635,283956,311804,258742,200205,151583,251634,394429,552898,709148,773278,845058,847131,911935,969735,948641,993664
 "02000","Alaska",8,SAINC40,97,"...","  Monetary rent","Thousands of dollars",1105,1196,1112,1380,1587,1870,4174,6723,9363,12245,15171,21431,17414,14177,13834,18320,20317,18123,21750,22784,22871,27247,34758,43605,55439,86551,92616,116597,97013,81103,79739,74529,94132,89936,116006,155433,187310,171314,175425,172679,174368,168375,161444,169743,174062,178061,224875,176821,205027,225157,289946,316838,371688,455379,495044,504608,556091,626477,647671,601153,639465
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
