GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "05000","Arkansas",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",245678,260919,283284,312872,353497,386079,425331,488432,539949,588133,559969,669954,774526,868494,956043,1112658,1334691,1519640,1663725,1881041,2156828,2477512,3067008,3823992,4365665,4528003,5046097,5481463,5694819,5637476,6021800,6680953,6992781,7004705,7211505,7537871,8034799,8683506,9315314,9884223,10548179,10480608,11075079,11204052,10895879,11207805,11722500,13113491,14987993,17001962,18291160,16386574,16234985,19161848,23099660,21344175,24774186,26764384,27619287,29199305,31687157
 "05000","Arkansas",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",27261,29698,32134,35595,41368,49823,59175,68049,67080,65028,77342,84500,90701,99429,112280,133054,156022,165545,197220,229401,265494,305625,335362,382056,465106,424966,443565,518036,577973,626105,764783,902227,994060,1098224,1205855,1338625,1598461,1745809,2023446,2308361,2351863,2303391,2267975,2130771,2417347,2723915,3697094,4047260,5238468,6231633,6451850,4394571,4394894,6236188,8714488,7684223,9933793,10866497,11578338,12102712,13163354
 "05000","Arkansas",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",125622,133481,153156,170274,199796,213903,243678,296526,343046,389145,355391,430442,525174,605171,680418,807771,979836,1154731,1284191,1503272,1730258,2011828,2545481,3193349,3639601,3884385,4381594,4726490,4945652,4850390,5054413,5566522,5739058,5583638,5557287,5589523,5699594,6140755,6360706,6674443,7195703,7115468,7679738,7745758,7081093,6975650,6557192,7624847,8486434,9660451,10321568,10058889,9435597,9965413,11148024,10249634,11166102,11953122,12165798,13156379,14358915
 "05000","Arkansas",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",70003,73497,78262,89731,106004,111617,122544,131380,145929,166190,179312,207068,257334,302961,343713,394901,471852,586271,645315,735954,851829,917607,1099889,1272971,1495890,1771841,1912619,2145344,2343547,2487774,2581154,2731090,2888179,3035255,3176907,3306260,3447122,3757718,3840159,4152182,4235795,4323512,4511051,4478696,4471279,4589684,4710387,4996328,5325913,5719852,6188737,6430521,6377500,6650557,7036595,7116832,7526700,7962635,7918557,8108168,8480191
 "05000","Arkansas",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",55619,59984,74894,80543,93792,102286,121134,165146,197117,222955,176079,223374,267840,302210,336705,412870,507984,568460,638876,767318,878429,1094221,1445592,1920378,2143711,2112544,2468975,2581146,2602105,2362616,2473259,2835432,2850879,2548383,2380380,2283263,2252472,2383037,2520547,2522261,2959908,2791956,3168687,3267062,2609814,2385966,1846805,2628519,3160521,3940599,4132831,3628368,3058097,3314856,4111429,3132802,3639402,3990487,4247241,5048211,5878724
 "05000","Arkansas",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",92795,97740,97994,107003,112333,122353,122478,123857,129823,133960,127236,155012,158651,163894,163345,171833,198833,199364,182314,148368,161076,160059,186165,248587,260958,218652,220938,236937,171194,160981,202604,212204,259663,322843,448363,609723,736744,796942,931162,901419,1000613,1061749,1127366,1327523,1397439,1508240,1468214,1441384,1263091,1109878,1517742,1933114,2404494,2960247,3237148,3410318,3674291,3944765,3875151,3940214,4164888
 "05000","Arkansas",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",48791,53521,57979,63067,68689,72507,74578,77700,81963,86491,85185,114517,124182,130059,132937,127262,128946,118269,103760,69250,75941,68793,65867,71439,42850,36198,21161,8427,-11819,-5039,36985,54093,89280,139852,212026,317028,397745,421499,496072,510236,594874,668820,734757,916796,1017151,1114044,1064518,988085,780481,600189,848691,1266767,1604157,1995074,2297712,2402838,2497389,2815812,2780932,2821928,2975624
 "05000","Arkansas",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",44004,44219,40015,43936,43644,49846,47900,46157,47860,47469,42051,40495,34469,33835,30408,44571,69887,81095,78554,79118,85135,91266,120298,177148,218108,182454,199777,228510,183013,166020,165619,158111,170383,182991,236337,292695,338999,375443,435090,391183,405739,392929,392609,410727,380288,394196,403696,453299,482610,509689,669051,666347,800337,965173,939436,1007480,1176902,1128953,1094219,1118286,1189264
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
