GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "10000","Delaware",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",245920,255570,270256,276590,296761,323367,345563,365690,356813,373998,388056,415303,442508,466120,494457,534984,594213,595869,661911,739153,811892,907357,1107721,1357322,1483368,1538646,1754964,1903046,2030050,2168002,2386324,2884793,3023278,3154722,3176891,3312148,3403791,3710073,4035590,4267497,4657977,4572336,5101680,5064644,5141390,5229961,5661654,5904270,6580193,6911725,7058949,6351161,6188926,6825464,7234093,7273111,7885797,8309998,8458230,9072424,9781617
 "10000","Delaware",2,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",145158,151558,159724,160736,173766,186909,200266,201917,184455,173107,197655,195351,185430,181285,185172,188233,191549,158471,192791,224034,237978,255761,269340,294497,313391,328576,364684,392611,416880,432410,482438,605024,659131,711303,726931,772239,842444,876758,1066527,1169072,1230768,1149005,1322960,1250881,1472230,1569593,2036698,1977884,2239730,2338652,2202074,1460614,1332240,1657310,1870728,1891782,2250564,2337892,2397674,2636700,2857672
 "10000","Delaware",2,SAINC40,92,"..."," Personal interest income","Thousands of dollars",62896,63236,67529,70715,76116,87202,95644,111060,120687,144295,138064,170588,204590,229514,254984,297385,352304,389619,427139,485506,543049,623345,806821,1025751,1139370,1173094,1353552,1464609,1590511,1715208,1861958,2238677,2305717,2345700,2298572,2309991,2269340,2506517,2589303,2710577,2982152,2932459,3265412,3254451,3036867,2993486,2869068,3237101,3743124,4075041,4122175,3878517,3562367,3622352,3714900,3646170,3809072,3963430,4059387,4298934,4681164
 "10000","Delaware",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",31214,32325,33955,37196,39729,43553,48451,50979,55563,63962,69644,78908,98820,113112,127639,144473,166434,195188,215504,239496,269380,290519,354128,418200,483626,548421,602074,660317,747286,848573,920921,1028314,1115961,1187861,1221877,1286661,1314437,1439740,1469966,1603410,1640592,1693992,1821122,1826519,1881715,1935555,2003471,2091756,2217591,2317239,2446384,2482957,2431525,2493187,2543716,2557552,2674900,2803503,2820022,2860504,2996139
 "10000","Delaware",2,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",31682,30911,33574,33519,36387,43649,47193,60081,65124,80333,68420,91680,105770,116402,127345,152912,185870,194431,211635,246010,273669,332826,452693,607551,655744,624673,751478,804292,843225,866635,941037,1210363,1189756,1157839,1076695,1023330,954903,1066777,1119337,1107167,1341560,1238467,1444290,1427932,1155152,1057931,865597,1145345,1525533,1757802,1675791,1395560,1130842,1129165,1171184,1088618,1134172,1159927,1239365,1438430,1685025
 "10000","Delaware",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",37866,40776,43003,45139,46879,49256,49653,52713,51671,56596,52337,49364,52488,55321,54301,49366,50360,47779,41981,29613,30865,28251,31560,37074,30607,36976,36728,45826,22659,20384,41928,41092,58430,97719,151388,229918,292007,326798,379760,387848,445057,490872,513308,559312,632293,666882,755888,689285,597339,498032,734700,1012030,1294319,1545802,1648465,1735159,1826161,2008676,2001169,2136790,2242781
 "10000","Delaware",2,SAINC40,96,"...","  Imputed rent","Thousands of dollars",28231,31044,33724,35836,38360,39828,40360,41471,43233,44990,43912,40906,39767,42037,40820,38323,38772,36236,30686,17436,17865,14154,13716,15129,5764,4108,-2614,-10841,-26373,-28269,-8942,-8210,2817,23293,69324,141026,191988,211285,255683,263632,314997,359016,378658,430276,477835,551701,621855,547266,452362,332883,538918,791468,1055096,1255550,1348521,1422330,1491730,1629004,1581234,1730318,1814711
 "10000","Delaware",2,SAINC40,97,"...","  Monetary rent","Thousands of dollars",9635,9732,9279,9303,8519,9428,9293,11242,8438,11606,8425,8458,12721,13284,13481,11043,11588,11543,11295,12177,13000,14097,17844,21945,24843,32868,39342,56667,49032,48653,50870,49302,55613,74426,82064,88892,100019,115513,124077,124216,130060,131856,134650,129036,154458,115181,134033,142019,144977,165149,195782,220562,239223,290252,299944,312829,334431,379672,419935,406472,428070
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
