GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "12000","Florida",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1748100,1930002,2098609,2284133,2480885,2680960,2894694,3180192,3452718,3816396,4554566,5449656,6442844,7299090,8223106,9592904,11268290,12408007,13629681,15554797,18211934,21440956,26767566,33554798,36249192,39565095,45429540,49892176,53689927,56636863,62301502,74786535,79357190,79765423,79137653,82048779,85927837,93937054,100140875,107052772,116499674,117125831,127223206,129210343,125409577,129268104,143762865,163280497,188972420,205329904,203672541,171413226,182358235,200124264,214699573,205277804,230395248,251036492,250256063,273023127,297541686
 "12000","Florida",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",385028,418429,443828,472906,526179,578318,657948,739764,796302,867487,1150758,1257697,1341692,1460285,1651327,1896305,2148721,2159352,2601991,3005418,3594064,4235098,4955911,5885398,5729361,6664075,7218651,8064484,9014536,9731931,11193671,13711575,14740480,15756292,16308880,17777687,20046709,21832571,25441325,28280923,30731039,30644456,34185426,34659097,37728098,41676236,55134265,61059441,72893635,79931141,73009327,48445557,48662405,63544863,77793042,72902623,88617590,96432192,96092420,106864055,116210364
 "12000","Florida",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",924251,1047895,1146987,1272969,1375564,1494967,1606779,1781483,1965202,2217799,2663443,3406890,4310393,4980807,5672454,6807239,8281360,9413011,10279560,11931289,13974370,16548138,21002956,26596880,29403866,31781707,37106669,40443965,43477203,45768802,49690809,59688363,62834672,61498388,59399656,59347053,59977698,65645329,67269634,71181949,77174899,77051341,83285579,83540386,75713050,74192246,73639499,87008724,102147936,113505583,114371146,102617417,111035285,110186969,108566170,101464656,107984046,116976684,114402861,122997528,135907090
 "12000","Florida",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",399078,459236,509359,566798,622821,685129,754072,816122,885869,986925,1126014,1427281,1888480,2215216,2563090,2959078,3520732,4322261,4676414,5302147,6126859,6538834,7964320,9348201,10829566,13026716,14149205,16270327,18330062,20487683,22091793,24489227,26601162,28266286,29465020,30960367,31670505,34727959,35684802,38941617,39808185,41265132,44483623,43450280,42727450,43802725,46178337,50015043,54772144,58861898,60781600,58887026,58812629,61467875,62761700,61394789,64251294,69146239,68752751,70261830,74058274
 "12000","Florida",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",525173,588659,637628,706171,752743,809838,852707,965361,1079333,1230874,1537429,1979609,2421913,2765591,3109364,3848161,4760628,5090750,5603146,6629142,7847511,10009304,13038636,17248679,18574300,18754991,22957464,24173638,25147141,25281119,27599016,35199136,36233510,33232102,29934636,28386686,28307193,30917370,31584832,32240332,37366714,35786209,38801956,40090106,32985600,30389521,27461162,36993681,47375792,54643685,53589546,43730391,52222656,48719094,45804470,40069867,43732752,47830445,45650110,52735698,61848816
 "12000","Florida",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",438821,463678,507794,538258,579142,607675,629967,658945,691214,731110,740365,785069,790759,857998,899325,889360,838209,835644,748130,618090,643500,657720,808699,1072520,1115965,1119313,1104220,1383727,1198188,1136130,1417022,1386597,1782038,2510743,3429117,4924039,5903430,6459154,7429916,7589900,8593736,9430034,9752201,11010860,11968429,13399622,14989101,15212332,13930849,11893180,16292068,20350252,22660545,26392432,28340361,30910525,33793612,37627616,39760782,43161544,45424232
 "12000","Florida",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",310055,348053,383915,411583,442264,462560,471884,488244,511855,534980,525735,571999,566618,607310,596936,566523,580025,545211,466378,275887,301611,252727,240757,279702,128978,116307,20080,-81227,-278075,-285161,19435,65416,272078,620364,1311313,2398815,3211479,3530318,4281308,4446456,5314031,6077066,6446686,7475817,8581378,9823866,11276525,11120940,9396935,6596445,9845584,13579036,15432716,17797023,19347221,21528101,23221243,26014794,28668877,30716784,32190978
 "12000","Florida",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",128766,115625,123879,126675,136878,145115,158083,170701,179359,196130,214630,213070,224141,250688,302389,322837,258184,290433,281752,342203,341889,404993,567942,792818,986987,1003006,1084140,1464954,1476263,1421291,1397587,1321181,1509960,1890379,2117804,2525224,2691951,2928836,3148608,3143444,3279705,3352968,3305515,3535043,3387051,3575756,3712576,4091392,4533914,5296735,6446484,6771216,7227829,8595409,8993140,9382424,10572369,11612822,11091905,12444760,13233254
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
