GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "98000","Far West",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",8519597,9227058,10026820,10531362,11405515,12186707,13284656,14470376,15559145,16635430,17662356,19908785,22413387,24339833,26463667,29674515,33999544,37624494,40592862,45092843,51947131,59780548,72340660,88465586,97938403,107130290,121174938,129312724,134800775,138414169,149653804,169761374,180255757,182718175,186390263,193460716,204677782,221734159,236933642,252212557,271688959,274323745,299349344,302449244,295237702,311038241,338531005,368673390,419472667,453002300,471526554,419490684,417472110,467247600,522419317,514656427,582468799,642733481,677086361,722259256,782253143
 "98000","Far West",8,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",1443543,1563303,1671043,1744185,1897830,2037647,2277658,2558871,2640311,2774723,3036013,3177896,3213727,3330501,3596251,4037904,4531325,4633713,5542479,6432165,7394749,8458869,9670284,11352725,11197823,12704986,14133516,15031737,16594968,17658295,20296988,24964589,27017195,28926464,29879709,32076740,36582999,40276477,47689244,54215285,56984096,56629936,63369674,60726420,65481151,73513386,102469354,102209527,130715213,145830052,141714525,94867921,94246791,119288065,149451252,142973722,176343573,197998044,207859494,222392307,242028002
 "98000","Far West",8,SAINC40,92,"..."," Personal interest income","Thousands of dollars",4735855,5178074,5710925,6055048,6636401,7193442,7949183,8723025,9570540,10357814,11132109,12968937,15467382,16978758,18587905,21149362,24864879,28467355,30848779,35421277,41150982,47894617,58536737,72021997,81675937,89093000,101507725,108369073,113673790,116785740,123987148,139795450,146499104,144270092,141089618,138671104,140269058,150990575,153998393,161673002,173647204,173305542,190641548,192893779,178574975,180485285,172682952,205429188,234641789,258982186,261823963,240939458,223358745,228921383,244304499,233088253,251815281,273576631,283278735,303010283,332990714
 "98000","Far West",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",2202320,2492057,2751879,2975672,3244061,3499300,3824441,4112315,4480043,4925912,5426903,6467079,8104355,9004000,9976409,11046574,12787259,15717172,16689662,18672116,21309378,22655785,26526722,30198480,35716059,43581595,46171380,52614069,57144357,61177772,64358823,69375841,73656336,77435262,80797174,83335970,84911793,91051656,92058143,98759817,100201761,103381731,110559768,109763396,111338566,115553936,119042249,126186829,135739178,145070216,153788007,154694846,150887054,153406280,157442991,157405139,166998918,181418795,183603158,187583522,197700049
 "98000","Far West",8,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",2533535,2686017,2959046,3079376,3392340,3694142,4124742,4610710,5090497,5431902,5705206,6501858,7363027,7974758,8611496,10102788,12077620,12750183,14159117,16749161,19841604,25238832,32010015,41823517,45959878,45511405,55336345,55755004,56529433,55607968,59628325,70419609,72842768,66834830,60292444,55335134,55357265,59938919,61940250,62913185,73445443,69923811,80081780,83130383,67236409,64931349,53640703,79242359,98902611,113911970,108035956,86244612,72471691,75515103,86861508,75683114,84816363,92157836,99675577,115426761,135290665
 "98000","Far West",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",2340199,2485681,2644852,2732129,2871284,2955618,3057815,3188480,3348294,3502893,3494234,3761952,3732278,4030574,4279511,4487249,4603340,4523426,4201604,3239401,3401400,3427062,4133639,5090864,5064643,5332304,5533697,5911914,4532017,3970134,5369668,5001335,6739458,9521619,15420936,22712872,27825725,30467107,35246005,36324270,41057659,44388267,45338122,48829045,51181576,57039570,63378699,61034675,54115665,48190062,67988066,83683305,99866574,119038152,128663566,138594452,154309945,171158806,185948132,196856666,207234427
 "98000","Far West",8,SAINC40,96,"...","  Imputed rent","Thousands of dollars",1482407,1639248,1794550,1925762,2077429,2170360,2210799,2281025,2384282,2484643,2436938,2659697,2577530,2843693,2879511,2817404,2963791,2868416,2535154,1417583,1428471,1110483,1142069,1129824,252288,21397,-592082,-1374818,-2752253,-2885981,-1387928,-1446315,-785136,495961,3882871,9435871,13436041,15107860,18554279,19208329,23191509,26575832,27799245,29642882,32505864,38069471,43537188,39563699,31333689,22322663,35022318,49915359,60580446,73526645,79108553,90174953,101369364,112226845,122967296,133820438,140200964
 "98000","Far West",8,SAINC40,97,"...","  Monetary rent","Thousands of dollars",857792,846433,850302,806367,793855,785258,847016,907455,964012,1018250,1057296,1102255,1154748,1186881,1400000,1669845,1639549,1655010,1666450,1821818,1972929,2316579,2991570,3961040,4812355,5310907,6125779,7286732,7284270,6856115,6757596,6447650,7524594,9025658,11538065,13277001,14389684,15359247,16691726,17115941,17866150,17812435,17538877,19186163,18675712,18970099,19841511,21470976,22781976,25867399,32965748,33767946,39286128,45511507,49555013,48419499,52940581,58931961,62980836,63036228,67033463
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
