GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "13000","Georgia",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",691504,760839,849306,919893,1008149,1101150,1213272,1351275,1479402,1616121,1655180,1901978,2203837,2446655,2705059,3103530,3569994,3874279,4204020,4669973,5342894,6056846,7380183,9025393,10261489,11330937,12946779,14124037,15291304,16271347,18062762,20565879,21873017,22424089,23062369,24434607,26757807,29427125,32015464,34550934,37633562,37682756,41320603,42440869,41779789,43708276,45059758,49202718,55034996,60492757,61002279,55095842,53920465,61824922,65183669,63618845,71203690,76564924,77673143,83644414,90259028
 "13000","Georgia",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",125279,138300,149565,160830,174246,188273,221948,262624,280620,290146,295190,312175,328500,353789,394903,448695,507320,512673,599534,685820,802464,927948,1020152,1165477,1204045,1400668,1546472,1766572,1961300,2176651,2728457,3216518,3638184,3947408,4241343,4850981,5966559,6706903,8027820,9007870,9821658,9514830,10632289,10457910,11477699,12686077,15222319,16327742,19722384,22224576,20492870,14176642,13722523,17424065,21292540,20528175,25412143,27753345,28182609,31383384,34049587
 "13000","Georgia",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",356427,404953,458491,495320,549753,600142,672861,753313,853346,957965,1004219,1211595,1489458,1684741,1881315,2225884,2652822,2992738,3270799,3730056,4271544,4866019,6051900,7476187,8681229,9574340,11032674,11898285,12953278,13718575,14836483,16839023,17608480,17594712,17478962,17591226,18207536,19924751,20674718,22119053,23870138,23860579,26172785,26795624,24827720,25123320,23779512,27402406,30643141,34158741,34671212,32986938,30872381,33483612,32103965,30589071,32392426,34206408,34154455,35642321,38731920
 "13000","Georgia",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",226338,250980,277967,306119,343190,377998,413020,447771,497543,554655,609913,730660,908740,1023212,1138438,1300959,1501031,1786766,1969981,2227260,2574771,2778594,3281290,3765437,4384731,5200704,5749256,6449457,7217813,7975662,8547428,9273232,9903483,10462835,10946124,11480025,11943550,13038051,13460045,14633811,15062211,15555236,16575500,16575643,16828684,17416291,17713050,18679832,19845292,21214159,22521384,22697142,22088344,22744647,22943304,22707504,23499604,24872351,24826350,24794039,26030332
 "13000","Georgia",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",130089,153973,180524,189201,206563,222144,259841,305542,355803,403310,394306,480935,580718,661529,742877,924925,1151791,1205972,1300818,1502796,1696773,2087425,2770610,3710750,4296498,4373636,5283418,5448828,5735465,5742913,6289055,7565791,7704997,7131877,6532838,6111201,6263986,6886700,7214673,7485242,8807927,8305343,9597285,10219981,7999036,7707029,6066462,8722574,10797849,12944582,12149828,10289796,8784037,10738965,9160661,7881567,8892822,9334057,9328105,10848282,12701588
 "13000","Georgia",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",209798,217586,241250,263743,284150,312735,318463,335338,345436,368010,355771,378208,385879,408125,428841,428951,409852,368868,333687,254097,268886,262879,308131,383729,376215,355929,367633,459180,376726,376121,497822,510338,626353,881969,1342064,1992400,2583712,2795471,3312926,3424011,3941766,4307347,4515529,5187335,5474370,5898879,6057927,5472570,4669471,4109440,5838197,7932262,9325561,10917245,11787164,12501599,13399121,14605171,15336079,16618709,17477521
 "13000","Georgia",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",132467,147156,161119,177441,195420,208037,215493,225848,239473,252597,250798,275944,278696,296758,295533,280278,287267,264613,226288,138346,149325,128415,121403,133346,64202,55676,13961,-31122,-116276,-116152,15800,41512,133443,289023,599003,1129379,1546287,1724539,2111767,2205539,2649781,3043760,3252744,3803662,4099643,4541255,4652955,4025415,3184405,2410555,3796140,5660889,6717123,7880998,8650791,9252425,9829665,10715531,11414044,12566196,13167940
 "13000","Georgia",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",77331,70430,80131,86302,88730,104698,102970,109490,105963,115413,104973,102264,107183,111367,133308,148673,122585,104255,107399,115751,119561,134464,186728,250383,312013,300253,353672,490302,493002,492273,482022,468826,492910,592946,743061,863021,1037425,1070932,1201159,1218472,1291985,1263587,1262785,1383673,1374727,1357624,1404972,1447155,1485066,1698885,2042057,2271373,2608438,3036247,3136373,3249174,3569456,3889640,3922035,4052513,4309581
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
