GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "93000","Great Lakes",3,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",9989512,10781631,11699400,12376738,13432078,14370785,15585571,16858987,18028386,19054437,20459099,21994449,24273749,26120361,28097243,31433963,35777609,39087839,41851201,46353090,51456010,57795271,69642143,84994074,96989565,103143919,115638647,120947420,125732868,128117354,137154845,152796087,160089644,160088860,164296338,170301538,183829697,199415735,212662437,226237308,242619494,239183052,256759513,253215397,242019181,243776254,250482367,261267558,289308683,309778360,318882611,280785626,277074964,309891822,340982296,333249465,367741150,392117066,400819732,419630620,454834358
 "93000","Great Lakes",3,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",2142371,2311506,2504372,2647995,2897322,3107518,3514065,3898325,4037861,4140631,4553769,4588799,4559761,4660937,4957754,5544103,6167801,6026138,7152301,8238186,9239113,10350880,11085198,12390831,12731363,14107857,15357789,16519971,18066296,19335622,22525366,27735104,29800906,31566527,33134092,35755099,41455242,45643276,53278408,58637983,61955422,58763076,62718908,58697196,63175576,66515899,83641106,82538688,100127778,110813802,109745776,75904250,75682598,94998103,116263040,112872980,134033456,143292911,147571892,154112309,166988356
 "93000","Great Lakes",3,SAINC40,92,"..."," Personal interest income","Thousands of dollars",4572641,5053048,5619328,6011236,6657105,7251437,8082431,8851821,9821038,10731637,11798315,13560471,15747484,17291256,18805404,21486669,25303363,28894896,30964833,35268472,39267498,44656970,55427007,68924933,80784983,85583322,96843370,100793803,105228641,106493001,111488125,122029190,126409590,123277986,123091165,122096125,123945537,133554819,137660107,144765973,155546313,153643488,166957017,164754395,148618866,144883556,133208158,148588109,163531264,177223518,179298142,165925217,153848736,157314293,162418242,154630901,163928715,174394814,175379590,184941676,203060794
 "93000","Great Lakes",3,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",1970497,2232343,2471550,2696445,2933080,3124116,3436065,3685157,4049156,4455773,4971219,5893364,7108055,7979971,8796957,9785942,11364246,14179707,14922462,16553986,18426544,19251085,22794721,26128606,31393165,38183022,40716868,45552888,49493782,52861070,55275027,58525027,61381098,63719913,66605473,69487499,71461539,77152947,78556933,84807842,85738417,87855537,92663039,90310529,89908959,90475012,90514642,92391316,95308495,99147879,105739522,106354017,103825976,105447788,106806870,105487159,110272830,117582960,115794291,115915824,122163469
 "93000","Great Lakes",3,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",2602144,2820705,3147778,3314791,3724025,4127321,4646366,5166664,5771882,6275864,6827096,7667107,8639429,9311285,10008447,11700727,13939117,14715189,16042371,18714486,20840954,25405885,32632286,42796327,49391818,47400300,56126502,55240915,55734859,53631931,56213098,63504163,65028492,59558073,56485692,52608626,52483998,56401872,59103174,59958131,69807896,65787951,74293978,74443866,58709907,54408544,42693516,56196793,68222769,78075639,73558620,59571200,50022760,51866505,55611372,49143742,53655885,56811854,59585299,69025852,80897325
 "93000","Great Lakes",3,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",3274500,3417077,3575700,3717507,3877651,4011830,3989075,4108841,4169487,4182169,4107015,3845179,3966504,4168168,4334085,4403191,4306445,4166805,3734067,2846432,2949399,2787421,3129938,3678310,3473219,3452740,3437488,3633646,2437931,2288731,3141354,3031793,3879148,5244347,8071081,12450314,18428918,20217640,21723922,22833352,25117759,26776488,27083588,29763806,30224739,32376799,33633103,30140761,25649641,21741040,29838693,38956159,47543630,57579426,62301014,65745584,69778979,74429341,77868250,80576635,84785208
 "93000","Great Lakes",3,SAINC40,96,"...","  Imputed rent","Thousands of dollars",2117279,2325652,2521773,2642770,2794652,2866893,2873539,2922120,3014898,3105583,3013607,2789456,2898295,3066284,2997729,2811752,2824794,2611418,2233817,1321885,1299157,994943,957721,939186,326824,156944,-218270,-665896,-1412937,-1422378,-522312,-460915,-19638,692513,2537246,5875780,11338669,12091226,13975593,13986148,16189896,17985020,18395902,20571130,21606194,23885621,24887523,20751459,15792252,11323363,17764392,26731824,33349943,40247245,43957375,47135511,49538439,52503780,55031776,58060388,60857412
 "93000","Great Lakes",3,SAINC40,97,"...","  Monetary rent","Thousands of dollars",1157221,1091425,1053927,1074737,1082999,1144937,1115536,1186721,1154589,1076586,1093408,1055723,1068209,1101884,1336356,1591439,1481651,1555387,1500250,1524547,1650242,1792478,2172217,2739124,3146395,3295796,3655758,4299542,3850868,3711109,3663666,3492708,3898786,4551834,5533835,6574534,7090249,8126414,7748329,8847204,8927863,8791468,8687686,9192676,8618545,8491178,8745580,9389302,9857389,10417677,12074301,12224335,14193687,17332181,18343639,18610073,20240540,21925561,22836474,22516247,23927796
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
