GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "15000","Hawaii",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",175050,199289,259837,294278,325298,350086,386019,428331,455013,503698,539330,624333,758867,840347,923184,1054538,1193537,1294672,1370604,1494828,1726134,1958037,2297865,2679521,2735868,3125351,3495923,3711842,3880064,4020549,4350133,4980612,5273158,5471037,5840598,6157303,6448542,6727019,6704753,7101810,7317202,7399222,7848110,7738376,7554953,7558645,8304322,8990722,10316665,11341432,12184342,11704914,11645743,12415235,13078760,13044502,14034750,15031301,15833993,16401073,17494327
 "15000","Hawaii",8,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",31343,34572,48560,49487,49115,51622,59346,69402,71764,82283,75428,83238,86984,92400,101844,116474,132398,135154,151618,166616,194003,223600,249614,286462,253966,321346,351846,363727,402579,434177,508020,652384,714273,766615,783920,814872,910878,989386,1055156,1214764,1148707,1176218,1368468,1292621,1421872,1392910,1998012,2133664,2832762,3284123,3351381,2277282,2075820,2302703,2722659,2675186,3121695,3229868,3376993,3495443,3787292
 "15000","Hawaii",8,SAINC40,92,"..."," Personal interest income","Thousands of dollars",99565,113226,143203,165212,184860,204504,226946,251767,268383,297231,336892,413940,542525,607619,685687,798309,931581,1046973,1118001,1248101,1458629,1661297,1959734,2295946,2392865,2674697,3013106,3191962,3384060,3508405,3734048,4234944,4417711,4493621,4646212,4730153,4782396,4925319,4789706,4917133,5089599,5108848,5372162,5305903,4979748,4933764,4827105,5396254,6163853,6900662,7104749,7199947,6721901,6720843,6670610,6466154,6853638,7082195,7255335,7535274,8054846
 "15000","Hawaii",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",70322,81521,100723,117092,132330,148131,163216,176654,181120,197011,220806,265804,361681,400085,451092,514727,585246,674484,722299,797017,921712,976480,1121568,1221939,1379510,1583558,1685952,1852548,2016572,2173459,2300086,2503847,2674761,2827270,3013566,3154925,3239403,3365350,3290723,3470018,3439350,3517098,3625727,3540608,3647243,3727959,3828762,4001611,4307867,4618688,4900872,5047523,5020645,5131717,5141991,5105906,5335594,5547923,5485461,5490059,5656388
 "15000","Hawaii",8,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",29243,31705,42480,48120,52530,56373,63730,75113,87263,100220,116086,148136,180844,207534,234595,283582,346335,372489,395702,451084,536917,684817,838166,1074007,1013355,1091139,1327154,1339414,1367488,1334946,1433962,1731097,1742950,1666351,1632646,1575228,1542993,1559969,1498983,1447115,1650249,1591750,1746435,1765295,1332505,1205805,998343,1394643,1855986,2281974,2203877,2152424,1701256,1589126,1528619,1360248,1518044,1534272,1769874,2045215,2398458
 "15000","Hawaii",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",44142,51491,68074,79579,91323,93960,99727,107162,114866,124184,127010,127155,129358,140328,135653,139755,129558,112545,100985,80111,73502,73140,88517,97113,89037,129308,130971,156153,93425,77967,108065,93284,141174,210801,410466,612278,755268,812314,859891,969913,1078896,1114156,1107480,1139852,1153333,1231971,1479205,1460804,1320050,1156647,1728212,2227685,2848022,3391689,3685491,3903162,4059417,4719238,5201665,5370356,5652189
 "15000","Hawaii",8,SAINC40,96,"...","  Imputed rent","Thousands of dollars",26439,31360,42322,47717,53694,57921,60578,63881,68022,72080,71698,73567,70492,74946,72762,68555,69123,63738,54136,27882,25285,17709,18338,17664,993,-5022,-20612,-42911,-83564,-92323,-55729,-63156,-50328,-19689,77669,235826,344387,388782,477951,491709,596262,683245,703639,716700,732053,826894,1033138,976682,791248,562906,983833,1481211,1980881,2339177,2590269,2751289,2760969,3259683,3630883,3809710,3992594
 "15000","Hawaii",8,SAINC40,97,"...","  Monetary rent","Thousands of dollars",17703,20131,25752,31862,37629,36039,39149,43281,46844,52104,55312,53588,58866,65382,62891,71200,60435,48807,46849,52229,48217,55431,70179,79449,88044,134330,151583,199064,176989,170290,163794,156440,191502,230490,332797,376452,410881,423532,381940,478204,482634,430911,403841,423152,421280,405077,446067,484122,528802,593741,744379,746474,867141,1052512,1095222,1151873,1298448,1459555,1570782,1560646,1659595
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
