GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "19000","Iowa",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",761551,837156,871551,936864,976835,1044194,1117237,1188769,1258418,1246592,1448156,1618851,1817638,1984251,2184507,2525707,2877774,3224897,3504323,3982384,4429855,5019578,6068308,7420386,8497224,8773025,9530448,9641912,9710576,9540628,9770562,10630674,10983010,11008211,11070315,11242985,11681766,12831876,13775997,14763024,15714423,15341201,16295407,16463150,15951758,15821182,16263442,16568112,18118415,20096021,21121115,19604374,19517317,22043343,24479964,23635701,25514580,27086852,28129038,29743499,32163083
 "19000","Iowa",4,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",85322,101311,111885,120849,123955,130647,137019,154881,154518,160059,175488,190722,197148,208303,227640,267334,311716,330084,394008,457685,520767,591616,652340,744849,787482,836175,872379,900591,992562,1073307,1209344,1513769,1615216,1759925,1866046,2040559,2341477,2546077,2979828,3500113,3606192,3448511,3598775,3623581,3951665,3924625,5094581,4938345,6076495,7212920,7236800,5276779,5281914,6532418,7959899,7431672,8503754,9105222,9420873,10168328,11008969
 "19000","Iowa",4,SAINC40,92,"..."," Personal interest income","Thousands of dollars",331329,374763,407506,432247,456445,486314,542806,598673,640375,658079,824379,1028550,1214407,1351283,1475608,1714670,2046112,2416331,2669931,3132772,3489980,4016045,4940640,6108377,7125598,7551947,8251900,8341734,8459905,8222761,8269392,8823517,9026280,8809885,8585460,8340418,8289458,9056597,9334105,9828099,10559579,10243425,11002100,10940856,10130299,9890581,9058583,9627507,10254195,11258445,11712135,11528077,10776697,11133923,11540762,10899827,11368802,12006614,12412106,13183110,14411673
 "19000","Iowa",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",134311,150800,166224,182245,195854,205621,223512,238684,257573,277709,309971,374708,464649,534619,590582,661328,777360,998405,1085339,1237200,1376510,1431308,1719845,1960086,2346621,2884836,3011311,3357669,3551963,3729814,3822593,3964987,4073156,4222923,4380068,4535311,4590027,4962560,5059910,5484249,5559162,5652141,5870073,5767270,5809808,5945688,5946663,6026953,6146001,6390550,6904615,7244224,7151779,7381464,7521710,7424759,7742810,8171598,8244438,8393912,8787377
 "19000","Iowa",4,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",197018,223963,241282,250002,260591,280693,319294,359989,382802,380370,514408,653842,749758,816664,885026,1053342,1268752,1417926,1584592,1895572,2113470,2584737,3220795,4148291,4778977,4667111,5240589,4984065,4907942,4492947,4446799,4858530,4953124,4586962,4205392,3805107,3699431,4094037,4274195,4343850,5000417,4591284,5132027,5173586,4320491,3944893,3111920,3600554,4108194,4867895,4807520,4283853,3624918,3752459,4019052,3475068,3625992,3835016,4167668,4789198,5624296
 "19000","Iowa",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",344900,361082,352160,383768,396435,427233,437412,435215,463525,428454,448289,399579,406083,424665,481259,543703,519946,478482,440384,391927,419108,411917,475328,567160,584144,384903,406169,399587,258109,244560,291826,293388,341514,438401,618809,862008,1050831,1229202,1462064,1434812,1548652,1649265,1694532,1898713,1869794,2005976,2110278,2002260,1787725,1624656,2172180,2799518,3458706,4377002,4979303,5304202,5642024,5975016,6296059,6392061,6742441
 "19000","Iowa",4,SAINC40,96,"...","  Imputed rent","Thousands of dollars",124978,135748,145705,152330,160409,164475,164958,168215,174202,179821,175455,218113,224246,233901,234673,221258,225465,212761,191909,144300,142519,119335,118518,112291,61177,38115,10423,-19535,-58495,-52115,-26,14817,46186,87098,171018,328673,457839,514968,632427,648751,774342,880196,951236,1107992,1129437,1271190,1349596,1192895,954583,737268,1003032,1588083,2031500,2592671,3015301,3237982,3349019,3518340,3728194,3956585,4152044
 "19000","Iowa",4,SAINC40,97,"...","  Monetary rent","Thousands of dollars",219922,225334,206455,231438,236026,262758,272454,267000,289323,248633,272834,181466,181837,190764,246586,322445,294481,265721,248475,247627,276589,292582,356810,454869,522967,346788,395746,419122,316604,296675,291852,278571,295328,351303,447791,533335,592992,714234,829637,786061,774310,769069,743296,790721,740357,734786,760682,809365,833142,887388,1169148,1211435,1427206,1784331,1964002,2066220,2293005,2456676,2567865,2435476,2590397
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
