GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "16000","Idaho",7,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",175677,187542,195151,206335,220960,233922,244557,259852,271258,282872,305268,369081,430790,492691,541147,634475,739854,873746,939735,1073944,1224972,1375893,1627264,1951370,2281573,2468846,2692424,2942674,2961979,2931474,3071878,3410879,3580294,3698314,3916521,4275849,4677504,5220561,5589800,5925984,6342943,6321336,6665589,6789304,6668630,7192282,7798290,8590394,9849669,10589136,10724276,9467509,9501822,10697639,12274379,12144654,13245542,14583848,15328393,16618935,18023521
 "16000","Idaho",7,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",19516,22769,24915,29466,30547,32529,32017,42805,46812,55007,37465,39237,40598,42960,47112,58083,70337,76856,91590,106754,125301,144931,163858,191637,212546,213633,238780,269953,288507,321305,389181,500117,560123,625105,683561,776813,939298,1062231,1225735,1369700,1513076,1481102,1591114,1526462,1658975,2030085,2707734,2958628,3693938,3992739,3701590,2440052,2582548,3297736,4256911,4117658,4728914,5407766,5613007,6006936,6533367
 "16000","Idaho",7,SAINC40,92,"..."," Personal interest income","Thousands of dollars",101883,102963,107533,114133,125701,134267,146050,151031,159150,163369,204298,250845,309469,349128,390235,455724,555914,689490,748117,880755,1008163,1143174,1352020,1617617,1912874,2139373,2330805,2546966,2575420,2517843,2570472,2794072,2877041,2883636,2979235,3097840,3272111,3623885,3740021,3919046,4127096,4081091,4270160,4359498,4063531,4158223,4083435,4624040,5191696,5710824,5851262,5502880,5125467,5291211,5688853,5438080,5787715,6185267,6551130,7139395,7828027
 "16000","Idaho",7,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",51296,56471,59646,62841,67100,71947,78788,81663,84138,90227,100797,125911,163739,188307,214076,240617,292084,396190,412771,472094,536082,551118,617005,670183,846526,1110112,1124552,1341015,1384220,1402565,1438608,1503036,1550777,1644337,1795700,1937524,2064578,2277419,2329722,2480053,2479856,2511370,2582799,2538891,2575916,2705924,2827026,3028587,3262654,3452604,3654620,3686616,3610382,3691220,3814343,3839339,4064700,4335930,4488527,4770508,5045685
 "16000","Idaho",7,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",50587,46492,47887,51292,58601,62320,67262,69368,75012,73142,103501,124934,145730,160821,176159,215107,263830,293300,335346,408661,472081,592056,735015,947434,1066348,1029261,1206253,1205951,1191200,1115278,1131864,1291036,1326264,1239299,1183535,1160316,1207533,1346466,1410299,1438993,1647240,1569721,1687361,1820607,1487615,1452299,1256409,1595453,1929042,2258220,2196642,1816264,1515085,1599991,1874510,1598741,1723015,1849337,2062603,2368887,2782342
 "16000","Idaho",7,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",54278,61810,62703,62736,64712,67126,66490,66016,65296,64496,63505,78999,80723,100603,103800,120668,113603,107400,100028,86435,91508,87788,111386,142116,156153,115840,122839,125755,98052,92326,112225,116690,143130,189573,253725,401196,466095,534445,624044,637238,702771,759143,804315,903344,946124,1003974,1007121,1007726,964035,885573,1171424,1524577,1793807,2108692,2328615,2588916,2728913,2990815,3164256,3472604,3662127
 "16000","Idaho",7,SAINC40,96,"...","  Imputed rent","Thousands of dollars",29069,31953,34633,36040,37667,38509,38493,39138,40402,41900,40377,57847,62615,67111,69001,65988,67800,65185,57915,41970,47028,40538,39076,40657,25536,23189,14958,6896,-4927,-1986,18520,27241,44113,69918,112955,185392,245941,273643,329878,343099,407513,463934,511732,603505,660352,719109,711245,719857,631103,506314,695730,1030552,1230761,1427428,1608402,1833391,1888423,2052692,2164308,2437523,2561329
 "16000","Idaho",7,SAINC40,97,"...","  Monetary rent","Thousands of dollars",25209,29857,28070,26696,27045,28617,27997,26878,24894,22596,23128,21152,18108,33492,34799,54680,45803,42215,42113,44465,44480,47250,72310,101459,130617,92651,107881,118859,102979,94312,93705,89449,99017,119655,140770,215804,220154,260802,294166,294139,295258,295209,292583,299839,285772,284865,295876,287869,332932,379259,475694,494025,563046,681264,720213,755525,840490,938123,999948,1035081,1100798
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
