GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "17000","Illinois",3,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",3106911,3366005,3666323,3933118,4329469,4689861,5135571,5631442,5979028,6319922,6649036,6918059,7576130,8067948,8710550,9833359,11191531,12124652,12936248,14255896,15841045,17821572,21504040,26399406,31156371,32754819,36872012,37884183,39145759,39851191,42739128,46546811,48552294,49028924,50624076,51959076,55271757,61101055,65756207,70182482,75592238,74703145,81832326,80789399,76792077,76603644,79641920,85034176,97156575,105421838,108605763,94120235,92446911,102840434,113033801,110498422,124034687,131351169,132592854,138346859,150390978
 "17000","Illinois",3,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",735252,797103,867382,921418,1000348,1064884,1202696,1344497,1382450,1407358,1522447,1502688,1489316,1517042,1607085,1803829,2015497,1958041,2293167,2607454,2926176,3277123,3588983,4080738,4323985,4657770,5004574,5258018,5717564,6068232,7133393,8893904,9512283,10041029,10415363,11144506,12740407,14192815,16845434,18628488,19685977,19052730,20874132,19459882,20732806,21439721,27367260,27320280,34310613,38427729,38194248,26149608,25668091,32091716,38950538,37501064,45042800,47340621,48361991,50147572,54395654
 "17000","Illinois",3,SAINC40,92,"..."," Personal interest income","Thousands of dollars",1323027,1477965,1672445,1814015,2075683,2317275,2647689,2940093,3260655,3562212,3815646,4169549,4810210,5247929,5705286,6547472,7732211,8773114,9397757,10652478,11903283,13566771,16832535,21040502,25576426,26876664,30589622,31357486,32623227,33063978,34625777,36739908,37848124,37381121,37609184,36855798,37597219,41223479,42710795,44758520,48345467,47476176,52506752,52202482,46550423,44950368,41513488,47530486,53730525,59215542,60003793,54488928,50568826,51647874,53858445,51671689,56196666,59894613,59197919,62614386,69061466
 "17000","Illinois",3,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",578496,652142,723054,796570,879379,944921,1054150,1147465,1268761,1400933,1542546,1792116,2136374,2368184,2611431,2912013,3383760,4210023,4450211,4910879,5482396,5720259,6772115,7866214,9390458,11304238,12157564,13393693,14590952,15659680,16350115,17168559,17937346,18570745,19406723,20317396,20856048,22704842,23341426,25468783,25834095,26572980,28391040,27672804,27322694,27240279,27396476,28247116,29746801,31536308,33663077,33560374,32769439,33225459,33798789,33478092,35180459,37658223,36725732,36615445,38581153
 "17000","Illinois",3,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",744531,825823,949391,1017445,1196304,1372354,1593539,1792628,1991894,2161279,2273100,2377433,2673836,2879745,3093855,3635459,4348451,4563091,4947546,5741599,6420887,7846512,10060420,13174288,16185968,15572426,18432058,17963793,18032275,17404298,18275662,19571349,19910778,18810376,18202461,16538402,16741171,18518637,19369369,19289737,22511372,20903196,24115712,24529678,19227729,17710089,14117012,19283370,23983724,27679234,26340716,20928554,17799387,18422415,20059656,18193597,21016207,22236390,22472187,25998941,30480313
 "17000","Illinois",3,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",1048632,1090937,1126496,1197685,1253438,1307702,1285186,1346852,1335923,1350352,1310943,1245822,1276604,1302977,1398179,1482058,1443823,1393497,1245324,995964,1011586,977678,1082522,1278166,1255960,1220385,1277816,1268679,804968,718981,979958,912999,1191887,1606774,2599529,3958772,4934131,5684761,6199978,6795474,7560794,8174239,8451442,9127035,9508848,10213555,10761172,10183410,9115437,7778567,10407722,13481699,16209994,19100844,20224818,21325669,22795221,24115935,25032944,25584901,26933858
 "17000","Illinois",3,SAINC40,96,"...","  Imputed rent","Thousands of dollars",589354,648844,705099,738378,780708,800120,801119,813508,838107,862756,835440,787057,811407,854691,833515,775867,780077,721667,618962,362828,348013,253856,240132,232990,62623,11085,-105351,-254514,-510401,-535752,-262454,-272801,-155777,58137,667812,1729960,2515834,2865898,3547029,3680482,4472685,5143207,5358585,5919815,6371104,7146440,7557867,6489655,5021184,3639798,5923165,8895086,11004028,12935821,13883817,14776506,15637029,16335542,16977676,17783659,18637879
 "17000","Illinois",3,SAINC40,97,"...","  Monetary rent","Thousands of dollars",459278,442093,421397,459307,472730,507582,484067,533344,497816,487596,475503,458765,465197,448286,564664,706191,663746,671830,626362,633136,663573,723822,842390,1045176,1193337,1209300,1383167,1523193,1315369,1254733,1242412,1185800,1347664,1548637,1931717,2228812,2418297,2818863,2652949,3114992,3088109,3031032,3092857,3207220,3137744,3067115,3203305,3693755,4094253,4138769,4484557,4586613,5205966,6165023,6341001,6549163,7158192,7780393,8055268,7801242,8295979
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
