GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "18000","Indiana",3,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1010537,1100145,1221528,1290636,1399978,1512416,1628451,1748039,1868511,1988731,2132451,2452900,2743554,3019906,3251453,3703950,4259661,4767142,5148498,5775448,6392139,7145839,8680380,10637511,11862578,12501287,13744048,14517371,15088121,15357461,16513179,18622900,19641902,19423422,19904583,20727255,22178150,24184248,25667127,27178018,29752929,29272314,31489968,31193195,30050055,29872332,30306233,30773382,33854770,36102088,37387454,33805840,33246033,36769601,39885929,39251474,42183521,44978108,46012816,48720427,52668856
 "18000","Indiana",3,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",174293,193785,216607,229212,250112,272397,308722,338328,353032,362429,380211,399076,412865,437911,481777,561684,645764,648170,784875,919430,1028538,1150696,1203238,1322119,1327652,1441473,1522269,1725790,1910794,2114601,2603217,3189359,3573151,3762123,4078230,4480825,5349475,5866094,6780592,7402211,8317912,7997235,8452365,7770571,8395780,8695950,10421728,10292040,12260252,13472049,13498430,9872158,9770517,11652722,13894042,13689703,15544406,16645138,17077441,17747997,19199986
 "18000","Indiana",3,SAINC40,92,"..."," Personal interest income","Thousands of dollars",461546,526559,601265,640080,707065,778798,872038,950904,1062701,1192752,1318175,1602092,1867916,2069753,2258093,2586472,3061901,3560786,3854400,4457871,4944008,5606174,7045902,8810113,10069946,10660695,11818440,12369409,12899309,12976671,13530035,15046791,15551003,15010581,14841684,14760310,15021817,16257170,16609414,17329807,18639954,18245189,19906046,19928432,18146836,17585700,16119742,17155957,18807543,20258103,20549464,19502482,17994864,18345014,18597479,17647187,18325796,19362572,19700172,21176485,23155934
 "18000","Indiana",3,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",208637,239049,271253,297290,325224,348774,385213,416402,460638,510160,574141,689980,834517,952475,1054185,1168993,1365759,1727609,1827159,2059754,2291040,2384885,2840376,3264493,3949214,4860406,5112975,5784366,6235137,6635302,6939251,7375827,7745295,8063497,8401865,8708020,8930151,9630767,9777491,10432533,10618018,10858192,11426799,11190627,11180903,11196544,11171791,11279139,11451885,11797462,12694727,12867279,12535683,12731233,12763078,12530401,12991456,13750938,13771450,14325514,15121661
 "18000","Indiana",3,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",252909,287510,330012,342790,381841,430024,486825,534502,602063,682592,744034,912112,1033399,1117278,1203908,1417479,1696142,1833177,2027241,2398117,2652968,3221289,4205526,5545620,6120732,5800289,6705465,6585043,6664172,6341369,6590784,7670964,7805708,6947084,6439819,6052290,6091666,6626403,6831923,6897274,8021936,7386997,8479247,8737805,6965933,6389156,4947951,5876818,7355658,8460641,7854737,6635203,5459181,5613781,5834401,5116786,5334340,5611634,5928722,6850971,8034273
 "18000","Indiana",3,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",374698,379801,403656,421344,442801,461221,447691,458807,452778,433550,434065,451732,462773,512242,511583,555794,551996,558186,509223,398147,419593,388969,431240,505279,464980,399119,403339,422172,278018,266189,379927,386750,517748,650718,984669,1486120,1806858,2060984,2277121,2446000,2795063,3029890,3131557,3494192,3507439,3590682,3764763,3325385,2786975,2371936,3339560,4431200,5480652,6771865,7394408,7914584,8313319,8970398,9235203,9795945,10312936
 "18000","Indiana",3,SAINC40,96,"...","  Imputed rent","Thousands of dollars",233385,255785,276684,289338,304914,312530,313096,318494,328783,338330,328931,356844,367798,394361,389421,366276,365135,341877,299227,196627,198794,152862,145185,145462,64123,43849,630,-47407,-124380,-117605,-9991,11273,75489,166189,365473,730309,1022858,1153830,1421871,1480126,1787172,2051713,2181910,2491055,2580666,2725179,2851751,2349028,1791080,1321599,2035494,3127145,3969744,4929327,5488886,5934773,6157341,6625751,6780127,7395411,7759863
 "18000","Indiana",3,SAINC40,97,"...","  Monetary rent","Thousands of dollars",141313,124016,126972,132006,137887,148691,134595,140313,123995,95220,105134,94888,94975,117881,122162,189518,186861,216309,209996,201520,220799,236107,286055,359817,400857,355270,402709,469579,402398,383794,389918,375477,442259,484529,619196,755811,784000,907154,855250,965874,1007891,978177,949647,1003137,926773,865503,913012,976357,995895,1050337,1304066,1304055,1510908,1842538,1905522,1979811,2155978,2344647,2455076,2400534,2553073
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
