GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "20000","Kansas",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",693499,733374,773227,799275,830556,851967,899755,956687,978976,992207,1055401,1236767,1396012,1527334,1678302,1896518,2218509,2493644,2672798,2976874,3345048,3793561,4666009,5801866,6864656,7130813,7862093,8342242,8539714,8611921,9184393,9736024,10118749,10416577,10602915,10959096,11557656,12314131,13079906,13950249,15021414,14788865,15890434,15680557,14981057,14952985,15319328,16495791,19430879,21557035,23683798,20494646,19720689,22415910,24941825,23845964,26546833,26666603,26836176,27906228,30205349
 "20000","Kansas",4,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",73115,86132,91358,95601,104026,120534,138029,151981,150849,152777,160519,183252,189102,199879,219177,253461,290771,319639,374986,427013,486234,553007,616102,708658,777242,766066,777462,843734,921985,1005162,1251593,1380345,1501934,1693597,1763123,1957019,2245417,2430594,2891644,3333737,3505759,3393792,3684567,3490314,3718923,3930323,4928817,5318800,7100978,8077777,8993086,6118780,5664453,7064048,8667454,8096801,9714682,9580935,9650643,9966049,10814777
 "20000","Kansas",4,SAINC40,92,"..."," Personal interest income","Thousands of dollars",295193,325856,347263,364945,387148,411499,465849,512190,548881,582610,652563,793378,950888,1054144,1152980,1327272,1572004,1827364,1984264,2282233,2569314,2948797,3700724,4625046,5562149,5953574,6674667,7068056,7357662,7378159,7670299,8097286,8297227,8313601,8319827,8261696,8397376,8932143,9094623,9480437,10259737,10048376,10791663,10606627,9666772,9347386,8641707,9522388,10911783,12195661,12883471,12221055,11314448,11807998,12282980,11648499,12393235,12620022,12592171,13196921,14386674
 "20000","Kansas",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",149319,165428,181188,198220,209520,214844,236869,246756,258979,278386,310572,380627,476547,535667,589229,651409,753041,923632,992069,1115289,1256040,1333618,1577471,1809761,2161667,2623551,2798260,3147265,3412032,3626856,3774138,3952031,4085916,4239422,4495367,4710585,4832188,5185833,5222058,5568777,5666752,5808139,6096064,5952793,5939985,5981945,6031851,6197224,6598994,7082905,7723182,7947258,7871109,7995948,8120066,8064466,8421828,8780340,8735903,8735359,9156113
 "20000","Kansas",4,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",145874,160428,166075,166725,177628,196655,228980,265434,289902,304224,341991,412751,474341,518477,563751,675863,818963,903732,992195,1166944,1313274,1615179,2123253,2815285,3400482,3330023,3876407,3920791,3945630,3751303,3896161,4145255,4211311,4074179,3824460,3551111,3565188,3746310,3872565,3911660,4592985,4240237,4695599,4653834,3726787,3365441,2609856,3325164,4312789,5112756,5160289,4273797,3443339,3812050,4162914,3584033,3971407,3839682,3856268,4461562,5230561
 "20000","Kansas",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",325191,321386,334606,338729,339382,319934,295877,292516,279246,256820,242319,260137,256022,273311,306145,315785,355734,346641,313548,267628,289500,291757,349183,468162,525265,411173,409964,430452,260067,228600,262501,258393,319588,409379,519965,740381,914863,951394,1093639,1136075,1255918,1346697,1414204,1583616,1595362,1675276,1748804,1654603,1418118,1283597,1807241,2154811,2741788,3543864,3991391,4100664,4438916,4465646,4593362,4743258,5003898
 "20000","Kansas",4,SAINC40,96,"...","  Imputed rent","Thousands of dollars",101595,111458,120641,124389,129466,131162,130025,130998,134058,137060,132029,154654,158480,167845,168341,160775,165419,156540,136858,90644,92036,79292,79269,77709,40536,28966,7302,-17487,-54619,-51452,-2624,8312,38201,79995,167649,317957,434845,483095,586007,598789,712028,809029,868570,1011247,1065250,1143217,1190629,1002055,784070,589473,894746,1351703,1750296,2230401,2506595,2671506,2824448,2984949,3158525,3261214,3427957
 "20000","Kansas",4,SAINC40,97,"...","  Monetary rent","Thousands of dollars",223596,209928,213965,214340,209916,188772,165852,161518,145188,119760,110290,105483,97542,105466,137804,155010,190315,190101,176690,176984,197464,212465,269914,390453,484729,382207,402662,447939,314686,280052,265125,250081,281387,329384,352316,422424,480018,468299,507632,537286,543890,537668,545634,572369,530112,532059,558175,652548,634048,694124,912495,803108,991492,1313463,1484796,1429158,1614468,1480697,1434837,1482044,1575941
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
