GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "22000","Louisiana",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",685399,736064,774637,804125,867195,927588,968146,1039431,1103185,1179015,1242917,1420831,1612407,1771934,1931049,2155832,2580452,2908634,3126417,3477420,4025685,4581691,5720503,7172877,8373930,9212978,10133004,10987788,10952485,10717253,11162298,12125168,12630167,12680257,12953458,13389033,14097389,15443279,16283125,17264699,18371998,18066064,19362045,19162685,18602425,18820822,19185006,20867167,24542549,32214029,31860979,27769155,27262053,29941090,33686665,32176930,34375726,35009970,35849580,36741186,39694338
 "22000","Louisiana",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",99404,103592,108468,107690,115747,127276,146343,177852,183668,196759,196795,206020,214155,227779,250784,293886,342660,369581,432617,494727,578778,669386,745579,862448,986537,1007061,1019959,1154037,1211542,1249034,1500588,1810115,1971850,2119850,2323897,2584797,3058567,3458726,4074373,4428181,4619334,4365805,4716720,4446834,4788895,4946871,6216341,7265355,9576874,10863194,11527042,9165737,8058445,9738787,12083857,11434451,12631279,12786619,13265465,13069359,14167479
 "22000","Louisiana",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",300150,320725,339307,359361,405264,437230,476945,523956,581622,643519,722863,876686,1060039,1187366,1321371,1523350,1818452,2148535,2329831,2686353,3104644,3574061,4557943,5722237,6748132,7448743,8412918,9101225,9283702,9067380,9220169,9888779,10114581,9915483,9702205,9594805,9717958,10477354,10446891,11087821,11851578,11648811,12489752,12405120,11506189,11377673,10378945,11310875,12870402,14037465,15221343,14434751,14255315,14546690,15671675,14403415,15071312,15365412,15691936,16343759,17765869
 "22000","Louisiana",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",166744,180527,190112,207281,235392,246048,264967,286454,315726,357430,394196,473851,593914,671705,754851,843525,991587,1252622,1332061,1507299,1734826,1856128,2245215,2625422,3221144,3950224,4166048,4692695,4929443,5091219,5164050,5332451,5525543,5771959,5971467,6116295,6273297,6776569,6760871,7237254,7308905,7429207,7659985,7520078,7663018,7902007,7859899,8049637,8368883,9074256,10016016,10513558,10617003,10794088,10960144,10666180,11029434,11384199,11226564,11193301,11723009
 "22000","Louisiana",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",133406,140198,149195,152080,169872,191182,211978,237502,265896,286089,328667,402835,466125,515661,566520,679825,826865,895913,997770,1179054,1369818,1717933,2312728,3096815,3526988,3498519,4246870,4408530,4354259,3976161,4056119,4556328,4589038,4143524,3730738,3478510,3444661,3700785,3686020,3850567,4542673,4219604,4829767,4885042,3843171,3475666,2519046,3261238,4501519,4963209,5205327,3921193,3638312,3752602,4711531,3737235,4041878,3981213,4465372,5150458,6042860
 "22000","Louisiana",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",285845,311747,326862,337074,346184,363082,344858,337623,337895,338737,323259,338125,338213,356789,358894,338596,419340,390518,363969,296340,342263,338244,416981,588192,639261,757174,700127,732526,457241,400839,441541,426274,543736,644924,927356,1209431,1320864,1507199,1761861,1748697,1901086,2051448,2155573,2310731,2307341,2496278,2589720,2290937,2095273,7313370,5112594,4168667,4948293,5655613,5931133,6339064,6673135,6857939,6892179,7328068,7760990
 "22000","Louisiana",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",136793,152013,166529,175770,186962,192923,194455,198856,206281,213723,208196,215577,232324,245027,242158,228209,231829,214936,184205,109342,117677,100029,99142,106084,50708,43402,14280,-12669,-58379,-48713,32538,55881,113739,193454,328717,536726,693662,749740,897832,928010,1099241,1250538,1339445,1438682,1521546,1699696,1734144,1464078,1127887,6254757,3614599,2792240,3236752,3630177,3833416,4191334,4247450,4694084,4816301,4971653,5214156
 "22000","Louisiana",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",149052,159734,160333,161304,159222,170159,150403,138767,131614,125014,115063,122548,105889,111762,116736,110387,187511,175582,179764,186998,224586,238215,317839,482108,588553,713772,685847,745195,515620,449552,409003,370393,429997,451470,598639,672705,627202,757459,864029,820687,801845,800910,816128,872049,785795,796582,855576,826859,967386,1058613,1497995,1376427,1711541,2025436,2097717,2147730,2425685,2163855,2075878,2356415,2546834
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
