GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "25000","Massachusetts",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1699471,1829316,1936894,2034528,2237175,2447670,2741701,2986884,3198474,3465260,3656651,3822864,4087607,4329136,4593286,5018158,5564091,5771884,6175908,6810957,7446560,8329466,10118503,12412958,14972026,15767520,18413323,19428612,20841006,22075927,24720456,26816480,27778538,27741056,28189859,29477239,30839089,33298487,35587229,38012552,40969460,41274250,46018046,47426846,45154542,46194251,47351611,51327119,59874252,63828724,65471514,58067614,57955664,65163193,72588996,71973396,80641444,87074220,90701658,96038610,104550500
 "25000","Massachusetts",1,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",580826,631798,639469,641390,676044,721853,810828,879884,912487,972700,908681,948055,939272,955762,1013792,1110141,1212699,1139374,1320725,1484963,1646270,1833465,2049781,2359049,2704673,2745842,3040815,3117420,3318405,3473510,3946561,4702047,4774793,5047442,5250732,5777062,6487030,7239475,8526665,9821468,10203594,10149601,11439940,11330444,11867526,12485609,15221895,15504532,20446766,21882392,21900662,15323744,15523234,19109444,23356162,22651617,27881649,30127393,31508744,33567707,36467674
 "25000","Massachusetts",1,SAINC40,92,"..."," Personal interest income","Thousands of dollars",813497,869723,939520,1004093,1138186,1283723,1449685,1578319,1704226,1852753,2076306,2224364,2548009,2773901,3002993,3355452,3819117,4155356,4420104,4992765,5483154,6211063,7696694,9591114,11793973,12555889,14902578,15802066,17141384,18228560,20160832,21589755,22374070,21827596,21249561,21016988,20967750,22246890,22625038,23703237,25795125,25711049,29140274,29922912,26823585,26539256,24631430,29181698,33930856,37354215,36977488,33925965,31631180,32513313,34626388,33807154,35755224,38772108,39748710,41919848,46463787
 "25000","Massachusetts",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",379355,414479,443273,480857,518029,557499,615114,657943,696399,759982,844562,965361,1144304,1276978,1408265,1562952,1747616,2061601,2172175,2403447,2655527,2812904,3364870,3896460,4624343,5597835,6216288,7030467,7954141,8848459,9625374,10336835,10754146,10883210,11188919,11627648,11808194,12662299,12775345,13736301,13931554,14464688,15737640,15786972,15640656,15771737,16016735,16754084,17922595,19238558,20590153,20135190,19716879,20327010,20793792,20954277,22463652,24571651,23808058,23448928,24817501
 "25000","Massachusetts",1,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",434142,455244,496247,523236,620157,726224,834571,920376,1007827,1092771,1231744,1259003,1403705,1496923,1594728,1792500,2071501,2093755,2247929,2589318,2827627,3398159,4331824,5694654,7169630,6958054,8686290,8771599,9187243,9380101,10535458,11252920,11619924,10944386,10060642,9389340,9159556,9584591,9849693,9966936,11863571,11246361,13402634,14135940,11182929,10767519,8614695,12427614,16008261,18115657,16387335,13790775,11914301,12186303,13832596,12852877,13291572,14200457,15940652,18470920,21646286
 "25000","Massachusetts",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",305148,327795,357905,389045,422945,442094,481188,528681,581761,639807,671664,650445,600326,599473,576501,552565,532275,477154,435079,333229,317136,284938,372028,462795,473380,465789,469930,509126,381217,373857,613063,524678,629675,866018,1689566,2683189,3384309,3812122,4435526,4487847,4970741,5413600,5437832,6173490,6463431,7169386,7498286,6640889,5496630,4592117,6593364,8817905,10801250,13540436,14606446,15514625,17004571,18174719,19444204,20551055,21619039
 "25000","Massachusetts",1,SAINC40,96,"...","  Imputed rent","Thousands of dollars",263699,288938,312779,333229,357766,371420,376175,385947,401290,416056,406620,365146,338878,356485,342045,319328,320982,295631,248207,126328,115097,79765,80723,82254,4113,-26013,-104640,-221831,-441176,-496935,-301297,-348409,-280219,-104365,430442,1273407,1832867,2050291,2504257,2565394,3095971,3533429,3626490,4115911,4449983,5228738,5508528,4576541,3388336,2330626,3859069,5969065,7526146,9560835,10496932,11252892,12278420,12948832,13767852,14862162,15569431
 "25000","Massachusetts",1,SAINC40,97,"...","  Monetary rent","Thousands of dollars",41449,38857,45126,55816,65179,70674,105013,142734,180471,223751,265044,285299,261448,242988,234456,233237,211293,181523,186872,206901,202039,205173,291305,380541,469267,491802,574570,730957,822393,870792,914360,873087,909894,970383,1259124,1409782,1551442,1761831,1931269,1922453,1874770,1880171,1811342,2057579,2013448,1940648,1989758,2064348,2108294,2261491,2734295,2848840,3275104,3979601,4109514,4261733,4726151,5225887,5676352,5688893,6049608
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
