GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "92000","Mideast",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",12559497,13521819,14532883,15315606,16864161,18386025,20142138,21853740,23175796,24678610,26718063,28328129,30856637,33001505,35187623,38688952,43426322,46399962,49379543,54357932,59882077,66982003,80370510,97890449,112109411,118668301,135758921,143755965,150152338,154624391,169705030,194008855,202181695,203031408,203621310,207452350,216472944,233909100,247571438,263307535,278738494,278524358,302677828,300712286,286261325,291624805,305733237,331765334,377155665,420579935,431935749,384872771,380416096,422309499,466475105,460639854,502963184,533860752,550798375,584409270,636825821
 "92000","Mideast",2,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",4038442,4324537,4533062,4612117,4954023,5355083,5926865,6508124,6500552,6658064,7389264,7457914,7215155,7172272,7433430,8008578,8636816,8271503,9642682,10897430,11974766,13226858,14760670,16989275,18315063,18727629,20527971,21545521,23144313,23772205,26766091,32562605,34238625,35720129,36827661,38951233,43502368,46950943,54738230,61352548,62528064,60502529,68331149,65178713,69658436,73367478,94829734,94966125,120707010,139735119,137829144,92484647,90065882,110867108,133415882,127787299,153480453,162884323,168859735,177715110,193219593
 "92000","Mideast",2,SAINC40,92,"..."," Personal interest income","Thousands of dollars",5930242,6422609,7028664,7573276,8616135,9572121,10697451,11722209,12930310,14111182,15472159,17341335,20105344,22140752,24019843,26987719,31231672,34810255,36795129,41292909,45818712,51859846,63434446,78349673,91505937,97299966,112504806,119342884,125287313,129329462,140195147,159000815,164454910,162155122,157447302,153580887,154665722,166871648,169640554,178460561,189539226,189361220,205423654,203643868,182919491,180329638,169860511,199309304,224315326,253226443,252480416,234694385,221496969,227588337,242198101,235847982,246537452,261983594,268095665,289689901,320516415
 "92000","Mideast",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",2728363,3035674,3292617,3558790,3887351,4183950,4620451,4977150,5429501,5976146,6659424,7737769,9363125,10634997,11716762,12959898,14827933,17940349,18615412,20316404,22514027,23507306,27588618,31590308,37630727,45545157,48958293,55088539,60598427,65641125,69588220,75297798,79577884,82649929,85606835,88576788,90140495,96324840,97429803,104838375,105594419,108678892,115023962,113217238,112566019,113878740,115262469,120496387,128141831,137450064,146955500,147769397,145115857,147827335,150276016,150169867,157733510,167932924,166330996,172150557,182659281
 "92000","Mideast",2,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",3201879,3386935,3736047,4014486,4728784,5388171,6077000,6745059,7500809,8135036,8812735,9603566,10742219,11505755,12303081,14027821,16403739,16869906,18179717,20976505,23304685,28352540,35845828,46759365,53875210,51754809,63546513,64254345,64688886,63688337,70606927,83703017,84877026,79505193,71840467,65004099,64525227,70546808,72210751,73622186,83944807,80682328,90399692,90426630,70353472,66450898,54598042,78812917,96173495,115776379,105524916,86924988,76381112,79761002,91922085,85678115,88803942,94050670,101764669,117539344,137857134
 "92000","Mideast",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",2590813,2774673,2971157,3130213,3294003,3458821,3517822,3623407,3744934,3909364,3856640,3528880,3536138,3688481,3734350,3692655,3557834,3318204,2941732,2167593,2088599,1895299,2175394,2551501,2288411,2640706,2726144,2867560,1720712,1522724,2743792,2445435,3488160,5156157,9346347,14920230,18304854,20086509,23192654,23494426,26671204,28660609,28923025,31889705,33683398,37927689,41042992,37489905,32133329,27618373,41626189,57693739,68853245,83854054,90861122,97004573,102945279,108992835,113842975,117004259,123089813
 "92000","Mideast",2,SAINC40,96,"...","  Imputed rent","Thousands of dollars",2029708,2224433,2408219,2537805,2698294,2779180,2795559,2851509,2950005,3047842,2963366,2593226,2526801,2658596,2570148,2404140,2422568,2231567,1876707,1000321,950455,698602,690804,700887,142904,-31236,-502234,-1147714,-2328503,-2557982,-1396741,-1560622,-1093231,-83032,2758491,7170440,10105161,11207487,13605375,13913259,16718930,19044909,19630264,21943323,24077844,27870843,30926942,26978652,21156670,15043127,25826266,40284382,50300466,61901914,68101785,73423576,76428081,80310670,83676343,86465315,90619591
 "92000","Mideast",2,SAINC40,97,"...","  Monetary rent","Thousands of dollars",561105,550240,562938,592408,595709,679641,722263,771898,794929,861522,893274,935654,1009337,1029885,1164202,1288515,1135266,1086637,1065025,1167272,1138144,1196697,1484590,1850614,2145507,2671942,3228378,4015274,4049215,4080706,4140533,4006057,4581391,5239189,6587856,7749790,8199693,8879022,9587279,9581167,9952274,9615700,9292761,9946382,9605554,10056846,10116050,10511253,10976659,12575246,15799923,17409357,18552779,21952140,22759337,23580997,26517198,28682165,30166632,30538944,32470222
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
