GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "23000","Maine",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",268980,281641,292157,301227,319351,344061,379353,417260,435998,457557,452219,522050,589996,645410,705585,776016,880785,974157,1047753,1180846,1317646,1464888,1739225,2088650,2467212,2614431,2968467,3178946,3450352,3697261,4087597,4630482,4770216,4769371,4841065,4936127,5137406,5561175,5926775,6231519,6634395,6553289,7056715,7203875,7083111,7400646,7682432,7638631,8309134,8866303,9081707,8416959,8350157,9149443,9604807,9295172,10191393,10687837,11230015,11630332,12570528
 "23000","Maine",1,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",80300,80784,77899,77930,88176,98748,111169,128428,128104,133064,114224,123421,127540,134865,148439,159758,172161,165794,198961,228989,254093,283331,307998,346641,412812,412956,462076,474189,516926,543657,609466,755290,763722,805585,839465,906207,1031973,1117267,1342075,1504497,1565011,1490650,1611153,1580608,1718521,1961302,2415616,2152053,2558472,2830728,2734245,1975074,1855303,2287566,2520491,2435487,2935722,3162875,3368992,3480389,3776777
 "23000","Maine",1,SAINC40,92,"..."," Personal interest income","Thousands of dollars",140511,150820,162532,172810,179914,192520,213663,232251,248695,262118,276233,331625,398199,439040,480818,543640,629387,734216,781453,898238,1005814,1125086,1364003,1657072,1958003,2113078,2406208,2614023,2855833,3079523,3361566,3762052,3866408,3778799,3666577,3608146,3615417,3909439,3979968,4126945,4414461,4350265,4740453,4770355,4440270,4449663,4199977,4554664,4940002,5318152,5380864,5141615,4882234,4892115,4969329,4693412,4849021,5099289,5248779,5520925,6032048
 "23000","Maine",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",77947,88808,97553,104285,107647,113123,121981,126370,131958,139684,148128,173043,219261,247020,275176,303522,344285,430581,446979,502024,563898,584174,662676,732481,905899,1129588,1184058,1373665,1508015,1647880,1795531,1966870,2056884,2132576,2224324,2289395,2305213,2451184,2472923,2623923,2654237,2698489,2823569,2806357,2853369,2965400,3042854,3132301,3153297,3247542,3481182,3531075,3426730,3479426,3456412,3346967,3428074,3630848,3633079,3643759,3833651
 "23000","Maine",1,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",62564,62012,64979,68525,72267,79397,91682,105881,116737,122434,128105,158582,178938,192020,205642,240118,285102,303635,334474,396214,441916,540912,701327,924591,1052104,983490,1222150,1240358,1347818,1431643,1566035,1795182,1809524,1646223,1442253,1318751,1310204,1458255,1507045,1503022,1760224,1651776,1916884,1963998,1586901,1484263,1157123,1422363,1786705,2070610,1899682,1610540,1455504,1412689,1512917,1346445,1420947,1468441,1615700,1877166,2198397
 "23000","Maine",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",48169,50037,51726,50487,51261,52793,54521,56581,59199,62375,61762,67004,64257,71505,76328,72618,79237,74147,67339,53619,57739,56471,67224,84937,96397,88397,100183,90734,77593,74081,116565,113140,140086,184987,335023,421774,490016,534469,604732,600077,654923,712374,705109,852912,924320,989681,1066839,931914,810660,717423,966598,1300270,1612620,1969762,2114987,2166273,2406650,2425673,2612244,2629018,2761703
 "23000","Maine",1,SAINC40,96,"...","  Imputed rent","Thousands of dollars",34041,37173,40047,41926,44183,45380,45569,46495,48116,49975,48426,54397,53396,57054,56527,53680,54327,50721,43446,26866,29940,25839,24131,28007,13964,12459,2871,-8047,-29444,-31630,-2271,332,19266,52804,117451,205476,262160,276595,324762,329790,385894,434051,458674,564358,642179,704706,775866,636205,516008,374370,561876,883989,1132178,1400028,1529835,1585319,1745889,1698736,1811720,1865678,1955657
 "23000","Maine",1,SAINC40,97,"...","  Monetary rent","Thousands of dollars",14128,12864,11679,8561,7078,7413,8952,10086,11083,12400,13336,12607,10861,14451,19801,18938,24910,23426,23893,26753,27799,30632,43093,56930,82433,75938,97312,98781,107037,105711,118836,112808,120820,132183,217572,216298,227856,257874,279970,270287,269029,278323,246435,288554,282141,284975,290973,295709,294652,343053,404722,416281,480442,569734,585152,580954,660761,726937,800524,763340,806046
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
