GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "26000","Michigan",3,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",2141157,2298798,2482351,2601918,2815122,2997958,3297931,3567529,3877187,4121545,4357449,4556776,5013591,5368971,5789901,6372734,7253053,7982507,8569340,9514251,10575098,11847601,13970167,16732565,19240855,20665442,23457468,25051788,26300996,27014609,28807606,32337262,33887991,33551127,34305855,35613041,40604466,43108433,45570428,48127955,50734105,49971847,53403663,51862338,49634091,51159908,52927822,54540687,57369921,60385410,62067759,53609602,53243084,60168907,66313638,65901751,73322436,79118089,81466684,84777721,91960756
 "26000","Michigan",3,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",425479,455581,508828,547559,619373,685872,794446,878781,902433,928390,971588,979016,961033,974808,1029235,1137247,1248725,1230571,1505053,1779749,1987549,2216590,2288707,2488084,2486662,2809786,3244539,3533836,3848867,4077425,4602535,5675250,6063457,6313424,6557885,6951710,8102894,8869423,10451180,11708834,12134542,11543024,12322840,11052198,11724265,13019193,16933848,16300460,18438551,20147279,19959440,12935024,13575641,17894254,22596220,22667721,27625330,30007944,31203200,32499307,35202151
 "26000","Michigan",3,SAINC40,92,"..."," Personal interest income","Thousands of dollars",1076395,1164183,1247944,1305719,1405480,1501987,1680288,1847056,2102011,2297863,2506463,2816035,3264058,3584111,3912337,4434195,5215032,5990519,6378370,7239406,8071848,9161234,11147515,13601498,16195675,17270624,19672149,20859739,21997892,22485529,23577246,26052550,27054497,26161026,26110853,26049083,26397119,28089504,28918049,30370557,32401635,32214711,35184354,34335733,31365503,31043449,28596919,32042416,33957499,36160394,36506993,33625079,31204139,32105809,32680892,31372842,32765619,35179517,35465636,36787585,40487093
 "26000","Michigan",3,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",450171,504377,549604,595111,638084,678657,748561,803984,894680,988237,1115102,1325462,1593974,1788257,1985015,2193329,2552705,3210068,3333786,3687502,4101024,4313098,5011024,5569795,6755339,8386064,8885796,10072709,10968093,11643752,12156680,12930838,13505704,13970196,14593400,15186364,15620499,16654272,16865578,18034066,18029680,18454372,19452205,18955285,18967908,19172340,19190214,19642961,19858098,20263760,21464888,21558934,20950846,21139216,21350134,21146676,22212841,23910540,23205500,22592143,23848125
 "26000","Michigan",3,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",626224,659806,698340,710608,767396,823330,931727,1043072,1207331,1309626,1391361,1490573,1670084,1795854,1927322,2240866,2662327,2780451,3044584,3551904,3970824,4848136,6136491,8031703,9440336,8884560,10786353,10787030,11029799,10841777,11420566,13121712,13548793,12190830,11517453,10862719,10776620,11435232,12052471,12336491,14371955,13760339,15732149,15380448,12397595,11871109,9406705,12399455,14099401,15896634,15042105,12066145,10253293,10966593,11330758,10226166,10552778,11268977,12260136,14195442,16638968
 "26000","Michigan",3,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",639283,679034,725579,748640,790269,810099,823197,841692,872743,895292,879398,761725,788500,810052,848329,801292,789296,761417,685917,495096,515701,469777,533945,642983,558518,585032,540780,658213,454237,451655,627825,609462,770037,1076677,1637117,2612248,6104453,6149506,6201199,6048564,6197928,6214112,5896469,6474407,6544323,7097266,7397055,6197811,4973871,4077737,5601326,7049499,8463304,10168844,11036526,11861188,12931487,13930628,14797848,15490829,16271512
 "26000","Michigan",3,SAINC40,96,"...","  Imputed rent","Thousands of dollars",480011,527096,571413,604919,645438,667353,673642,689445,715520,740577,722599,606180,631779,663706,645940,605836,606494,557212,469136,266718,264443,203848,197464,199398,71656,40235,-38103,-127160,-278362,-276615,-82883,-64828,39230,205185,614006,1369432,4848986,4697867,4824788,4463047,4623370,4665853,4378883,4873373,5046341,5629765,5825954,4620555,3400811,2364968,3524922,5043955,6055141,7258584,7998793,8719281,9466261,10220353,10975449,11758875,12319923
 "26000","Michigan",3,SAINC40,97,"...","  Monetary rent","Thousands of dollars",159272,151938,154166,143721,144831,142746,149555,152247,157223,154715,156799,155545,156721,146346,202389,195456,182802,204205,216781,228378,251258,265929,336481,443585,486862,544797,578883,785373,732599,728270,710708,674290,730807,871492,1023111,1242816,1255467,1451639,1376411,1585517,1574558,1548259,1517586,1601034,1497982,1467501,1571101,1577256,1573060,1712769,2076404,2005544,2408163,2910260,3037733,3141907,3465226,3710275,3822399,3731954,3951589
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
