GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "27000","Minnesota",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",963270,1045128,1115734,1172129,1245165,1335613,1432641,1559187,1651481,1765944,1921022,2147410,2376368,2587659,2775858,3136605,3611255,4042303,4343270,4860365,5407322,6079421,7383552,9038892,10621741,11346841,12718955,13439172,14078115,14384597,15203776,16983773,18000627,18225107,18661073,19266988,20714761,22812358,24343410,26310429,28641578,29184016,31668470,31911313,30823673,32453641,33561592,35105902,38971388,41713663,42639961,38050207,38250077,42877387,47770284,46815921,52143637,56092711,58299437,61650828,66925853
 "27000","Minnesota",4,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",173430,196025,211392,217799,222502,246207,273653,314752,308210,322315,345696,350470,352569,363652,388993,443576,504643,516113,607677,697708,798298,911522,1013532,1164362,1267216,1323257,1448557,1639944,1843796,2014121,2403011,3005034,3313787,3617259,3982514,4321008,5246113,5841156,6699999,7446947,8283563,8521402,9275217,9014204,9267554,10177965,12217470,12370465,15014859,16528761,15954974,11257703,11130392,13702441,16582042,16164133,19200177,21221985,22013869,23273830,25255052
 "27000","Minnesota",4,SAINC40,92,"..."," Personal interest income","Thousands of dollars",480743,529770,575842,600611,661816,707933,778039,855076,931298,1036316,1161389,1373281,1604731,1777132,1942731,2221611,2627828,3069844,3319597,3821731,4261087,4835114,5960126,7356562,8829759,9562792,10796148,11336263,11918775,12079407,12422966,13609474,14219897,13964032,13686178,13436489,13617973,14839851,15295672,16399975,17543972,17553892,19195030,19268773,17773157,18074618,16899314,18675405,20501424,22198790,22540914,21368377,20515993,21102286,22447589,21274554,22705480,24067072,24904423,26615594,29276434
 "27000","Minnesota",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",202372,230703,254843,275675,296614,312996,342919,364416,396646,441914,494242,598884,729565,832541,926484,1029952,1205700,1528801,1616526,1810656,2029417,2119332,2521367,2874769,3502885,4396043,4724405,5377200,5819330,6225804,6469152,6775492,7063887,7371585,7697424,7959374,8120799,8788964,8975849,9766595,9981320,10389999,11133490,11052152,11142059,11482347,11614893,11992521,12403392,12870183,13663883,13831796,13664241,14108815,14506285,14436348,15314781,16460139,16739739,17169615,18202258
 "27000","Minnesota",4,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",278371,299067,320999,324936,365202,394937,435120,490660,534652,594402,667147,774397,875166,944591,1016247,1191659,1422128,1541043,1703071,2011075,2231670,2715782,3438759,4481793,5326874,5166749,6071743,5959063,6099445,5853603,5953814,6833982,7156010,6592447,5988754,5477115,5497174,6050887,6319823,6633380,7562652,7163893,8061540,8216621,6631098,6592271,5284421,6682884,8098032,9328607,8877031,7536581,6851752,6993471,7941304,6838206,7390699,7606933,8164684,9445979,11074176
 "27000","Minnesota",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",309097,319333,328500,353719,360847,381473,380949,389359,411973,407313,413937,423659,419068,446875,444134,471418,478784,456346,415996,340926,347937,332785,409894,517968,524766,460792,474250,462965,315544,291069,377799,369265,466943,643816,992381,1509491,1850675,2131351,2347739,2463507,2814043,3108722,3198223,3628336,3782962,4201058,4444808,4060032,3455105,2986112,4144073,5424127,6603692,8072660,8740653,9377234,10237980,10803654,11381145,11761404,12394367
 "27000","Minnesota",4,SAINC40,96,"...","  Imputed rent","Thousands of dollars",183833,201425,217942,230095,244873,252635,254532,260088,269552,278383,271540,302691,314365,330738,327942,307430,311982,294847,256902,163560,159362,131870,128743,127739,58863,33377,-9770,-66185,-154895,-156762,-55225,-45542,9222,94650,308711,706226,1012261,1153643,1424794,1480481,1792347,2059957,2185150,2492647,2713682,3132618,3337845,2892113,2242942,1637591,2456684,3647676,4507092,5511080,5957793,6422685,6927319,7339184,7646678,8205835,8612916
 "27000","Minnesota",4,SAINC40,97,"...","  Monetary rent","Thousands of dollars",125264,117908,110558,123624,115974,128838,126417,129271,142421,128930,142397,120968,104703,116137,116192,163988,166802,161499,159094,177366,188575,200915,281151,390229,465903,427415,484020,529150,470439,447831,433024,414807,457721,549166,683670,803265,838414,977708,922945,983026,1021696,1048765,1013073,1135689,1069280,1068440,1106963,1167919,1212163,1348521,1687389,1776451,2096600,2561580,2782860,2954549,3310661,3464470,3734467,3555569,3781451
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
