GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "29000","Missouri",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1177445,1281759,1355645,1409106,1495861,1594503,1710389,1835303,1973983,2078389,2310392,2478188,2788255,3018297,3266422,3652730,4191723,4618052,4976171,5554570,6202381,7016075,8563876,10538873,12424544,13258778,14925518,15761582,16424423,16729890,17742376,19307305,20181860,20656319,21510915,22495680,23790481,25020827,26198099,27932915,29551150,29002740,31140877,30759491,29525328,30745019,31594975,32902582,36528597,39618155,41419107,36601571,36385215,39349757,45179772,41962920,46603111,49346266,51847223,54719078,59310984
 "29000","Missouri",4,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",261295,301171,315370,328049,344621,374565,412039,449866,458703,471144,545294,558142,560061,577045,618220,691385,769584,747967,884287,1009495,1126359,1259714,1371198,1548302,1648159,1748030,1887875,2024718,2197042,2364848,2760278,3326021,3502538,3720208,3958217,4259394,4926498,5405464,6164088,6763743,6964321,6412626,6760574,6377753,7149170,8239770,10559428,10442233,12645213,14120102,14306213,9694827,9615220,11469009,15113300,13427921,16481879,17769389,18948765,19865096,21542730
 "29000","Missouri",4,SAINC40,92,"..."," Personal interest income","Thousands of dollars",539663,592698,652328,680316,739449,789957,882756,961236,1086847,1188121,1345579,1518782,1800337,1993783,2177607,2483809,2938331,3408576,3673565,4213079,4731487,5415674,6810315,8519471,10323159,11107788,12613586,13317130,13942045,14093977,14615026,15612627,16184033,16257934,16563221,16857009,17098147,17728073,18003567,18938201,20060337,19859510,21547237,21170619,19094872,18944927,17322722,19225237,21143992,23168876,23883798,22539922,21410083,21352402,23029989,21077348,22225509,23063716,23974639,25656988,28074834
 "29000","Missouri",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",261327,291627,318077,342633,365472,382650,420408,451331,497205,545822,604732,715133,878922,988659,1086749,1192062,1386784,1726048,1820949,2028112,2262951,2370888,2795700,3194351,3864498,4838598,5177040,5911227,6408740,6870018,7158042,7505488,7816476,8145790,8621665,9176194,9534929,10212271,10339892,11047662,11140888,11381277,11952338,11593637,11483705,11647652,11805405,12190748,12651676,13297571,14313731,14530032,14281743,14529401,14836927,14656956,15324283,16077502,15954151,16349908,17171734
 "29000","Missouri",4,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",278336,301071,334251,337683,373977,407307,462348,509905,589642,642299,740847,803649,921415,1005124,1090858,1291747,1551547,1682528,1852616,2184967,2468536,3044786,4014615,5325120,6458661,6269190,7436546,7405903,7533305,7223959,7456984,8107139,8367557,8112144,7941556,7680815,7563218,7515802,7663675,7890539,8919449,8478233,9594899,9576982,7611167,7297275,5517317,7034489,8492316,9871305,9570067,8009890,7128340,6823001,8193062,6420392,6901226,6986214,8020488,9307080,10903100
 "29000","Missouri",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",376487,387890,387947,400741,411791,429981,415594,424201,428433,419124,419519,401264,427857,447469,470595,477536,483808,461509,418319,331996,344535,340687,382363,471100,453226,402960,424057,419734,285336,271065,367072,368657,495289,678177,989477,1379277,1765836,1887290,2030444,2230971,2526492,2730604,2833066,3211119,3281286,3560322,3712825,3235112,2739392,2329177,3229096,4366822,5359912,6528346,7036483,7457651,7895723,8513161,8923819,9196994,9693420
 "29000","Missouri",4,SAINC40,96,"...","  Imputed rent","Thousands of dollars",202991,222582,240980,252023,265800,272303,272652,277159,285905,294360,285836,295087,305063,323156,321225,304631,311415,286100,247276,155072,162090,139055,137220,139462,67376,48044,5522,-42973,-121397,-118793,-14739,3649,67422,166755,371982,715308,976194,1082202,1313502,1350827,1610413,1836392,1966831,2303955,2408353,2627727,2824056,2316359,1815752,1340676,1974554,3094598,3866431,4731762,5188383,5529531,5786886,6205519,6504723,6823099,7168594
 "29000","Missouri",4,SAINC40,97,"...","  Monetary rent","Thousands of dollars",173496,165308,146967,148718,145991,157678,142942,147042,142528,124764,133683,106177,122794,124313,149370,172905,172393,175409,171043,176924,182445,201632,245143,331638,385850,354916,418535,462707,406733,389858,381811,365008,427867,511422,617495,663969,789642,805088,716942,880144,916079,894212,866235,907164,872933,932595,888769,918753,923640,988501,1254542,1272224,1493481,1796584,1848100,1928120,2108837,2307642,2419096,2373895,2524826
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
