GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "28000","Mississippi",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",251304,286624,307644,350876,385262,417456,426630,445115,465365,507070,538819,672878,779693,861256,958058,1108523,1296464,1440920,1557145,1737547,1998082,2280431,2820539,3501986,3882734,4088222,4508705,4829627,4985319,5090744,5452913,6269413,6377003,6444110,6548255,6839207,7381245,7948957,8457166,9089519,9888348,9872906,10596180,10867665,10588212,10495917,10508937,11387942,12956215,15459028,15197514,14251809,13808487,14934605,15835684,15267439,16066133,16781439,17046302,17346710,18553255
 "28000","Mississippi",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",23715,29989,33017,41136,45183,53321,58283,65646,64355,66529,73670,78045,84576,93162,105997,127996,152338,165228,190211,216044,254852,296466,313753,349356,359032,399072,412076,463166,502090,557260,657899,794244,871330,948805,1039226,1138825,1380203,1502747,1769704,2069569,2336690,2301399,2433018,2339778,2575114,2487701,3021915,3481361,4522792,5048881,5009583,3805348,3575378,4203801,4955039,4730686,5154110,5348534,5524183,5542682,5982792
 "28000","Mississippi",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",118912,140267,166334,193135,215640,227348,237547,252703,273422,308811,339381,446428,536223,602187,679697,807765,962867,1101064,1207770,1396445,1605069,1847268,2336780,2909530,3262574,3466240,3879907,4136935,4323296,4374239,4597643,5265092,5245991,5154459,5068924,5094262,5297737,5686137,5845284,6130796,6593209,6541217,7057949,7245709,6711194,6602164,6084413,6617172,7349848,8030577,8440092,8288469,7782616,7984144,8091155,7616147,7880168,8129995,8156907,8367323,8946977
 "28000","Mississippi",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",75668,89480,99729,115265,128519,134654,141114,152162,167832,179651,199932,246578,305945,349217,403419,467861,543223,646050,701083,794394,919408,997736,1186021,1363870,1581243,1849375,1968373,2177286,2360126,2509145,2631550,2831712,2952370,3076910,3165544,3318365,3489446,3796961,3859074,4122394,4230691,4342888,4528729,4528199,4625913,4798874,4777449,4878529,5082913,5387856,5781978,6063873,6000650,6098755,6165366,6061945,6189722,6372416,6307501,6235385,6445288
 "28000","Mississippi",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",43244,50787,66605,77870,87121,92694,96433,100541,105590,129160,139449,199850,230278,252970,276278,339904,419644,455014,506687,602051,685661,849532,1150759,1545660,1681331,1616865,1911534,1959649,1963170,1865094,1966093,2433380,2293621,2077549,1903380,1775897,1808291,1889176,1986210,2008402,2362518,2198329,2529220,2717510,2085281,1803290,1306964,1738643,2266935,2642721,2658114,2224596,1781966,1885389,1925789,1554202,1690446,1757579,1849406,2131938,2501689
 "28000","Mississippi",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",108677,116368,108293,116605,124439,136787,130800,126766,127588,131730,125768,148405,158894,165907,172364,172762,181259,174628,159164,125058,138161,136697,170006,243100,261128,222910,216722,229526,159933,159245,197371,210077,259682,340846,440105,606120,703305,760073,842178,889154,958449,1030290,1105213,1282178,1301904,1406052,1402609,1289409,1083575,2379570,1747839,2157992,2450493,2746660,2789490,2920606,3031855,3302910,3365212,3436705,3623486
 "28000","Mississippi",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",51254,56727,61854,66852,72380,76084,77959,80973,85195,89405,88094,118546,126791,131390,130054,123042,125672,116261,99552,65543,73338,67090,64909,73384,42946,39731,25874,13718,-6315,1428,46243,66212,105792,162454,239049,346744,428975,451269,527006,540646,626295,703278,776102,940586,978921,1071379,1059049,957977,723677,1977622,1209035,1646959,1850237,2024016,1989716,2119024,2171070,2395405,2466719,2530695,2659920
 "28000","Mississippi",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",57423,59641,46439,49753,52059,60703,52841,45793,42393,42325,37674,29859,32103,34517,42310,49720,55587,58367,59612,59515,64823,69607,105097,169716,218182,183179,190848,215808,166248,157817,151128,143865,153890,178392,201056,259376,274330,308804,315172,348508,332154,327012,329111,341592,322983,334673,343560,331432,359898,401948,538804,511033,600256,722644,799774,801582,860785,907505,898493,906010,963566
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
