GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "37000","North Carolina",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",740905,797283,874406,949718,1054232,1127987,1237648,1335494,1443649,1546385,1667193,1936486,2269516,2468455,2745400,3148156,3657705,4030034,4403054,4960740,5658693,6374963,7821669,9636583,10936201,11875176,13808083,14978975,16214448,17090701,19096735,21714541,23111093,23641811,24787135,26301772,28331615,30837190,33660322,36509539,39669386,39900899,42425601,42293268,41065318,42242273,45761211,49731945,54629985,60583999,63442622,57188099,55995665,62027408,66771237,66028648,72906274,78927440,81130003,85439772,92309312
 "37000","North Carolina",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",154846,164024,188536,200959,218624,232073,275536,312030,318724,321445,347831,378826,396227,424037,471143,523552,581337,589101,713819,837817,955824,1087045,1217261,1407806,1483792,1651254,1840652,2101212,2349726,2544498,3117919,3716357,4067568,4399722,4787872,5415214,6421556,7143421,8611916,9793640,10693756,9917493,10449186,9586879,10504042,11398752,14844138,15244544,18751842,21452153,21394371,14627108,13876799,16615258,19843614,19295091,23096934,25589371,26600626,28345528,30787252
 "37000","North Carolina",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",333838,372757,409099,451943,513796,558951,622953,686842,777625,867238,978373,1166780,1439789,1605972,1820163,2147290,2592883,3003218,3295570,3815989,4373350,4972267,6254433,7804457,9066302,9808190,11517559,12393364,13450283,14148058,15423730,17409440,18284395,18215743,18481147,18783115,19297058,20777949,21565594,23134654,24922102,25538157,27308453,27297118,24874478,24992881,24703498,29014318,31236966,34986693,36029600,34460752,32103364,32928489,33600594,32401703,34823513,37198631,37553116,39299221,42809569
 "37000","North Carolina",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",201827,232995,252937,281966,314839,342506,375303,407807,449735,502973,559128,684673,866758,962298,1105005,1273970,1520180,1828107,1979918,2243988,2596574,2781659,3301290,3820647,4419908,5243316,5838209,6536402,7354152,8155479,8726177,9502628,10118366,10643881,11428843,12013530,12472676,13466946,13785439,14977285,15442233,16066825,17007275,16609275,16683666,17208383,17771536,18903710,20193745,21642073,23198642,23938510,23659687,24083092,24403901,24326199,25189665,26836073,26633420,26649187,27983980
 "37000","North Carolina",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",132011,139762,156162,169977,198957,216445,247650,279035,327890,364265,419245,482107,573031,643674,715158,873320,1072703,1175111,1315652,1572001,1776776,2190608,2953143,3983810,4646394,4564874,5679350,5856962,6096131,5992579,6697553,7906812,8166029,7571862,7052304,6769585,6824382,7311003,7780155,8157369,9479869,9471332,10301178,10687843,8190812,7784498,6931962,10110608,11043221,13344620,12830958,10522242,8443677,8845397,9196693,8075504,9633848,10362558,10919696,12650034,14825589
 "37000","North Carolina",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",252221,260502,276771,296816,321812,336963,339159,336622,347300,357702,340989,390880,433500,438446,454094,477314,483485,437715,393665,306934,329519,315651,349975,424320,386107,415732,449872,484399,414439,398145,555086,588744,759130,1026346,1518116,2103443,2613001,2915820,3482812,3581245,4053528,4445249,4667962,5409271,5686798,5850640,6213575,5473083,4641177,4145153,6018651,8100239,10015502,12483661,13327029,14331854,14985827,16139438,16976261,17795023,18712491
 "37000","North Carolina",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",137453,151642,164993,182067,200625,214009,222069,233193,247716,261713,260205,311669,321838,344266,343610,327626,330274,303231,262702,167560,181628,157194,148082,165950,88924,86580,44120,4067,-70508,-60726,81127,123335,235555,423503,741602,1241702,1633135,1781885,2155917,2241332,2663023,3040597,3289576,3931506,4219995,4438669,4747082,3962322,3092043,2397577,3818383,5853021,7430924,9358535,10073429,10972810,11250902,12052616,12560431,13609518,14261365
 "37000","North Carolina",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",114768,108860,111778,114749,121187,122954,117090,103429,99584,95989,80784,79211,111662,94180,110484,149688,153211,134484,130963,139374,147891,158457,201893,258370,297183,329152,405752,480332,484947,458871,473959,465409,523575,602843,776514,861741,979866,1133935,1326895,1339913,1390505,1404652,1378386,1477765,1466803,1411971,1466493,1510761,1549134,1747576,2200268,2247218,2584578,3125126,3253600,3359044,3734925,4086822,4415830,4185505,4451126
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
