GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "38000","North Dakota",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",183200,177161,190198,179140,231652,227565,239200,265066,266875,269795,293739,329877,365423,406302,449376,533923,619024,715953,777040,881988,986633,1111538,1374911,1758017,2056923,2050144,2196907,2256411,2246217,2157898,2159066,2353034,2431770,2425591,2443521,2552202,2685512,2876761,3005872,3214729,3383433,3319190,3545340,3593528,3536749,3530246,3537319,3710484,3996496,4481401,5173679,4912907,5341540,6393297,7553537,7914463,8823905,8750064,8545524,8588523,9268711
 "38000","North Dakota",4,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",12381,15818,15237,15721,15599,18720,20390,23662,23076,27136,24609,23258,24706,26652,29591,36858,45025,50922,58856,66594,77257,88989,99971,117131,156789,128184,128425,141072,162597,181952,196361,246209,267846,296432,314474,355030,412620,455343,518066,604010,633383,628448,687555,682966,772364,836414,989992,1027797,1208266,1481419,1754664,1399454,1553604,2000733,2644851,2716996,2985078,2882479,2888852,2596201,2812081
 "38000","North Dakota",4,SAINC40,92,"..."," Personal interest income","Thousands of dollars",61410,66243,74789,81448,93401,104639,117974,137889,149192,160080,188402,223457,272910,302336,331978,388585,457733,544094,606230,712471,797455,910959,1139198,1432367,1643935,1726004,1886616,1921510,1949445,1857629,1840328,1985091,2026060,1971828,1933723,1942023,1951619,2094467,2163341,2241415,2373490,2300465,2466221,2460285,2289299,2259842,2049469,2179190,2328121,2553921,2779103,2763354,2717681,2895182,3126464,3118005,3341214,3593567,3570643,3670659,3988363
 "38000","North Dakota",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",27079,32428,38077,44099,50114,55155,60962,67167,72284,76440,83061,98530,128747,144634,160425,181579,206003,252871,274355,309007,350675,367008,425682,488200,582412,706497,735646,819429,863558,894714,898817,926591,952838,994516,1045290,1109465,1139816,1224273,1251782,1316628,1318611,1328041,1380350,1358506,1394791,1440302,1440976,1456345,1469235,1526657,1662526,1788076,1871164,2018675,2148897,2222444,2418749,2590207,2488289,2433192,2533246
 "38000","North Dakota",4,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",34331,33815,36712,37349,43287,49484,57012,70722,76908,83640,105341,124927,144163,157702,171553,207006,251730,291223,331875,403464,446780,543951,713516,944167,1061523,1019507,1150970,1102081,1085887,962915,941511,1058500,1073222,977312,888433,832558,811803,870194,911559,924787,1054879,972424,1085871,1101779,894508,819540,608493,722845,858886,1027264,1116577,975278,846517,876507,977567,895561,922465,1003360,1082354,1237467,1455117
 "38000","North Dakota",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",109409,95100,100172,81971,122652,104206,100836,103515,94607,82579,80728,83162,67807,77314,87807,108480,116266,120937,111954,102923,111921,111590,135742,208519,256199,195956,181866,193829,134175,118317,122377,121734,137864,157331,195324,255149,321273,326951,324465,369304,376560,390277,391564,450277,475086,433990,497858,503497,460109,446061,639912,750099,1070255,1497382,1782222,2079462,2497613,2274018,2086029,2321663,2468267
 "38000","North Dakota",4,SAINC40,96,"...","  Imputed rent","Thousands of dollars",19366,21201,22861,23572,24509,24929,24791,25089,25809,26283,25564,42357,44262,46663,47789,44696,46289,47089,42187,32481,34610,32355,30521,30210,20777,17737,11259,5290,-2342,-720,10608,15322,24518,35677,51738,77161,96688,101758,118257,117188,134410,149160,163141,200465,219140,219523,255531,218848,181358,140288,197993,307110,415048,553662,664799,756880,823540,950719,1033758,1069684,1137210
 "38000","North Dakota",4,SAINC40,97,"...","  Monetary rent","Thousands of dollars",90043,73899,77311,58399,98143,79277,76045,78426,68798,56296,55164,40805,23545,30651,40018,63784,69977,73848,69767,70442,77311,79235,105221,178309,235422,178219,170607,188539,136517,119037,111769,106412,113346,121654,143586,177988,224585,225193,206208,252116,242150,241117,228423,249812,255946,214467,242327,284649,278751,305773,441919,442989,655207,943720,1117423,1322582,1674073,1323299,1052271,1251979,1331057
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
