GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "91000","New England",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",3612463,3885047,4105762,4376713,4809991,5239404,5791992,6319173,6784876,7435889,7648518,8212648,8932009,9531657,10222626,11183305,12444973,13150264,14078339,15592731,17244019,19381498,23571288,28938050,33732840,35483884,41025331,43152973,46218414,48929905,54645003,61836868,63459116,62483090,63392305,65852842,68542227,73535684,77905052,82726071,88640653,88989324,98285475,100639010,96285483,99163440,103645960,110787458,127763476,138616447,142648605,126509698,126447302,140617684,154976042,152540453,169504795,179653186,186135917,195074858,212349556
 "91000","New England",1,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",1199215,1301411,1320101,1361065,1457946,1568315,1758536,1922974,2003506,2192364,2113038,2152309,2162711,2230419,2399124,2556047,2724032,2583663,3018622,3408716,3799957,4252275,4726597,5413117,6162718,6253649,6961236,7059486,7512434,7830478,8738345,10546762,10564562,11111346,11612280,12571986,14027248,15340766,17870112,20346515,20971673,20620471,23247545,22671839,24118078,26195923,33444159,32817125,41945240,46462514,47023951,32447557,32401111,39610442,47359584,45194913,56099410,59202646,61656811,64526226,70039188
 "91000","New England",1,SAINC40,92,"..."," Personal interest income","Thousands of dollars",1713335,1835093,1974862,2141105,2405018,2678485,2986824,3280338,3585624,3961304,4224951,4782302,5552405,6072845,6608564,7428795,8540191,9486619,10087675,11454669,12730820,14478086,18016065,22502808,26538973,28244646,33094007,35072368,37999523,40433929,44693755,50231809,51561216,49465082,48115666,47502523,47353319,50278216,50850545,53101175,57430618,57304630,63947413,65439604,58953721,58208987,54682838,64064074,74356984,82497204,81541976,75044956,70592940,72140164,76540031,74568765,78561656,83588597,85494145,90539540,100231091
 "91000","New England",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",797452,880381,941649,1020145,1103413,1184496,1302662,1391474,1485847,1627361,1797853,2097165,2533015,2829572,3132337,3458174,3894076,4717657,4925800,5465298,6092188,6409321,7609787,8764943,10506730,12915095,14028818,16008580,17909251,19784452,21477447,23392817,24512407,24998577,25740645,26595174,26951079,28792406,28930280,30969680,31295020,32267396,34758483,34748171,34584441,35081345,35782314,37415365,39659781,42463606,45472955,44884817,43984829,45100249,45804065,45756769,48403354,52107668,50538671,50101772,52822116
 "91000","New England",1,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",915883,954712,1033213,1120960,1301605,1493989,1684162,1888864,2099777,2333943,2427098,2685137,3019390,3243273,3476227,3970621,4646115,4768962,5161875,5989371,6638632,8068765,10406278,13737865,16032243,15329551,19065189,19063788,20090272,20649477,23216308,26838992,27048809,24466505,22375021,20907349,20402240,21485810,21920265,22131495,26135598,25037234,29188930,30691433,24369280,23127642,18900524,26648709,34697203,40033598,36069021,30160139,26608111,27039915,30735966,28811996,30158302,31480929,34955474,40437768,47408975
 "91000","New England",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",699913,748543,810799,874543,947027,992604,1046632,1115861,1195746,1282221,1310529,1278037,1216893,1228393,1214938,1198463,1180750,1079982,972042,729346,713242,651137,828626,1022125,1031149,985589,970088,1021119,706457,665498,1212903,1058297,1333338,1906662,3664359,5778333,7161660,7916702,9184395,9278381,10238362,11064223,11090517,12527567,13213684,14758530,15518963,13906259,11461252,9656729,14082678,19017185,23453251,28867078,31076427,32776775,34843729,36861943,38984961,40009092,42079277
 "91000","New England",1,SAINC40,96,"...","  Imputed rent","Thousands of dollars",570072,626362,679542,728075,785097,818752,832623,857536,894744,930390,912113,850844,795209,839901,811168,759603,764595,705755,594993,313284,296263,215631,213827,223587,36183,-27836,-206683,-465405,-950632,-1066388,-613511,-702578,-528039,-112091,1064634,2835180,3968564,4366606,5269284,5359752,6414773,7279584,7470171,8511323,9292654,10824020,11604279,9728979,7343210,5130393,8621041,13363544,16939356,21011424,22974423,24394929,25656209,26641135,27860745,29168673,30562250
 "91000","New England",1,SAINC40,97,"...","  Monetary rent","Thousands of dollars",129841,122181,131257,146468,161930,173852,214009,258325,301002,351831,398416,427193,421684,388492,403770,438860,416155,374227,377049,416062,416979,435506,614799,798538,994966,1013425,1176771,1486524,1657089,1731886,1826414,1760875,1861377,2018753,2599725,2943153,3193096,3550096,3915111,3918629,3823589,3784639,3620346,4016244,3921030,3934510,3914684,4177280,4118042,4526336,5461637,5653641,6513895,7855654,8102004,8381846,9187520,10220808,11124216,10840419,11517027
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
