GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "33000","New Hampshire",1,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",179868,192955,209716,220609,244132,262088,289482,314920,340528,364544,398548,449482,498786,551942,611332,679320,769082,832698,922238,1054220,1195931,1362604,1664373,2055370,2442892,2554765,2967287,3207782,3541386,3812829,4266296,4911667,4967495,4912954,4831773,4963030,5198858,5645031,6044175,6412287,6907063,6858093,7664894,7725339,7472523,7510019,7951757,8167531,9081918,9822886,10118218,9170168,8780672,10178776,11595328,11553917,12581685,13055862,13273413,13709043,14895782
 "33000","New Hampshire",1,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",42747,44522,49711,49517,55009,56758,68577,74643,78846,78375,101118,102586,108286,116777,130745,140859,151551,149496,183187,215292,246675,281908,312866,357904,457373,432034,490746,499270,547096,583915,643713,792093,785394,851357,908947,980041,1114058,1201145,1346972,1485537,1488060,1415562,1635405,1462670,1520395,1506217,2192477,2015727,2503089,2788538,2748895,1738871,1617421,2316884,2866560,2789959,3557337,3635582,3903518,3912232,4241363
 "33000","New Hampshire",1,SAINC40,92,"..."," Personal interest income","Thousands of dollars",103640,114027,120073,126652,140283,155965,168985,185115,202943,223815,233726,273570,323902,361555,397990,461172,545157,614811,676251,789223,896630,1029176,1286368,1617277,1903506,2042816,2400314,2617317,2915171,3152194,3502720,4005919,4049595,3884222,3628492,3491923,3524431,3844633,3984682,4217689,4631440,4610787,5189405,5313997,4912805,4807245,4502363,5011178,5624136,6205831,6199385,5908244,5267274,5559302,6168767,6142559,6303839,6446675,6240718,6657844,7350480
 "33000","New Hampshire",1,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",45615,52150,57018,62030,66230,71657,78471,82723,85495,95109,104861,127205,157005,180545,202445,229000,265896,321286,348048,396591,458268,492935,583145,675036,800056,973654,1065071,1208654,1369119,1541387,1684518,1848691,1934547,1969175,2002198,2026019,2036475,2185599,2254636,2463560,2538209,2636602,2876388,2910682,2948936,2974187,3014711,3074500,3135158,3272028,3504293,3486711,3353318,3427120,3491734,3576043,3745458,3918658,3817841,3851786,4061616
 "33000","New Hampshire",1,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",58025,61877,63055,64622,74053,84308,90514,102392,117448,128706,128865,146365,166897,181010,195545,232172,279261,293525,328203,392632,438362,536241,703223,942241,1103450,1069162,1335243,1408663,1546052,1610807,1818202,2157228,2115048,1915047,1626294,1465904,1487956,1659034,1730046,1754129,2093231,1974185,2313017,2403315,1963869,1833058,1487652,1936678,2488978,2933803,2695092,2421533,1913956,2132182,2677033,2566516,2558381,2528017,2422877,2806058,3288864
 "33000","New Hampshire",1,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",33481,34406,39932,44440,48840,49365,51920,55162,58739,62354,63704,73326,66598,73610,82597,77289,72374,68391,62800,49705,52626,51520,65139,80189,82013,79915,76227,91195,79119,76720,119863,113655,132506,177375,294334,491066,560369,599253,712521,709061,787563,831744,840084,948672,1039323,1196557,1256917,1140626,954693,828517,1169938,1523053,1895977,2302590,2560001,2621399,2720509,2973605,3129177,3138967,3303939
 "33000","New Hampshire",1,SAINC40,96,"...","  Imputed rent","Thousands of dollars",25837,28399,30777,33285,36185,38089,39074,40604,42713,44461,44232,53385,48697,52421,51837,49311,50171,46843,40173,23281,24474,19924,19074,21837,8116,4849,-6957,-23181,-54668,-61342,-27523,-30430,-13475,21288,104265,223400,298428,321175,382065,387221,458254,517224,535323,618883,712761,863624,908021,782707,593986,432843,680743,1021531,1315621,1605706,1828270,1871683,1916750,2045955,2122892,2196864,2302076
 "33000","New Hampshire",1,SAINC40,97,"...","  Monetary rent","Thousands of dollars",7644,6007,9155,11155,12655,11276,12846,14558,16026,17893,19472,19941,17901,21189,30760,27978,22203,21548,22627,26424,28152,31596,46065,58352,73897,75066,83184,114376,133787,138062,147386,144085,145981,156087,190069,267666,261941,278078,330456,321840,329309,314520,304761,329789,326562,332933,348896,357919,360707,395674,489195,501522,580356,696884,731731,749716,803759,927650,1006285,942103,1001863
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
