GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "34000","New Jersey",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",1849547,1996874,2185075,2328102,2634176,2872943,3207783,3483990,3751626,4025189,4407811,4781488,5344069,5857186,6350552,7011146,7867014,8450628,9047140,9928579,10943538,12278719,15035028,18615086,20951402,22349670,25917721,27334258,28752794,30153725,33447988,38759162,40376381,40227721,40760272,41119504,42899171,46776215,50039138,53371604,56819935,56727360,62549785,62406551,59760568,60882560,64306762,66302108,74032689,81091901,83812755,75655858,74027441,81860242,88647751,86826823,93945984,100494452,103799899,107410096,116742938
 "34000","New Jersey",2,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",488844,518425,555633,580940,660384,721919,820210,893990,906693,929674,1108712,1130499,1142588,1183948,1276168,1380466,1493285,1507002,1762910,2000638,2208140,2447044,2826442,3336069,3462524,3710563,4129686,4275716,4673886,4900273,5494328,6544471,6826862,7038681,7226455,7653698,8549471,9356112,11245617,12842316,13106068,12853881,14493377,13769960,14829351,15555814,20371803,18968389,23067941,26373492,26008545,17670512,17000391,21006114,25260177,24475540,29265705,31180955,32366959,34287673,37157082
 "34000","New Jersey",2,SAINC40,92,"..."," Personal interest income","Thousands of dollars",868177,945415,1047200,1125688,1302641,1455099,1667407,1835431,2050632,2258182,2461382,2889076,3419666,3830702,4225447,4803914,5604996,6251046,6672781,7500233,8325129,9481925,11804295,14797365,17083039,18165291,21328913,22586963,23875924,25083148,27463684,31814380,32949835,32168635,31526043,29975250,30065324,32716136,33352435,35000983,37444313,37126149,41292784,41165237,37020177,36186980,33909847,38431377,43537492,48527807,48644621,45494635,41618090,42321297,43618110,41481350,43266270,46349581,47275129,49972760,55237405
 "34000","New Jersey",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",403558,452678,496332,543804,595231,640284,714181,770258,842386,934710,1037200,1267483,1546598,1769092,1971645,2202495,2532792,3056349,3233448,3541708,3924955,4130890,4940719,5733860,6840441,8240348,8969382,10078683,11203422,12306730,13171425,14328941,15259521,15907068,16574234,17079616,17264057,18405405,18577633,19963134,20096728,20617366,22107486,21838163,21764117,22071779,22432487,23071804,24136893,25446352,27155965,27376538,26589689,26778535,26919227,26601553,27625334,29377762,28694990,28531256,30083993
 "34000","New Jersey",2,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",464619,492737,550868,581884,707410,814815,953226,1065173,1208246,1323472,1424182,1621593,1873068,2061610,2253802,2601419,3072204,3194697,3439333,3958525,4400174,5351035,6863576,9063505,10242598,9924943,12359531,12508280,12672502,12776418,14292259,17485439,17690314,16261567,14951809,12895634,12801267,14310731,14774802,15037849,17347585,16508783,19185298,19327074,15256060,14115201,11477360,15359573,19400599,23081455,21488656,18118097,15028401,15542762,16698883,14879797,15640936,16971819,18580139,21441504,25153412
 "34000","New Jersey",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",492526,533034,582242,621474,671151,695925,720166,754569,794301,837333,837717,761913,781815,842536,848937,826766,768733,692580,611449,427708,410269,349750,404291,481652,405839,473816,459122,471579,202984,170304,489976,400311,599684,1020405,2007774,3490556,4284376,4703967,5441086,5528305,6269554,6747330,6763624,7471354,7911040,9139766,10025112,8902342,7427256,6190602,9159589,12490711,15408960,18532831,19769464,20869933,21414009,22963916,24157811,23149663,24348451
 "34000","New Jersey",2,SAINC40,96,"...","  Imputed rent","Thousands of dollars",407960,448849,487687,522083,563093,586716,596133,613308,639274,665142,650471,576468,546560,574013,551040,514763,518418,478361,402916,205770,188539,129956,131126,130095,7115,-39026,-157516,-329036,-646334,-721734,-435000,-499943,-400129,-152660,594234,1741699,2484449,2761353,3354367,3419548,4112370,4679100,4785487,5324299,5880878,6964115,7884123,6663029,5167814,3595121,6041219,9321252,11688840,14220537,15362856,16310120,16383215,17384777,18098975,17146622,17964922
 "34000","New Jersey",2,SAINC40,97,"...","  Monetary rent","Thousands of dollars",84566,84185,94555,99391,108058,109209,124033,141261,155027,172191,187246,185445,235255,268523,297897,312003,250315,214219,208533,221938,221730,219794,273165,351557,398724,512842,616638,800615,849318,892038,924976,900254,999813,1173065,1413540,1748857,1799927,1942614,2086719,2108757,2157184,2068230,1978137,2147055,2030162,2175651,2140989,2239313,2259442,2595481,3118370,3169459,3720120,4312294,4406608,4559813,5030794,5579139,6058836,6003041,6383529
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
