GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "32000","Nevada",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",104169,114717,133501,151634,168146,178224,198047,224675,237039,257707,315816,362706,426667,480958,539854,620608,718445,797953,902043,1029673,1275898,1515561,1821511,2197341,2559837,2788347,3107363,3420042,3661391,3881323,4321089,5032254,5632663,6115824,6676543,7240546,8263357,9248889,10267342,11124129,12258889,12629944,13990398,14177212,13988789,15319338,17344083,20557096,22692392,24234529,23667154,20210586,19825052,21530506,24935650,23533784,27027506,30276475,31511259,34125486,37093693
 "32000","Nevada",8,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",13128,14196,18059,22094,24154,25198,27772,33763,33687,33123,56124,57896,62189,67960,76703,89348,102643,101877,126678,152060,190160,229943,246096,274388,302944,310767,338642,408221,483500,550562,713004,944515,1089391,1218884,1376046,1522066,1982877,2278190,2764056,3011614,3173900,3115655,3510624,3471847,3664644,4359771,6011607,6755467,8103429,8513036,7603850,4835913,5110051,6215074,8311978,7418280,9648698,11371750,12178219,13279238,14450104
 "32000","Nevada",8,SAINC40,92,"..."," Personal interest income","Thousands of dollars",66200,73731,85896,96938,107681,114035,128613,146288,155382,173475,207683,241314,298016,340093,383210,451105,536958,616314,691897,814721,1014799,1211811,1486715,1809481,2147205,2353922,2648369,2867082,3053192,3208883,3456677,3930273,4337906,4623768,4894106,5117094,5533537,6112957,6500308,7044563,7863013,8171418,9042347,9129776,8707714,9107067,9193313,11661371,12633880,13919629,13611794,12408331,11345785,11473975,12637188,12006257,12802098,13656710,13689212,14542809,16007697
 "32000","Nevada",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",38449,41963,47883,56553,63371,66171,75545,81675,87924,97919,108938,139079,177498,205478,234193,268865,312649,382778,423053,486688,598359,658025,772202,872683,991959,1234969,1297694,1426151,1562213,1716348,1830365,2031330,2231489,2455836,2709464,2980612,3214751,3612300,3840234,4233238,4433224,4701167,5115261,5116679,5169014,5476363,5901825,6585864,7214866,7728495,7943289,7728116,7427444,7529407,7684636,7696657,8188131,8785450,8665171,8710418,9175853
 "32000","Nevada",8,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",27751,31768,38013,40385,44310,47864,53068,64613,67458,75556,98745,102235,120518,134615,149017,182240,224309,233536,268844,328033,416440,553786,714513,936798,1155246,1118953,1350675,1440931,1490979,1492535,1626312,1898943,2106417,2167932,2184642,2136482,2318786,2500657,2660074,2811325,3429789,3470251,3927086,4013097,3538700,3630704,3291488,5075507,5419014,6191134,5668505,4680215,3918341,3944568,4952552,4309600,4613967,4871260,5024041,5832391,6831844
 "32000","Nevada",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",24841,26790,29546,32602,36311,38991,41662,44624,47970,51109,52009,63496,66462,72905,79941,80155,78844,79762,83468,62892,70939,73807,88700,113472,109688,123658,120352,144739,124699,121878,151408,157466,205366,273172,406391,601386,746943,857742,1002978,1067952,1221976,1342871,1437427,1575589,1616431,1852500,2139163,2140258,1955083,1801864,2451510,2966342,3369216,3841457,3986484,4109247,4576710,5248015,5643828,6303439,6635892
 "32000","Nevada",8,SAINC40,96,"...","  Imputed rent","Thousands of dollars",17503,19672,21673,24935,28234,30996,32938,35309,38143,40725,41153,51964,51691,55728,55513,53124,54497,51597,44582,27491,31464,27026,25934,29985,14945,13995,5931,-2545,-19415,-18990,9529,16038,36490,74973,147815,282881,395653,448781,560079,591574,715716,825995,886965,998559,1059335,1263270,1526636,1455374,1213153,932017,1360109,1873058,2121091,2381041,2471355,2524107,2808783,3337427,3644074,4209547,4409293
 "32000","Nevada",8,SAINC40,97,"...","  Monetary rent","Thousands of dollars",7338,7118,7873,7667,8077,7995,8724,9315,9827,10384,10856,11532,14771,17177,24428,27031,24347,28165,38886,35401,39475,46781,62766,83487,94743,109663,114421,147284,144114,140868,141879,141428,168876,198199,258576,318505,351290,408961,442899,476378,506260,516876,550462,577030,557096,589230,612527,684884,741930,869847,1091401,1093284,1248125,1460416,1515129,1585140,1767927,1910588,1999754,2093892,2226599
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
