GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "36000","New York",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",6069170,6581842,7096071,7504338,8306831,9116086,10038798,10904202,11562496,12230906,13280909,13814823,14736049,15427540,16207655,17672029,19779539,20941921,21992001,24114466,26314426,29376042,34687566,41871607,47655970,50969188,58927413,61790278,63839174,65093052,71691893,81805041,84815783,84608970,83731860,84347902,87965504,95360825,100681832,107041944,112752720,112892981,121740708,119939999,111176527,113399979,118255787,137142574,157852634,181480890,184478634,161416658,159587313,178456909,201185138,203708345,224232769,239037389,249243123,268241313,294393073
 "36000","New York",2,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",2144669,2323774,2455382,2481476,2614732,2790606,3088188,3405916,3398016,3455509,3791387,3828144,3615472,3506490,3541887,3819745,4123069,3868218,4481121,5033351,5516226,6080097,6688045,7615285,7865518,8333070,9077719,9338795,9858867,9935828,11300525,13678114,14264525,14749299,15274301,15893946,17600935,19000893,22105281,24922953,25439891,24743093,27765019,26380324,27384824,28919207,36604586,39427938,52243438,62022470,61551417,40579110,39343991,48766722,59157460,58284813,70939125,75362288,78246217,81789480,89174455
 "36000","New York",2,SAINC40,92,"..."," Personal interest income","Thousands of dollars",2976222,3233668,3532016,3831141,4440758,4990665,5575893,6065486,6661637,7194870,7908874,8590667,9761696,10536873,11277661,12458993,14303359,15812286,16393142,18226046,19988562,22560151,27157209,33274349,38897092,41569840,48657373,51169805,53102123,54352167,59158765,67015845,69038015,67677188,64650632,62554262,63309483,68681488,69566203,73233849,77297317,77430648,83247130,81638866,71134254,70313530,66341005,83498411,93325169,108599173,106427220,97792458,94188956,97768508,107243924,107838153,112804241,120857363,125845879,138611032,154884894
 "36000","New York",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",1204583,1354742,1469953,1583228,1743811,1884455,2087150,2233375,2436163,2675092,3015356,3469060,4122363,4585100,4993189,5463016,6278567,7683509,7736107,8328389,9041588,9277711,10911431,12493991,15064410,18636975,19978633,22699765,24980570,26789009,28288600,30651271,32194446,33096402,33993292,34957437,35390423,37886545,38291612,41362758,41617218,42983342,45452867,44223022,43253901,43739929,43823406,46695117,50291839,55359414,59330758,59634778,58741244,60031836,61735466,62384071,66731080,72571121,73141569,77791508,83536026
 "36000","New York",2,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",1771639,1878926,2062063,2247913,2696947,3106210,3488743,3832111,4225474,4519778,4893518,5121607,5639333,5951773,6284472,6995977,8024792,8128777,8657035,9897657,10946974,13282440,16245778,20780358,23832682,22932865,28678740,28470040,28121553,27563158,30870165,36364574,36843569,34580786,30657340,27596825,27919060,30794943,31274591,31871091,35680099,34447306,37794263,37415844,27880353,26573601,22517599,36803294,43033330,53239759,47096462,38157680,35447712,37736672,45508458,45454082,46073161,48286242,52704310,60819524,71348868
 "36000","New York",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",948279,1024400,1108673,1191721,1251341,1334815,1374717,1432800,1502843,1580527,1580648,1396012,1358881,1384177,1388107,1393291,1353111,1261417,1117738,855069,809638,735794,842312,981973,893360,1066278,1192321,1281678,878184,805057,1232603,1111082,1513243,2182483,3806927,5899694,7055086,7678444,9010348,8885142,10015512,10719240,10728559,11920809,12657449,14167242,15310196,14216225,12284027,10859247,16499997,23045090,26054366,31921679,34783754,37585379,40489403,42817738,45151027,47840801,50333724
 "36000","New York",2,SAINC40,96,"...","  Imputed rent","Thousands of dollars",773542,850466,923329,974989,1038456,1071228,1078991,1101892,1141180,1180409,1148459,920161,883777,923566,887922,823562,823091,747962,621250,326430,304041,220068,212438,222246,43790,-15595,-178973,-410467,-841574,-938148,-524545,-596310,-432103,-57015,990806,2568334,3585469,3945833,4761637,4846803,5801419,6585629,6763002,7633867,8525836,9933109,10898035,9508801,7341444,5189721,9405625,14739966,18208136,22491045,25037251,27382593,28997076,30310645,31971698,34462123,36107147
 "36000","New York",2,SAINC40,97,"...","  Monetary rent","Thousands of dollars",174737,173934,185344,216732,212885,263587,295726,330908,361663,400118,432189,475851,475104,460611,500185,569729,530020,513455,496488,528639,505597,515726,629874,759727,849570,1081873,1371294,1692145,1719758,1743205,1757148,1707392,1945346,2239498,2816121,3331360,3469617,3732611,4248711,4038339,4214093,4133611,3965557,4286942,4131613,4234133,4412161,4707424,4942583,5669526,7094372,8305124,7846230,9430634,9746503,10202786,11492327,12507093,13179329,13378678,14226577
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
