GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "39000","Ohio",3,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",2634449,2829138,3059821,3227231,3492874,3708412,3966837,4213553,4494827,4722120,5185485,5617141,6167724,6654061,7100909,7893200,8938802,9657885,10325276,11417223,12662022,14240776,17284609,21174867,23461507,25181061,28108171,29366207,30487273,31023618,33329473,37537371,39472957,39325472,40009073,41629374,43919977,47291338,50197096,53597660,56938429,55945097,58400950,57894209,55313062,55686525,56176332,58253929,63945386,68709634,70099996,62352349,61489521,68782091,76187509,73351145,80456939,85501888,87880586,92597559,100051642
 "39000","Ohio",3,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",575609,615055,639892,669205,731132,780858,873526,958904,1002874,1027949,1241819,1251026,1237863,1258873,1333501,1475812,1626834,1561834,1838690,2101634,2347457,2625527,2814145,3142337,3123531,3638094,3876564,4187070,4548409,4843390,5590781,6803110,7215572,7705363,8081603,8803381,10101858,11026072,12595610,13566721,13939022,12751447,13065035,12762070,14038649,14754678,18138986,17970996,21850947,24406001,23852966,16590560,16464390,20499222,25106666,23901979,28373216,30359034,31318048,32967322,35702870
 "39000","Ohio",3,SAINC40,92,"..."," Personal interest income","Thousands of dollars",1176591,1293455,1458624,1578409,1748732,1893815,2060229,2200144,2403361,2608456,2871891,3400482,3950167,4336732,4685878,5347067,6264365,7091128,7599161,8657581,9645592,10988685,13767096,17215557,19578651,20722943,23460751,24355907,25413594,25692201,27041154,30065423,31386555,30406058,30115101,30003436,30239600,32179175,33117386,35120398,37421510,37073928,39050339,38186198,34423176,33508463,30620340,33851496,36779761,39816742,39927296,37309965,34442007,35051314,36421152,34305259,36169281,38297578,39032368,41369110,45134673
 "39000","Ohio",3,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",505097,578573,643247,701530,763215,814889,886475,937730,1014423,1108224,1228403,1460786,1768904,1992030,2171679,2421762,2793392,3433352,3618483,4015201,4471506,4674132,5581369,6447891,7660552,9215424,9891531,11040323,12003165,12883725,13552013,14409336,15207750,15801325,16483083,17134813,17625421,18998093,19239850,20759069,20914699,21308233,22110757,21459159,21405094,21680167,21634908,21897416,22473085,23274687,24707500,24933983,24335446,24754412,25185919,24786416,25757390,27288033,27313627,27733824,29171938
 "39000","Ohio",3,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",671494,714882,815377,876879,985517,1078926,1173754,1262414,1388938,1500232,1643488,1939696,2181263,2344702,2514199,2925305,3470973,3657776,3980678,4642380,5174086,6314553,8185727,10767666,11918099,11507519,13569220,13315584,13410429,12808476,13489141,15656087,16178805,14604733,13632018,12868623,12614179,13181082,13877536,14361329,16506811,15765695,16939582,16727039,13018082,11828296,8985432,11954080,14306676,16542055,15219796,12375982,10106561,10296902,11235233,9518843,10411891,11009545,11718741,13635286,15962735
 "39000","Ohio",3,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",882249,920628,961305,979617,1013010,1033739,1033082,1054505,1088592,1085715,1071775,965633,979694,1058456,1081530,1070321,1047603,1004923,887425,658008,668973,626564,703368,816973,759325,820024,770856,823230,525270,488027,697538,668838,870830,1214051,1812369,2822557,3578519,4086091,4484100,4910541,5577897,6119722,6285576,6945941,6851237,7423384,7417006,6431437,5314678,4486891,6319734,8451824,10583124,13231555,14659691,15143907,15914442,16845276,17530170,18261127,19214099
 "39000","Ohio",3,SAINC40,96,"...","  Imputed rent","Thousands of dollars",615737,676048,732781,761895,800018,815569,812878,822449,844687,866907,837575,739454,771494,816303,792849,743714,749157,689040,587092,337090,326421,252029,244177,235593,72805,31498,-63765,-174722,-359812,-356637,-128015,-109506,3688,174687,616594,1419381,2042177,2326313,2882616,3004663,3655175,4209134,4430085,4931703,5081768,5581594,5656964,4629674,3477056,2473512,3918598,5989921,7693800,9456576,10342026,11054976,11413218,12166422,12752114,13290522,13928288
 "39000","Ohio",3,SAINC40,97,"...","  Monetary rent","Thousands of dollars",266512,244580,228524,217722,212992,218170,220204,232056,243905,218808,234200,226179,208200,242153,288681,326607,298446,315883,300333,320918,342552,374535,459191,581380,686520,788526,834621,997952,885082,844664,825553,778344,867142,1039364,1195775,1403176,1536342,1759778,1601484,1905878,1922722,1910588,1855491,2014238,1769469,1841790,1760042,1801763,1837622,2013379,2401136,2461903,2889324,3774979,4317665,4088931,4501224,4678854,4778056,4970605,5285811
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
