GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "41000","Oregon",8,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",564966,615634,649653,690204,738679,777581,827592,872395,928727,1009706,1084527,1282718,1478707,1633995,1789065,2014736,2345680,2659633,2901014,3289530,3831403,4432294,5325519,6461395,7051754,7603368,8340094,8737388,9079144,9219499,9859408,11274095,11839214,12153438,12476431,13380894,14524756,16102043,17334900,18098710,19004092,18490401,19845065,19704310,19033872,19833615,21155179,22318994,25712388,27409373,29144407,26112164,25710452,28419530,30881216,30569164,33987196,37341389,39163754,42280184,45806572
 "41000","Oregon",8,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",88436,93091,88052,97718,108937,117190,129152,140602,150763,168328,161859,173942,179240,189499,207943,245736,287314,297860,359999,422547,500265,584110,653462,752449,739250,796656,905890,947361,1068904,1179361,1386712,1777435,1924159,2088661,2227952,2540451,3007990,3394392,4075735,4347546,4286867,3883347,4193210,3855286,4214150,4857818,6707698,6794945,8728693,9526939,9544318,6344661,6196888,7500998,9045647,8864396,10756839,12034082,12505075,13648372,14832751
 "41000","Oregon",8,SAINC40,92,"..."," Personal interest income","Thousands of dollars",324276,362594,396530,421390,453619,480139,514693,540951,578845,636009,720589,876372,1047381,1169466,1288923,1475953,1751200,2071783,2269240,2649683,3084170,3603047,4394185,5379958,5994726,6464967,7103009,7427788,7694529,7727282,8098593,9117114,9451513,9430226,9383301,9590019,9912754,10897183,11125238,11581922,12291993,11983431,12858494,12746165,11624402,11638304,10935626,12225858,13983899,15147723,15845750,14794799,13912804,14131342,14744991,14071697,14975479,16020146,16481447,17500108,19255185
 "41000","Oregon",8,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",145640,162156,178334,193133,208038,220563,240727,253801,272216,300235,331579,402591,504859,578315,647788,721535,848902,1083740,1150600,1300233,1495995,1587584,1846700,2069159,2462465,3065164,3149643,3570929,3800733,4006800,4185421,4458152,4695287,4967036,5273343,5594807,5810949,6369851,6493806,6910346,6858529,6882183,7107434,6938476,6937539,7090936,7271408,7652052,8135585,8581401,9302273,9473125,9303260,9467337,9624539,9472129,9982800,10715468,10813905,10950706,11574637
 "41000","Oregon",8,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",178636,200438,218196,228257,245581,259576,273966,287150,306629,335774,389010,473781,542522,591151,641135,754418,902298,988043,1118640,1349450,1588175,2015463,2547485,3310799,3532261,3399803,3953366,3856859,3893796,3720482,3913172,4658962,4756226,4463190,4109958,3995212,4101805,4527332,4631432,4671576,5433464,5101248,5751060,5807689,4686863,4547368,3664218,4573806,5848314,6566322,6543477,5321674,4609544,4664005,5120452,4599568,4992679,5304678,5667542,6549402,7680548
 "41000","Oregon",8,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",152254,159949,165071,171096,176123,180252,183747,190842,199119,205369,202079,232404,252086,275030,292199,293047,307166,289990,271775,217300,246968,245137,277872,328988,317778,341745,331195,362239,315711,312856,374103,379546,463542,634551,865178,1250424,1604012,1810468,2133927,2169242,2425232,2623623,2793361,3102859,3195320,3337493,3511855,3298191,2999796,2734711,3754339,4972704,5600760,6787190,7090578,7633071,8254878,9287161,10177232,11131704,11718636
 "41000","Oregon",8,SAINC40,96,"...","  Imputed rent","Thousands of dollars",97707,106345,114258,120934,128717,133253,134704,138198,143798,148983,145804,173395,186808,201343,203146,193051,196112,182978,159661,100088,109191,91089,88391,92539,46226,39876,16303,-7282,-44943,-36268,28208,48277,94452,178559,326749,585793,808774,911523,1119703,1173514,1404522,1611107,1761828,2045050,2193259,2335991,2509489,2237657,1908846,1500014,2180895,3211021,3744187,4536105,4765909,5206903,5559642,6284011,6962771,7873615,8253971
 "41000","Oregon",8,SAINC40,97,"...","  Monetary rent","Thousands of dollars",54547,53604,50813,50162,47406,46999,49043,52644,55321,56386,56275,59009,65278,73687,89053,99996,111054,107012,112114,117212,137777,154048,189481,236449,271552,301869,314892,369521,360654,349124,345895,331269,369090,455992,538429,664631,795238,898945,1014224,995728,1020710,1012516,1031533,1057809,1002061,1001502,1002366,1060534,1090950,1234697,1573444,1761683,1856573,2251085,2324669,2426168,2695236,3003150,3214461,3258089,3464665
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
