GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "42000","Pennsylvania",2,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",2864292,3059929,3242832,3377681,3649814,3944457,4255182,4609135,4879408,5244331,5713052,6161947,6743251,7209208,7729858,8578128,9695394,10559964,11344850,12605788,13905790,15595345,19111971,23613300,27624094,28844276,32221245,34578864,36099602,36792896,39734274,45188255,47394926,47727930,47995135,49410441,51303775,55087300,58285927,61542753,65206270,64114961,69578798,69023193,66361099,67335270,69185209,71342213,80799218,89220877,91948112,82796984,82297157,91021021,101189136,96069763,104971964,109953855,112395187,119411736,129712621
 "42000","Pennsylvania",2,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",962076,1007905,1012681,1028548,1114279,1221699,1322937,1450108,1457048,1536566,1693421,1688418,1645251,1647019,1720180,1847365,1987076,1931308,2251494,2546656,2779885,3056115,3401901,3905145,4510685,4321915,4743280,5200547,5650668,5868296,6477945,8006335,8542060,9088930,9264040,10002890,11229182,12062343,13746079,14865214,14708466,13630104,15228662,14440740,15766829,16887677,21721047,20942067,26074560,30023973,29433878,19933730,20218397,24909371,30701800,27876998,32886449,34053626,35361962,37335893,40462876
 "42000","Pennsylvania",2,SAINC40,92,"..."," Personal interest income","Thousands of dollars",1102327,1205282,1336910,1441758,1595717,1746445,1960840,2178978,2429782,2690789,3035567,3557454,4148972,4573213,4989464,5722650,6747145,7723990,8290253,9469710,10549977,11995437,15099756,18995874,22453143,23788284,26760703,28640506,29999434,30516493,32558877,36521504,37872665,37357223,36506736,36019587,35814175,38361877,39223595,41193491,44286488,43757279,47444980,47019675,42852682,41936271,38645713,42431786,47875809,53208488,53664449,50514838,46771452,47543439,50189802,46686206,49011599,51808174,52501352,56369629,62185022
 "42000","Pennsylvania",2,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",549402,610753,665531,716929,772698,823556,905262,977595,1072038,1195036,1334165,1581241,1926771,2183668,2426251,2703111,3131507,3925947,4105172,4538702,5050257,5278645,6235546,7194170,8725169,10649246,11323018,12733461,13797610,14895024,15646752,16766288,17755254,18490811,19308241,20083336,20383933,21702138,21914031,23538660,23750802,24153279,25418350,25026514,24939113,25031959,25323901,25929541,26877197,28425385,30697028,31023491,30242033,30727023,30915270,30495536,31619757,33220325,32647825,33431021,35283492
 "42000","Pennsylvania",2,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",552925,594529,671379,724829,823019,922889,1055578,1201383,1357744,1495753,1701402,1976213,2222201,2389545,2563213,3019539,3615638,3798043,4185081,4931008,5499720,6716792,8864210,11801704,13727974,13139038,15437685,15907045,16201824,15621469,16912125,19755216,20117411,18866412,17198495,15936251,15430242,16659739,17309564,17654831,20535686,19604000,22026630,21993161,17913569,16904312,13321812,16502245,20998612,24783103,22967421,19491347,16529419,16816416,19274532,16190670,17391842,18587849,19853527,22938608,26901530
 "42000","Pennsylvania",2,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",799889,846742,893241,907375,939818,976313,971405,980049,992578,1016976,984064,916075,949028,988976,1020214,1008113,961173,904666,803103,589422,575928,543793,610314,712281,660266,734077,717262,737811,449500,408107,697452,660416,980201,1281777,2224359,3387964,4260418,4663080,5316253,5484048,6211316,6727578,6905156,7562778,7741588,8511322,8818449,7968360,6848849,5988416,8849785,12348416,15307308,18568211,20297534,21506559,23073916,24092055,24531873,25706214,27064723
 "42000","Pennsylvania",2,SAINC40,96,"...","  Imputed rent","Thousands of dollars",606211,660476,711210,735150,767991,779041,773001,778976,797121,815227,785607,718509,729991,771630,752048,708219,718864,668402,565498,315068,311178,240993,237346,238394,70967,31266,-85679,-227807,-477895,-501359,-218196,-220387,-86680,149549,751694,1709338,2374719,2631174,3195864,3283612,3945385,4504186,4692243,5230967,5511682,6085666,6526242,5604778,4396569,3227027,5290799,8503575,10804884,13361961,14891513,15872125,16522510,17363713,17763178,18629548,19539769
 "42000","Pennsylvania",2,SAINC40,97,"...","  Monetary rent","Thousands of dollars",193678,186266,182031,172225,171827,197272,198404,201073,195457,201749,198457,197566,219037,217346,268166,299894,242309,236264,237605,274354,264750,302800,372968,473887,589299,702811,802941,965618,927395,909466,915648,880803,1066881,1132228,1472665,1678626,1885699,2031906,2120389,2200436,2265931,2223392,2212913,2331811,2229906,2425656,2292207,2363582,2452280,2761389,3558986,3844841,4502424,5206250,5406021,5634434,6551406,6728342,6768695,7076666,7524954
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
