GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "94000","Plains",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",4411389,4749047,5040140,5256938,5588665,5929233,6316887,6793567,7154194,7384885,8083909,9019630,10113552,11004326,11999169,13629865,15680557,17516917,18882137,21197149,23647306,26729182,32596059,40165084,47063754,49320597,54614232,56988412,58701771,59097207,62118018,67835694,70925527,72213506,74033685,76616185,81090307,87599862,92878348,99426337,106716969,106337487,114521054,114525656,110479643,113764928,116782194,122270409,136244877,149063758,156964222,140282127,140118948,155924474,175359911,168250487,185818910,196089095,202668287,212613785,230320508
 "94000","Plains",4,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",675899,784134,834453,875193,908571,1000714,1099695,1230803,1233181,1276870,1383866,1443743,1466425,1526628,1648970,1891060,2156631,2216148,2613147,2991761,3385077,3829304,4230888,4838023,5281916,5421402,5749769,6247394,6914241,7529482,8903608,10789281,11620125,12643638,13583786,14809658,17364317,19118300,22083881,24779000,26479166,26051774,28053677,27243466,29066591,31843156,39567998,40164695,49245091,55995875,57303715,40487547,39934830,48226013,59973376,56066042,66356523,70913289,73498886,76599538,83069857
 "94000","Plains",4,SAINC40,92,"..."," Personal interest income","Thousands of dollars",1969758,2189384,2396619,2522186,2724593,2944092,3290073,3623322,3937253,4242031,4835412,5719123,6774288,7508508,8205491,9450718,11206446,13094811,14262832,16502164,18469479,21131992,26294332,32715500,39053974,41735083,46654126,48512075,50319885,50204370,51544516,55384662,57246285,56879451,56595405,56345066,56954834,60974257,62444126,65884415,70481813,69734663,75571585,74983980,68832268,68388025,62998337,68993724,75683364,83058509,85907544,82091633,78147021,80097495,84796989,79475274,84097950,87959692,90474558,96232124,105281633
 "94000","Plains",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",896877,1011780,1113890,1215185,1304732,1374870,1508236,1604793,1727594,1881799,2087096,2502353,3099118,3512555,3880334,4310212,5017109,6279686,6707912,7537974,8450338,8865038,10511231,12018571,14458853,17860045,18995112,21446444,23077974,24542772,25407445,26572675,27599749,28781772,30241159,31709846,32572486,35121863,35690680,38442751,39041114,40146831,42411599,41630095,41680601,42594116,43051294,44266358,45847816,48107810,51712055,53073528,52696018,54157703,55444560,54975214,57694235,60977897,61157043,62357931,65555546
 "94000","Plains",4,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",1072881,1177604,1282729,1307001,1419861,1569222,1781837,2018529,2209659,2360232,2748316,3216770,3675170,3995953,4325157,5140506,6189337,6815125,7554920,8964190,10019141,12266954,15783101,20696929,24595121,23875038,27659014,27065631,27241911,25661598,26137071,28811987,29646536,28097679,26354246,24635220,24382348,25852394,26753446,27441664,31440699,29587832,33159986,33353885,27151667,25793909,19947043,24727366,29835548,34950699,34195489,29018105,25451003,25939792,29352429,24500060,26403715,26981795,29317515,33874193,39726087
 "94000","Plains",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",1765732,1775529,1809068,1859559,1955501,1984427,1927119,1939442,1983760,1865984,1864631,1856764,1872839,1969190,2144708,2288087,2317480,2205958,2006158,1703224,1792750,1767886,2070839,2611561,2727864,2164112,2210337,2228943,1467645,1363355,1669894,1661751,2059117,2690417,3854494,5461461,6771156,7507305,8350341,8762922,9755990,10551050,10895792,12298210,12580784,13533747,14215859,13111990,11316422,10009374,13752963,17702947,22037097,27600966,30589546,32709171,35364437,37216114,38694843,39782123,41969018
 "94000","Plains",4,SAINC40,96,"...","  Imputed rent","Thousands of dollars",711661,778449,840693,878482,925583,948039,949214,965183,996104,1025357,996396,1153601,1193077,1256827,1256167,1187197,1211826,1141141,1004633,678147,684096,585723,577860,571104,298482,203369,41893,-145580,-426132,-409511,-50597,21522,238251,553193,1230091,2427869,3359371,3758476,4587060,4717705,5641202,6434442,6897010,8020060,8511172,9463117,10039920,8607669,6757647,5034612,7346309,11205706,14192286,17685630,19798511,21259529,22343313,24027449,25213599,26535432,27898444
 "94000","Plains",4,SAINC40,97,"...","  Monetary rent","Thousands of dollars",1054071,997080,968375,981077,1029918,1036388,977905,974259,987656,840627,868235,703163,679762,712363,888541,1100890,1105654,1064817,1001525,1025077,1108654,1182163,1492979,2040457,2429382,1960743,2168444,2374523,1893777,1772866,1720491,1640229,1820866,2137224,2624403,3033592,3411785,3748829,3763281,4045217,4114788,4116608,3998782,4278150,4069612,4070630,4175939,4504321,4558775,4974762,6406654,6497241,7844811,9915336,10791035,11449642,13021124,13188665,13481244,13246691,14070574
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
