GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "45000","South Carolina",5,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",347157,377817,410105,443212,483636,521743,553858,616008,660375,715249,770988,908912,1090331,1209059,1353121,1546986,1785802,1999904,2189287,2444246,2801350,3170776,3832561,4679248,5368094,5920760,6728356,7301440,7867859,8266504,9010082,10203953,10888259,11231817,11604418,12173629,13031717,14018697,15141322,16314841,17671276,17595054,19144849,19313537,19055039,18874726,20049510,21600707,24806966,27446118,27989298,25124005,24540403,27342770,29417679,29216660,32515056,34972638,36588941,39282537,42283954
 "45000","South Carolina",5,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",49717,56719,60775,65951,68927,74746,81413,100917,102348,117216,123213,135309,144072,156427,175679,204310,235730,236275,287302,339278,398120,461468,525600,616395,634361,735484,804405,906608,987865,1075638,1219551,1500542,1640657,1794431,1914431,2121373,2508436,2758615,3355304,3834395,4140243,3903338,4253779,3979941,4484692,4429354,5967679,6681923,8402470,9481636,8775461,5766287,5350309,6792057,8237340,7988602,10175388,11172128,11712319,12914613,14001472
 "45000","South Carolina",5,SAINC40,92,"..."," Personal interest income","Thousands of dollars",185680,204066,227441,242934,266218,289139,313763,352530,392850,424323,485635,589726,752695,846635,960915,1121724,1349544,1564580,1723756,1966765,2256656,2569081,3147966,3863430,4542770,4996505,5727602,6177460,6685830,6992144,7519470,8418494,8872030,8902774,8946911,9029005,9282622,9913803,10241403,10812617,11648789,11670598,12745131,12775793,11896403,11721198,11127270,12474433,14259329,16002229,16467854,15717413,14739661,14993773,15354885,14803707,15639430,16603641,17046241,18316632,19814407
 "45000","South Carolina",5,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",124026,143568,154714,167787,181099,196602,209517,231242,261860,285045,314533,378483,501383,563867,646219,733343,868831,1035779,1132382,1260966,1460794,1590187,1847274,2117297,2443044,2876465,3161747,3507067,3898496,4249499,4524243,4909165,5215427,5502891,5756508,6005747,6192008,6617480,6760556,7280888,7467706,7724445,8135016,8020349,8142171,8342905,8486046,8866208,9464482,10177614,10872345,11116773,10808731,10949234,11158173,11191459,11610377,12296560,12404354,12923966,13498791
 "45000","South Carolina",5,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",61654,60498,72727,75147,85119,92537,104246,121288,130990,139278,171102,211243,251312,282768,314696,388381,480713,528801,591374,705799,795862,978894,1300692,1746133,2099726,2120040,2565855,2670393,2787334,2742645,2995227,3509329,3656603,3399883,3190403,3023258,3090614,3296323,3480847,3531729,4181083,3946153,4610115,4755444,3754232,3378293,2641224,3608225,4794847,5824615,5595509,4600640,3930930,4044539,4196712,3612248,4029053,4307081,4641887,5392666,6315616
 "45000","South Carolina",5,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",111760,117032,121889,134327,148491,157858,158682,162561,165177,173710,162140,183877,193564,205997,216527,220952,200528,199049,178229,138203,146574,140227,158995,199423,190963,188771,196349,217372,194164,198722,271061,284917,375572,534612,743076,1023251,1240659,1346279,1544615,1667829,1882244,2021118,2145939,2557803,2673944,2724174,2954561,2444351,2145167,1962253,2745983,3640305,4450433,5556940,5825454,6424351,6700238,7196869,7830381,8051292,8468075
 "45000","South Carolina",5,SAINC40,96,"...","  Imputed rent","Thousands of dollars",63765,70444,76699,85913,95707,103103,107880,114094,121894,129801,129281,150094,154958,164235,163996,154442,157519,146076,125332,78498,86462,75811,71015,82074,44411,43484,24716,9250,-21913,-14246,58608,84735,147128,254262,413352,638631,811109,868858,1033834,1073748,1257850,1425741,1560689,1926095,2066088,2129766,2265036,1864085,1446277,1165059,1743612,2610146,3255604,4098490,4321609,4863902,5030783,5359829,5820291,6072978,6364266
 "45000","South Carolina",5,SAINC40,97,"...","  Monetary rent","Thousands of dollars",47995,46588,45190,48414,52784,54755,50802,48467,43283,43909,32859,33783,38606,41762,52531,66510,43009,52973,52897,59705,60112,64416,87980,117349,146552,145287,171633,208122,216077,212968,212453,200182,228444,280350,329724,384620,429550,477421,510781,594081,624394,595377,585250,631708,607856,594408,689525,580266,698890,797194,1002371,1030159,1194829,1458450,1503845,1560449,1669455,1837040,2010090,1978314,2103809
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
