GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "46000","South Dakota",4,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",168767,171832,197598,203356,217992,229232,237735,258906,267426,277642,281124,320920,363216,396415,438936,505007,601647,683593,741927,845683,953340,1081144,1339855,1669198,1898644,1929476,2101194,2154178,2228184,2224209,2321837,2562571,2693156,2761303,2840252,2968582,3106137,3439526,3688508,3891825,4247224,4418838,4783518,5034727,4863637,5132944,5329172,5747891,6405185,7287006,7726114,7043310,7159826,7753426,8504339,8020896,8808519,9518794,9963695,10407521,11275914
 "46000","South Dakota",4,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",10239,14064,15666,19567,19922,21961,24710,31067,31652,33314,34456,32986,34071,36001,39267,49087,59938,65683,76075,85980,98074,111368,123255,141245,148486,148731,153845,174695,219480,243693,304127,365614,401282,452356,477132,552848,657891,730414,886222,977562,1109521,1184422,1317676,1420209,1433255,1655190,2017875,2208598,2612447,3118521,3229881,2429862,2280024,2416862,2882064,2640065,3175857,3563611,3656806,3776677,4098156
 "46000","South Dakota",4,SAINC40,92,"..."," Personal interest income","Thousands of dollars",81487,91921,102018,107501,113278,125787,142390,155474,166794,181289,185630,221097,262633,292976,322246,377305,449649,524367,584105,685660,773725,889532,1118606,1397623,1604198,1679331,1841041,1868845,1929317,1899987,1925633,2103387,2181178,2169701,2159149,2161249,2173972,2367336,2423763,2549756,2755482,2829852,3045823,3133519,2915995,2920501,2758719,2993659,3289932,3690077,3872868,3851840,3914465,4106056,4196187,3837632,3978983,4157528,4414304,4853240,5297376
 "46000","South Dakota",4,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",38366,42390,45326,49364,53227,58684,64095,67621,72068,76263,81414,94429,117217,134749,150898,169601,196473,236763,260481,295542,339447,358441,428276,488674,566577,674681,716200,791210,847815,906491,930879,975980,1025421,1086935,1149601,1211077,1239890,1347570,1359544,1476184,1524987,1610060,1737124,1755896,1755313,1831076,1889727,1981698,2067000,2220720,2407075,2534065,2612760,2709074,2738178,2666121,2735927,2862117,2980053,3210880,3366921
 "46000","South Dakota",4,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",43121,49531,56692,58137,60051,67103,78295,87853,94726,105026,104216,126668,145416,158227,171348,207704,253176,287604,323624,390118,434278,531091,690330,908949,1037621,1004650,1124841,1077635,1081502,993496,994754,1127407,1155757,1082766,1009548,950172,934082,1019766,1064219,1073572,1230495,1219792,1308699,1377623,1160682,1089425,868992,1011961,1222932,1469357,1465793,1317775,1301705,1396982,1458009,1171511,1243056,1295411,1434251,1642360,1930455
 "46000","South Dakota",4,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",77041,65847,79914,76288,84792,81484,70635,72365,68980,63039,61038,66837,66512,67438,77423,78615,92060,93543,81747,74043,81541,80244,97994,130330,145960,101414,106308,110638,79387,80529,92077,93570,110696,139246,203971,254485,274274,341776,378523,364507,382221,404564,420019,480999,514387,557253,552578,545634,502806,478408,623365,761608,965337,1230508,1426088,1543199,1653679,1797655,1892585,1777604,1880382
 "46000","South Dakota",4,SAINC40,96,"...","  Imputed rent","Thousands of dollars",20675,22573,24253,24952,25872,26291,26129,26437,27157,27384,26894,41208,42368,44635,45331,42819,43905,42625,37564,28917,32185,29208,28283,28963,19498,16836,11463,5614,-1929,232,12672,18812,29581,43448,62995,93409,117277,124739,146622,147660,170005,189643,212349,261650,302978,345991,328797,301784,249350,196396,250645,371770,496657,629143,772213,837635,825264,929384,991653,948361,1015783
 "46000","South Dakota",4,SAINC40,97,"...","  Monetary rent","Thousands of dollars",56366,43274,55661,51336,58920,55193,44506,45928,41823,35655,34144,25629,24144,22803,32092,35796,48155,50918,44183,45126,49356,51036,69711,101367,126462,84578,94845,105024,81316,80297,79405,74758,81115,95798,140976,161076,156997,217037,231901,216847,212216,214921,207670,219349,211409,211262,223781,243850,253456,282012,372720,389838,468680,601365,653875,705564,828415,868271,900932,829243,864599
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
