GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "96000","Southwest",6,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",3695133,4082952,4417184,4664494,4932425,5245551,5628785,6006729,6393664,6792114,7317506,8603870,10062097,11205881,12378982,14159854,16546450,18584104,20094598,22398923,26070746,30087277,36862123,45811738,54458365,60329065,67728941,75076755,76647174,76587088,80840256,88343770,91137258,91570343,93228411,96295489,102800779,111823947,119132068,126971818,136494853,137207787,150181323,151020308,146835485,152673189,159739213,181444140,205196421,227348288,252667583,223571089,223047135,253147624,282489324,275860092,305864638,323700801,318107039,340345618,368308830
 "96000","Southwest",6,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",499767,573489,621557,651116,704802,773902,883798,997367,1048581,1096995,1283778,1363328,1422826,1517546,1680078,1938907,2224483,2288094,2788093,3280901,3854551,4486433,5034752,5854161,6541276,6787449,7080503,7794227,8173257,8255299,9667957,11426886,12344802,13419566,14319311,15596151,17981535,19746852,23279150,26080626,27718110,27240788,31204107,30830793,33633364,36626514,47797757,52636296,67937128,78665716,82844586,60161526,58579407,75345483,90645684,84975487,99414851,107346276,106344366,112275364,121936473
 "96000","Southwest",6,SAINC40,92,"..."," Personal interest income","Thousands of dollars",1796770,2022547,2241114,2392771,2605234,2803294,3123399,3387005,3716735,4062021,4450782,5445012,6750380,7673139,8600191,10097890,12105846,14090340,15226782,17408673,20313246,23683522,29478142,36688624,44281737,49370810,56546001,63064395,65871270,66071844,68662442,74480299,75620064,74225587,73378935,73017494,75458018,82041096,84238977,88866979,95233768,95269873,103140501,103463089,96012611,97472163,91975915,109405425,119568200,131985323,145111233,134806223,129826782,134436821,144474105,138035979,146381195,156086651,152836869,161371001,176079046
 "96000","Southwest",6,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",1000065,1131138,1240439,1351261,1459518,1555221,1701570,1817369,1972049,2175743,2393302,2904887,3738702,4292211,4845185,5492525,6429590,8037221,8613152,9683883,11110976,11927974,14018275,16171073,20221416,25569326,27239399,31978383,34209950,35857205,37118357,38857807,40027697,41551408,43736526,45700601,47408451,51389288,52565645,56790452,58051012,59552792,62878180,62593011,63679379,65487722,66423299,70205542,74931852,80356212,87390829,90573675,90764011,93431687,96162013,96303585,101043522,107106463,106255885,107505939,112921650
 "96000","Southwest",6,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",796705,891409,1000675,1041510,1145716,1248073,1421829,1569636,1744686,1886278,2057480,2540125,3011678,3380928,3755006,4605365,5676256,6053119,6613630,7724790,9202270,11755548,15459867,20517551,24060321,23801484,29306602,31086012,31661320,30214639,31544085,35622492,35592367,32674179,29642409,27316893,28049567,30651808,31673332,32076527,37182756,35717081,40262321,40870078,32333232,31984441,25552616,39199883,44636348,51629111,57720404,44232548,39062771,41005134,48312092,41732394,45337673,48980188,46580984,53865062,63157396
 "96000","Southwest",6,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",1398596,1486916,1554513,1620607,1622389,1668355,1621588,1622357,1628348,1633098,1582946,1795530,1888891,2015196,2098713,2123057,2216121,2205670,2079723,1709349,1902949,1917322,2349229,3268953,3635352,4170806,4102437,4218133,2602647,2259945,2509857,2436585,3172392,3925190,5530165,7681844,9361226,10035999,11613941,12024213,13542975,14697126,15836715,16726426,17189510,18574512,19965541,19402419,17691093,16697249,24711764,28603340,34640946,43365320,47369535,52848626,60068592,60267874,58925804,66699253,70293311
 "96000","Southwest",6,SAINC40,96,"...","  Imputed rent","Thousands of dollars",612841,676536,736355,783092,837499,869722,881457,905929,943841,979867,959340,1132191,1178662,1261905,1255793,1198967,1230991,1148402,993207,601107,632899,532358,522259,542809,256750,213362,53486,-134801,-462800,-438199,41598,141996,453895,976070,1980147,3627967,4900494,5409091,6576677,6832967,8143450,9293566,10013211,10325688,11388147,12351658,13182461,11815772,9697139,7352559,10970885,16385519,20504080,25364462,28058175,31125933,33671025,37037120,39791026,42520336,44580383
 "96000","Southwest",6,SAINC40,97,"...","  Monetary rent","Thousands of dollars",785755,810380,818158,837515,784890,798633,740131,716428,684507,653231,623606,663339,710229,753291,842920,924090,985130,1057268,1086516,1108242,1270050,1384964,1826970,2726144,3378602,3957444,4048951,4352934,3065447,2698144,2468259,2294589,2718497,2949120,3550018,4053877,4460732,4626908,5037264,5191246,5399525,5403560,5823504,6400738,5801363,6222854,6783080,7586647,7993954,9344690,13740879,12217821,14136866,18000858,19311360,21722693,26397567,23230754,19134778,24178917,25712928
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
