GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "48000","Texas",6,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",2532118,2793093,2992941,3127187,3313551,3543959,3788133,4040194,4319453,4610043,4853375,5646113,6575432,7257881,8036743,9156227,10735264,12055273,12990614,14400687,16744572,19319403,23637995,29389523,35440551,39372312,44389111,49455679,50128551,49609030,52497267,56931448,58829029,59148077,60340958,61965432,65490077,71194312,75650828,80560199,86740430,87271653,95925866,96070679,92910068,97330861,100742069,115571622,130797069,146241101,170034968,150186836,150385914,172584957,194297515,189239614,211051104,223688128,215911772,232481040,251738684
 "48000","Texas",6,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",355917,407852,436550,455124,497363,545497,615603,689093,733503,775834,860914,910657,946747,1005650,1109285,1278316,1465961,1512997,1833345,2146703,2528407,2947886,3295193,3824334,4278905,4456145,4616840,5055074,5200346,5109899,6104180,7164459,7787642,8490305,9080898,9869408,11264860,12374939,14388580,16107179,17033076,16853955,19335123,19184514,20993253,23392398,30098831,33205479,43100687,50471530,56266320,41745512,40315485,52932602,63570532,59367638,69596581,75670580,73516722,77948692,84652272
 "48000","Texas",6,SAINC40,92,"..."," Personal interest income","Thousands of dollars",1212038,1347898,1482019,1564369,1702232,1842005,2056535,2241823,2476108,2726081,2921156,3535276,4368534,4945015,5531901,6488642,7783097,9054654,9762107,11117436,12953932,15089133,18764317,23367498,28688708,32079407,36977173,41568712,43212384,43022905,44785360,48210848,48977291,48150490,47744952,47138645,48330517,52468264,53763424,56850023,61153006,61174392,66580197,66873523,61714513,62873056,58881900,71155446,77350941,85591952,98133369,90926589,88754457,92598122,100586468,95917061,102325069,109577944,106011932,112201869,122452882
 "48000","Texas",6,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",662188,748077,820860,887449,951585,1012323,1104359,1179117,1292447,1425308,1568165,1900138,2430195,2766607,3110156,3515472,4113979,5160959,5526885,6198015,7084768,7588976,8936307,10347157,13076906,16679988,17848080,21082747,22414546,23372914,24135487,25193149,25910201,26793118,28251875,29454491,30410409,32803013,33494317,36340541,37233768,38238087,40479933,40267727,40940262,42045366,42525410,45087636,48301441,52142337,57629042,60414527,61345113,63508650,65645984,65942528,69502205,74045590,73694519,74802940,78610442
 "48000","Texas",6,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",549850,599821,661159,676920,750647,829682,952176,1062706,1183661,1300773,1352991,1635138,1938339,2178408,2421745,2973170,3669118,3893695,4235222,4919421,5869164,7500157,9828010,13020341,15611802,15399419,19129093,20485965,20797838,19649991,20649873,23017699,23067090,21357372,19493077,17684154,17920108,19665251,20269107,20509482,23919238,22936305,26100264,26605796,20774251,20827690,16356490,26067810,29049500,33449615,40504327,30512062,27409344,29089472,34940484,29974533,32822864,35532354,32317413,37398929,43842440
 "48000","Texas",6,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",964163,1037343,1074372,1107694,1113956,1156457,1115995,1109278,1109842,1108128,1071305,1200180,1260151,1307216,1395557,1389269,1486206,1487622,1395162,1136548,1262233,1282384,1578485,2197691,2472938,2836760,2795098,2831893,1715821,1476226,1607727,1556141,2064096,2507282,3515108,4957379,5894700,6351109,7498824,7602997,8554348,9243306,10010546,10012642,10202302,11065407,11761338,11210697,10345441,10177619,15635279,17514735,21315972,27054233,30140515,33954915,39129454,38439604,36383118,42330479,44633530
 "48000","Texas",6,SAINC40,96,"...","  Imputed rent","Thousands of dollars",411409,453255,492650,523914,560864,582124,589645,605482,630268,654412,639771,735370,764460,818407,811981,773717,794474,737465,636212,374806,384526,318668,311225,315243,138333,109878,8970,-119717,-345806,-334711,-29508,24012,210896,518158,1149540,2188481,2978523,3294547,4000207,4148611,4952692,5654195,6068671,5683823,6294562,6748561,7082495,5969801,4763740,3698367,5617075,8665248,11302422,14361141,16172420,17947891,19487047,21658844,23373143,24971917,26180911
 "48000","Texas",6,SAINC40,97,"...","  Monetary rent","Thousands of dollars",552754,584088,581722,583780,553092,574333,526350,503796,479574,453716,431534,464810,495691,488809,583576,615552,691732,750157,758950,761742,877707,963716,1267260,1882448,2334605,2726882,2786128,2951610,2061627,1810937,1637235,1532129,1853200,1989124,2365568,2768898,2916177,3056562,3498617,3454386,3601656,3589111,3941875,4328819,3907740,4316846,4678843,5240896,5581701,6479252,10018204,8849487,10013550,12693092,13968095,16007024,19642407,16780760,13009975,17358562,18452619
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
