GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "49000","Utah",7,SAINC40,90,"...","Dividends, interest, and rent (thousands of dollars)","Thousands of dollars",233465,254250,289412,308745,334095,342604,381522,412391,442249,451086,457288,505229,579553,666309,742642,814166,937312,1037184,1151656,1300910,1534875,1756982,2081484,2480371,2832465,3114608,3519159,3770465,3966119,4135119,4381779,4731415,4985080,5197018,5364667,5723363,6340805,7193188,8027755,8654510,9249462,9287236,10263752,10606785,10825864,11215326,11614815,13342741,14854975,16982992,18385805,16467679,16395967,18431059,20383214,20714107,22972097,25704718,27334550,29805915,32247902
 "49000","Utah",7,SAINC40,91,"..."," Personal dividend income","Thousands of dollars",30614,36088,42507,45386,46310,49201,59311,67102,72147,67111,60526,63145,66865,72116,80655,95459,111878,120569,150531,181591,212290,245508,268950,307238,317018,357516,383880,443450,490012,526287,630498,778986,877299,962035,1083087,1224188,1469785,1688435,2133187,2248248,2266853,2167560,2581929,2667163,3056581,3179551,3829775,4472921,5408365,6556451,6548358,4589706,4480213,5501101,6589877,6597165,7692630,9059866,9395959,10273972,11181591
 "49000","Utah",7,SAINC40,92,"..."," Personal interest income","Thousands of dollars",127121,137485,157783,174130,193478,199498,228316,249739,272620,284192,299322,333780,396573,461472,508038,582649,682432,785639,882764,1031320,1231798,1424070,1709635,2053113,2402705,2631523,3007301,3201388,3384878,3527888,3646468,3849141,3981421,4057969,4009921,4013628,4211124,4739144,4961567,5421407,5831235,5837657,6340594,6496402,6300721,6471115,6232358,7443862,8149971,9249680,10004405,9425137,8913169,9258548,9763828,9673703,10354010,11411495,12183687,13107280,14312125
 "49000","Utah",7,SAINC40,93,"...","  Imputed interest receipts 1/","Thousands of dollars",74562,80511,88392,100183,112148,116762,129454,140866,155537,169921,176441,200130,242133,291596,322345,362370,417161,496486,556202,638849,769077,836772,972493,1097697,1247092,1501896,1648979,1812880,1990153,2147964,2223508,2309894,2405413,2544702,2632936,2724051,2830189,3129229,3259369,3586259,3706813,3829909,4065747,4176969,4368397,4584457,4761988,5108683,5440460,5932987,6522869,6802483,6757526,7004786,7202051,7228561,7698317,8427012,8939893,9376658,9931905
 "49000","Utah",7,SAINC40,94,"...","  Monetary interest receipts","Thousands of dollars",52559,56974,69391,73947,81330,82736,98862,108873,117083,114271,122881,133650,154440,169876,185693,220279,265271,289153,326562,392471,462721,587298,737142,955416,1155613,1129627,1358322,1388508,1394725,1379924,1422960,1539247,1576008,1513267,1376985,1289577,1380935,1609915,1702198,1835148,2124422,2007748,2274847,2319433,1932324,1886658,1470370,2335179,2709511,3316693,3481536,2622654,2155643,2253762,2561777,2445142,2655693,2984483,3243794,3730622,4380220
 "49000","Utah",7,SAINC40,95,"..."," Rental income of persons 2/","Thousands of dollars",75730,80677,89122,89229,94307,93905,93895,95550,97482,99783,97440,108304,116115,132721,153949,136058,143002,130976,118361,87999,90787,87404,102899,120020,112742,125569,127978,125627,91229,80944,104813,103288,126360,177014,271659,485547,659896,765609,933001,984855,1151374,1282019,1341229,1443220,1468562,1564660,1552682,1425958,1296639,1176861,1833042,2452836,3002585,3671410,4029509,4443239,4925457,5233357,5754904,6424663,6754186
 "49000","Utah",7,SAINC40,96,"...","  Imputed rent","Thousands of dollars",53453,58975,64143,67011,70612,72278,72292,73397,75605,77732,75365,87065,92432,99527,99432,94892,97337,91404,79535,46491,47072,39744,40950,38827,15144,9349,-4374,-19974,-44639,-42614,-11576,-7432,8526,33408,102285,262987,405229,479476,618086,656294,809803,943527,1006121,1093381,1101930,1203247,1194534,1060638,917567,731798,1221629,1835641,2314178,2817025,3120082,3485824,3821707,4039037,4553633,5158257,5407569
 "49000","Utah",7,SAINC40,97,"...","  Monetary rent","Thousands of dollars",22277,21702,24979,22218,23695,21627,21603,22153,21877,22051,22075,21239,23683,33194,54517,41166,45665,39572,38826,41508,43715,47660,61949,81193,97598,116220,132352,145601,135868,123558,116389,110720,117834,143606,169374,222560,254667,286133,314915,328561,341571,338492,335108,349839,366632,361413,358148,365320,379072,445063,611413,617195,688407,854385,909427,957415,1103750,1194320,1201271,1266406,1346617
"Note: See the included footnote file."
"SAINC40: Property Income "
"Last updated: September 24, 2019-- new statistics for 2018; revised statistics for 1998-2017. "
"Source: U.S. Department of Commerce / Bureau of Economic Analysis / Regional Economic Accounts"
